見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
「,「,「,特殊,括弧始,NIL,0,0
銭形平次,ぜにがたへいじ,銭形平次,名詞,普通名詞,自動獲得:Wikipedia Wikipedia上位語:時代劇シリーズ Wikipediaリダイレクト:銭形平次　捕物控,0,0
」,」,」,特殊,括弧終,NIL,0,0
で,で,で,助詞,格助詞,NIL,0,0
世界,せかい,世界,名詞,普通名詞,代表表記:世界/せかい カテゴリ:場所-その他,0,0
的,てき,的だ,接尾辞,形容詞性名詞接尾辞,代表表記:的だ/てきだ カテゴリ:抽象物 準内容語,0,0
多作,たさく,多作,名詞,サ変名詞,代表表記:多作/たさく カテゴリ:抽象物,0,0
家,か,家,接尾辞,名詞性名詞接尾辞,代表表記:家/か カテゴリ:人 内容語,0,0
に,に,に,助詞,格助詞,NIL,0,0
。,。,。,特殊,句点,NIL,0,0
江戸川,えどがわ,江戸川,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義 Wikipedia姓,0,1
乱歩,らんぽ,乱歩,名詞,普通名詞,自動獲得:Wikipedia Wikipediaリダイレクト:江戸川乱歩,0,1
ずいぶん,ずいぶん,ずいぶん,副詞,*,代表表記:随分/ずいぶん,0,1
書いた,かいた,書く,動詞,*,代表表記:書く/かく 補文ト,0,1
ね,ね,ね,助詞,終助詞,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
「,「,「,特殊,括弧始,NIL,0,2
捕物帖,捕物帖,捕物帖,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:時代劇 読み不明,0,2
」,」,」,特殊,括弧終,NIL,0,2
は,は,は,助詞,副助詞,NIL,0,2
……,……,……,特殊,記号,NIL,0,2
何篇,何篇,何篇,未定義語,その他,未知語:漢字 品詞推定:名詞,0,2
くらい,くらい,くらい,助詞,副助詞,代表表記:くらい/くらい,0,2
に,に,に,助詞,格助詞,NIL,0,2
なった,なった,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,0,2
？,？,？,特殊,記号,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
野村,のむら,野村,名詞,人名,人名:日本:姓:46:0.00282,0,3
胡堂,胡堂,胡堂,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,3
ハッキリ,はっきり,ハッキリ,副詞,*,代表表記:ハッキリ/はっきり スル接続可能 修飾（ト格）,0,3
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,3
こと,こと,こと,名詞,形式名詞,NIL,0,3
は,は,は,助詞,副助詞,NIL,0,3
わから,わから,わかる,動詞,*,代表表記:分かる/わかる,0,3
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,3
が,が,が,助詞,接続助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
三百,三百,三百,名詞,数詞,カテゴリ:数量 未知語:数字,0,3
篇,へん,篇,名詞,普通名詞,代表表記:編/へん カテゴリ:抽象物 漢字読み:音,0,3
は,は,は,助詞,副助詞,NIL,0,3
越して,こして,越す,動詞,*,代表表記:越す/こす,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
だろう,だろう,だろう,助動詞,*,NIL,0,3
。,。,。,特殊,句点,NIL,0,3
もっとも,もっとも,もっとも,副詞,*,代表表記:最も/もっとも 用言弱修飾,0,4
わたし,わたし,わたし,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,0,4
の,の,の,助詞,接続助詞,NIL,0,4
捕物帖,捕物帖,捕物帖,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:時代劇 読み不明,0,4
は,は,は,助詞,副助詞,NIL,0,4
、,、,、,特殊,読点,NIL,0,4
「,「,「,特殊,括弧始,NIL,0,4
銭形平次,ぜにがたへいじ,銭形平次,名詞,普通名詞,自動獲得:Wikipedia Wikipedia上位語:時代劇シリーズ Wikipediaリダイレクト:銭形平次　捕物控,0,4
」,」,」,特殊,括弧終,NIL,0,4
と,と,と,助詞,格助詞,NIL,0,4
「,「,「,特殊,括弧始,NIL,0,4
池田,いけだ,池田,名詞,人名,人名:日本:姓:35:0.00333,0,4
大助,だいすけ,大助,名詞,人名,人名:日本:名:1679:0.00011,0,4
捕物控,捕物控,捕物控,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:大塚周夫 読み不明,0,4
」,」,」,特殊,括弧終,NIL,0,4
と,と,と,助詞,格助詞,NIL,0,4
両方,りょうほう,両方,名詞,普通名詞,代表表記:両方/りょうほう カテゴリ:抽象物,0,4
だ,だ,だ,判定詞,*,NIL,0,4
から,から,から,助詞,接続助詞,NIL,0,4
ね,ね,ね,助詞,終助詞,NIL,0,4
。,。,。,特殊,句点,NIL,0,4
銭形,ぜにがた,銭形,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義 Wikipedia姓,0,5
の,の,の,助詞,接続助詞,NIL,0,5
方,ほう,方,名詞,副詞的名詞,代表表記:方/ほう,0,5
は,は,は,助詞,副助詞,NIL,0,5
、,、,、,特殊,読点,NIL,0,5
二百四,二百四,二百四,名詞,数詞,カテゴリ:数量 未知語:数字,0,5
、,、,、,特殊,読点,NIL,0,5
五十,五十,五十,名詞,数詞,カテゴリ:数量 未知語:数字,0,5
篇,へん,篇,名詞,普通名詞,代表表記:編/へん カテゴリ:抽象物 漢字読み:音,0,5
と,と,と,助詞,格助詞,NIL,0,5
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,5
ところ,ところ,ところ,名詞,副詞的名詞,代表表記:ところ/ところ,0,5
か,か,か,助詞,接続助詞,NIL,0,5
な？,な？,な？,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:サタデーナイトチャイルドマシーン 読み不明,0,5
よく,よく,よい,形容詞,*,代表表記:良い/よい 反義:形容詞:悪い/わるい,0,5
書いた,かいた,書く,動詞,*,代表表記:書く/かく 補文ト,0,5
もの,もの,もの,名詞,形式名詞,NIL,0,5
だ,だ,だ,判定詞,*,NIL,0,5
われながら,われながら,われながら,副詞,*,代表表記:我乍ら/われながら,0,5
……,……,……,特殊,記号,NIL,0,5
。,。,。,特殊,句点,NIL,0,5
「,「,「,特殊,括弧始,NIL,0,6
オール,おーる,オール,名詞,普通名詞,代表表記:オール/おーる カテゴリ:人工物-その他,0,6
読物,よみもの,読物,名詞,普通名詞,代表表記:読み物/よみもの ドメイン:文化・芸術;メディア カテゴリ:人工物-その他;抽象物,0,6
」,」,」,特殊,括弧終,NIL,0,6
の,の,の,助詞,接続助詞,NIL,0,6
創刊,そうかん,創刊,名詞,サ変名詞,代表表記:創刊/そうかん ドメイン:文化・芸術;メディア カテゴリ:抽象物,0,6
号,ごう,号,名詞,普通名詞,代表表記:号/ごう カテゴリ:抽象物 漢字読み:音,0,6
から,から,から,助詞,格助詞,NIL,0,6
毎,まい,毎,接頭辞,名詞接頭辞,代表表記:毎/まい 内容語,0,6
号,ごう,号,名詞,普通名詞,代表表記:号/ごう カテゴリ:抽象物 漢字読み:音,0,6
一,いち,一,名詞,数詞,カテゴリ:数量,0,6
篇,へん,篇,名詞,普通名詞,代表表記:編/へん カテゴリ:抽象物 漢字読み:音,0,6
ずつ,ずつ,ずつ,接尾辞,名詞性名詞接尾辞,代表表記:ずつ/ずつ,0,6
載せ,のせ,載せる,動詞,*,代表表記:載せる/のせる ドメイン:文化・芸術 自他動詞:自:載る/のる,0,6
はじめて,はじめて,はじめる,動詞,*,代表表記:始める/はじめる 反義:動詞:終える/おえる 自他動詞:自:始まる/はじまる 付属動詞候補（基本）,0,6
……,……,……,特殊,記号,NIL,0,6
五,ご,五,名詞,数詞,カテゴリ:数量,0,6
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,0,6
目,め,目,接尾辞,名詞性名詞接尾辞,代表表記:目/め,0,6
だった,だった,だ,判定詞,*,NIL,0,6
か,か,か,助詞,接続助詞,NIL,0,6
に,に,に,助詞,格助詞,NIL,0,6
半年,はんとし,半年,名詞,時相名詞,代表表記:半年/はんとし カテゴリ:時間 弱時相名詞,0,6
くらい,くらい,くらい,助詞,副助詞,代表表記:くらい/くらい,0,6
休んだ,やすんだ,休む,動詞,*,代表表記:休む/やすむ,0,6
。,。,。,特殊,句点,NIL,0,6
休んだ,やすんだ,休む,動詞,*,代表表記:休む/やすむ,0,7
の,の,の,名詞,形式名詞,NIL,0,7
は,は,は,助詞,副助詞,NIL,0,7
それ,それ,それ,指示詞,名詞形態指示詞,NIL,0,7
だけ,だけ,だけ,助詞,副助詞,NIL,0,7
だ,だ,だ,判定詞,*,NIL,0,7
。,。,。,特殊,句点,NIL,0,7
そ,そ,そ,名詞,普通名詞,代表表記:祖/そ カテゴリ:人 漢字読み:音,0,8
したら,したら,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,8
読者,どくしゃ,読者,名詞,普通名詞,代表表記:読者/どくしゃ ドメイン:文化・芸術;メディア カテゴリ:人,0,8
が,が,が,助詞,格助詞,NIL,0,8
承知,しょうち,承知,名詞,サ変名詞,代表表記:承知/しょうち カテゴリ:抽象物,0,8
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,8
なくて,なくて,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,8
ね,ね,ね,助詞,終助詞,NIL,0,8
。,。,。,特殊,句点,NIL,0,8
販売,はんばい,販売,名詞,サ変名詞,代表表記:販売/はんばい ドメイン:ビジネス カテゴリ:抽象物 反義:名詞-サ変名詞:購入/こうにゅう,0,9
店,てん,店,名詞,普通名詞,代表表記:店/てん ドメイン:ビジネス カテゴリ:場所-施設 漢字読み:音,0,9
が,が,が,助詞,格助詞,NIL,0,9
うるさく,うるさく,うるさい,形容詞,*,代表表記:うるさい/うるさい,0,9
いって,いって,いく,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,0,9
くる,くる,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,0,9
んだ,んだ,んだ,助動詞,*,NIL,0,9
そうだ,そうだ,そうだ,助動詞,*,NIL,0,9
。,。,。,特殊,句点,NIL,0,9
それ,それ,それ,指示詞,名詞形態指示詞,NIL,0,10
で,で,で,助詞,格助詞,NIL,0,10
また,また,また,助詞,接続助詞,NIL,0,10
載せ,のせ,載せる,動詞,*,代表表記:載せる/のせる ドメイン:文化・芸術 自他動詞:自:載る/のる,0,10
はじめた,はじめた,はじめる,動詞,*,代表表記:始める/はじめる 反義:動詞:終える/おえる 自他動詞:自:始まる/はじまる 付属動詞候補（基本）,0,10
わけだ,わけだ,わけだ,助動詞,*,NIL,0,10
。,。,。,特殊,句点,NIL,0,10
江戸川,えどがわ,江戸川,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義 Wikipedia姓,0,11
銭形平次,ぜにがたへいじ,銭形平次,名詞,普通名詞,自動獲得:Wikipedia Wikipedia上位語:時代劇シリーズ Wikipediaリダイレクト:銭形平次　捕物控,0,11
が,が,が,助詞,格助詞,NIL,0,11
登場,とうじょう,登場,名詞,サ変名詞,代表表記:登場/とうじょう カテゴリ:抽象物 反義:名詞-サ変名詞:退場/たいじょう,0,11
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,11
から,から,から,助詞,接続助詞,NIL,0,11
