見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ある,ある,ある,連体詞,*,代表表記:或る/ある,１,0,0
にちよう,にちよう,にちよう,名詞,普通名詞,代表表記:日用/にちよう カテゴリ:抽象物,１,0,0
日,にち,日,名詞,地名,代表表記:日/にち 地名:国:略称:日本,１,0,0
の,の,の,助詞,接続助詞,NIL,１,0,0
ごご,ごご,ごご,名詞,時相名詞,代表表記:午後/ごご カテゴリ:時間,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
丹下,たんげ,丹下,名詞,人名,人名:日本:姓:966:0.00024,１,0,0
サト,さと,サト,名詞,普通名詞,代表表記:サト/さと 自動獲得:テキスト 副詞識別,１,0,0
子,こ,子,名詞,普通名詞,代表表記:子/こ ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,１,0,0
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,0
と,と,と,助詞,格助詞,NIL,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
木村,きむら,木村,名詞,人名,人名:日本:姓:20:0.00420,１,0,0
ミドリ,ミドリ,ミドリ,名詞,人名,自動獲得:Wikipedia Wikipedia上位語:ポルノ女優 Wikipediaリダイレクト:みどり,１,0,0
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,0
と,と,と,助詞,格助詞,NIL,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
野崎,のざき,野崎,名詞,人名,人名:日本:姓:642:0.00042,１,0,0
サユリ,サユリ,サユリ,名詞,普通名詞,自動獲得:Wikipedia Wikipedia多義,１,0,0
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,0
の,の,の,助詞,接続助詞,NIL,１,0,0
三,さん,三,名詞,数詞,カテゴリ:数量,１,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,１,0,0
が,が,が,助詞,格助詞,NIL,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
友だち,ともだち,友だち,名詞,普通名詞,代表表記:友達/ともだち ドメイン:家庭・暮らし カテゴリ:人,１,0,0
の,の,の,助詞,接続助詞,NIL,１,0,0
ところ,ところ,ところ,名詞,副詞的名詞,代表表記:ところ/ところ,１,0,0
へ,へ,へ,助詞,格助詞,NIL,１,0,0
あそび,あそび,あそぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,１,0,0
に,に,に,助詞,格助詞,NIL,１,0,0
行った,いった,行く,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,１,0,0
かえり,かえり,かえり,名詞,普通名詞,代表表記:孵り/かえりv 連用形名詞化:孵る/かえる,１,0,0
に,に,に,助詞,格助詞,NIL,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
世田谷,せたがや,世田谷,名詞,地名,代表表記:世田谷/せたがや 地名:日本:東京都:区,１,0,0
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,１,0,0
の,の,の,助詞,格助詞,NIL,１,0,0
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,１,0,0
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,１,0,0
を,を,を,助詞,格助詞,NIL,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
手,て,手,名詞,普通名詞,代表表記:手/て カテゴリ:動物-部位;抽象物 漢字読み:訓 〜を〜に構成語,１,0,0
を,を,を,助詞,格助詞,NIL,１,0,0
つないで,つないで,つなぐ,動詞,*,代表表記:繋ぐ/つなぐ 自他動詞:自:繋がる/つながる,１,0,0
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,１,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１,0,0
。,。,。,特殊,句点,NIL,１,0,0
三,さん,三,名詞,数詞,カテゴリ:数量,１,0,1
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,１,0,1
と,と,と,助詞,格助詞,NIL,１,0,1
も,も,も,助詞,副助詞,NIL,１,0,1
、,、,、,特殊,読点,NIL,１,0,1
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,１,0,1
三,さん,三,名詞,数詞,カテゴリ:数量,１,0,1
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,１,0,1
の,の,の,助詞,接続助詞,NIL,１,0,1
なかよし,なかよし,なかよし,名詞,普通名詞,代表表記:仲良し/なかよし カテゴリ:抽象物,１,0,1
です,です,だ,判定詞,*,NIL,１,0,1
。,。,。,特殊,句点,NIL,１,0,1
「,「,「,特殊,括弧始,NIL,１,0,2
あらっ,あらっ,あらう,動詞,*,代表表記:洗う/あらう ドメイン:家庭・暮らし,１,0,2
」,」,」,特殊,括弧終,NIL,１,0,2
。,。,。,特殊,句点,NIL,１,0,2
サト,さと,サト,名詞,普通名詞,代表表記:サト/さと 自動獲得:テキスト 副詞識別,１,0,3
子,こ,子,名詞,普通名詞,代表表記:子/こ ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,１,0,3
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,3
が,が,が,助詞,格助詞,NIL,１,0,3
、,、,、,特殊,読点,NIL,１,0,3
なに,なに,なに,名詞,普通名詞,代表表記:何/なに カテゴリ:抽象物 漢字読み:訓,１,0,3
を,を,を,助詞,格助詞,NIL,１,0,3
見た,みた,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,１,0,3
の,の,のだ,助動詞,*,NIL,１,0,3
か,か,か,助詞,接続助詞,NIL,１,0,3
、,、,、,特殊,読点,NIL,１,0,3
ぎょっと,ぎょっと,ぎょっと,副詞,*,代表表記:ぎょっと/ぎょっと スル接続可能,１,0,3
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,１,0,3
ように,ように,ようだ,助動詞,*,NIL,１,0,3
たちどまり,たちどまり,たちどまる,動詞,*,代表表記:立ち止まる/たちどまる,１,0,3
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１,0,3
。,。,。,特殊,句点,NIL,１,0,3
ミドリ,ミドリ,ミドリ,名詞,人名,自動獲得:Wikipedia Wikipedia上位語:ポルノ女優 Wikipediaリダイレクト:みどり,１,0,4
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,4
も,も,も,助詞,副助詞,NIL,１,0,4
サユリ,サユリ,サユリ,名詞,普通名詞,自動獲得:Wikipedia Wikipedia多義,１,0,4
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,4
も,も,も,助詞,副助詞,NIL,１,0,4
びっくり,びっくり,びっくり,名詞,サ変名詞,代表表記:ビックリ/びっくり カテゴリ:抽象物,１,0,4
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,１,0,4
、,、,、,特殊,読点,NIL,１,0,4
サト,さと,サト,名詞,普通名詞,代表表記:サト/さと 自動獲得:テキスト 副詞識別,１,0,4
