見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
二,に,二,名詞,数詞,カテゴリ:数量,発表者の附記,0,0
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,発表者の附記,0,0
ばかり,ばかり,ばかり,助詞,副助詞,NIL,発表者の附記,0,0
前,まえ,前,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,発表者の附記,0,0
の,の,の,助詞,接続助詞,NIL,発表者の附記,0,0
事,こと,事,名詞,普通名詞,代表表記:事/こと カテゴリ:抽象物 漢字読み:訓,発表者の附記,0,0
で,で,だ,判定詞,*,NIL,発表者の附記,0,0
ある,ある,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,発表者の附記,0,0
が,が,が,助詞,接続助詞,NIL,発表者の附記,0,0
、,、,、,特殊,読点,NIL,発表者の附記,0,0
Ｎ,Ｎ,Ｎ,特殊,記号,NIL,発表者の附記,0,0
某,ぼう,某,名詞,普通名詞,代表表記:某/ぼう カテゴリ:抽象物 漢字読み:音,発表者の附記,0,0
と,と,と,助詞,格助詞,NIL,発表者の附記,0,0
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,発表者の附記,0,0
中年,ちゅうねん,中年,名詞,普通名詞,代表表記:中年/ちゅうねん カテゴリ:人;時間,発表者の附記,0,0
の,の,の,助詞,接続助詞,NIL,発表者の附記,0,0
失業,しつぎょう,失業,名詞,サ変名詞,代表表記:失業/しつぎょう ドメイン:ビジネス カテゴリ:抽象物,発表者の附記,0,0
者,しゃ,者,接尾辞,名詞性名詞接尾辞,代表表記:者/しゃ カテゴリ:人 内容語,発表者の附記,0,0
が,が,が,助詞,格助詞,NIL,発表者の附記,0,0
、,、,、,特殊,読点,NIL,発表者の附記,0,0
手紙,てがみ,手紙,名詞,普通名詞,代表表記:手紙/てがみ ドメイン:家庭・暮らし カテゴリ:人工物-その他,発表者の附記,0,0
と,と,と,助詞,格助詞,NIL,発表者の附記,0,0
電話,でんわ,電話,名詞,サ変名詞,代表表記:電話/でんわ ドメイン:家庭・暮らし カテゴリ:人工物-その他 補文ト,発表者の附記,0,0
と,と,と,助詞,格助詞,NIL,発表者の附記,0,0
来訪,らいほう,来訪,名詞,サ変名詞,代表表記:来訪/らいほう カテゴリ:抽象物,発表者の附記,0,0
と,と,と,助詞,格助詞,NIL,発表者の附記,0,0
の,の,の,助詞,格助詞,NIL,発表者の附記,0,0
、,、,、,特殊,読点,NIL,発表者の附記,0,0
執念深い,しゅうねんぶかい,執念深い,形容詞,*,代表表記:執念深い/しゅうねんぶかい,発表者の附記,0,0
攻撃,こうげき,攻撃,名詞,サ変名詞,代表表記:攻撃/こうげき カテゴリ:抽象物 反義:名詞-サ変名詞:守備/しゅび;名詞-サ変名詞:防御/ぼうぎょ,発表者の附記,0,0
の,の,の,助詞,接続助詞,NIL,発表者の附記,0,0
結果,けっか,結果,名詞,副詞的名詞,代表表記:結果/けっか,発表者の附記,0,0
、,、,、,特殊,読点,NIL,発表者の附記,0,0
とうとう,とうとう,とうとう,副詞,*,代表表記:とうとう/とうとう,発表者の附記,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,発表者の附記,0,0
の,の,の,助詞,接続助詞,NIL,発表者の附記,0,0
書斎,しょさい,書斎,名詞,普通名詞,代表表記:書斎/しょさい カテゴリ:場所-施設,発表者の附記,0,0
に,に,に,助詞,格助詞,NIL,発表者の附記,0,0
上り,のぼり,上る,動詞,*,代表表記:上る/のぼる 付属動詞候補（基本）,発表者の附記,0,0
込んで,こんで,込む,動詞,*,代表表記:込む/こむ 反義:動詞:空く/すく 付属動詞候補（基本）,発表者の附記,0,0
