見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
小説,しょうせつ,小説,名詞,普通名詞,代表表記:小説/しょうせつ ドメイン:文化・芸術 カテゴリ:抽象物,老人形師,0,0
家,か,家,接尾辞,名詞性名詞接尾辞,代表表記:家/か カテゴリ:人 内容語,老人形師,0,0
大江,おおえ,大江,名詞,人名,人名:日本:姓:247:0.00109,老人形師,0,0
蘭堂,蘭堂,蘭堂,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,老人形師,0,0
は,は,は,助詞,副助詞,NIL,老人形師,0,0
、,、,、,特殊,読点,NIL,老人形師,0,0
人形,にんぎょう,人形,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,老人形師,0,0
師,し,師,名詞,普通名詞,代表表記:師/し カテゴリ:人 漢字読み:音,老人形師,0,0
の,の,の,助詞,接続助詞,NIL,老人形師,0,0
仕事,しごと,仕事,名詞,サ変名詞,代表表記:仕事/しごと ドメイン:家庭・暮らし;ビジネス カテゴリ:抽象物,老人形師,0,0
部屋,へや,部屋,名詞,普通名詞,代表表記:部屋/へや ドメイン:家庭・暮らし カテゴリ:場所-施設,老人形師,0,0
の,の,の,助詞,接続助詞,NIL,老人形師,0,0
こと,こと,こと,名詞,形式名詞,NIL,老人形師,0,0
を,を,を,助詞,格助詞,NIL,老人形師,0,0
書く,かく,書く,動詞,*,代表表記:書く/かく 補文ト,老人形師,0,0
必要に,ひつように,必要だ,形容詞,*,代表表記:必要だ/ひつようだ 反義:形容詞:不要だ/ふようだ,老人形師,0,0
迫ら,せまら,迫る,動詞,*,代表表記:迫る/せまる,老人形師,0,0
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,老人形師,0,0
。,。,。,特殊,句点,NIL,老人形師,0,0
ブリタニカ,ブリタニカ,ブリタニカ,名詞,普通名詞,自動獲得:Wikipedia Wikipediaリダイレクト:ブリタニカ百科事典,老人形師,0,1
や,や,や,助詞,接続助詞,NIL,老人形師,0,1
、,、,、,特殊,読点,NIL,老人形師,0,1
アメリカナ,アメリカナ,アメリカナ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,老人形師,0,1
や,や,や,助詞,接続助詞,NIL,老人形師,0,1
、,、,、,特殊,読点,NIL,老人形師,0,1
大,だい,大,接頭辞,名詞接頭辞,代表表記:大/だい 反義:接頭辞-名詞接頭辞:小/しょう 内容語 換言:+N:Nが大きい,老人形師,0,1
