見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,格助詞,NIL,< 章なし >,0,0
つけ,つけ,つけ,名詞,普通名詞,代表表記:付け/つけv 自他動詞:自:付く/つく 連用形名詞化:付ける/つける 補文ト 付属動詞候補（基本）,< 章なし >,0,0
句,く,句,名詞,普通名詞,代表表記:句/く ドメイン:文化・芸術;教育・学習 カテゴリ:抽象物 漢字読み:音,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
連作,れんさく,連作,名詞,サ変名詞,代表表記:連作/れんさく ドメイン:文化・芸術 カテゴリ:抽象物,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
連歌,れんが,連歌,名詞,普通名詞,代表表記:連歌/れんが ドメイン:文化・芸術 カテゴリ:抽象物,< 章なし >,0,1
俳諧,はいかい,俳諧,名詞,普通名詞,自動獲得:Wikipedia,< 章なし >,0,1
の,の,だ,判定詞,*,NIL,< 章なし >,0,1
如き,ごとき,如し,助動詞,*,NIL,< 章なし >,0,1
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,1
であろう,であろう,だ,判定詞,*,NIL,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
第,だい,第,接頭辞,名詞接頭辞,代表表記:第/だい,< 章なし >,0,2
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
発句,ほっく,発句,名詞,普通名詞,代表表記:発句/ほっく ドメイン:文化・芸術 カテゴリ:抽象物,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
余り,あまり,余りだ,形容詞,*,代表表記:余りだ/あまりだ,< 章なし >,0,2
限定,げんてい,限定,名詞,サ変名詞,代表表記:限定/げんてい カテゴリ:抽象物,< 章なし >,0,2
的で,てきで,的だ,接尾辞,形容詞性名詞接尾辞,代表表記:的だ/てきだ カテゴリ:抽象物 準内容語,< 章なし >,0,2
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,2
方,ほう,方,名詞,副詞的名詞,代表表記:方/ほう,< 章なし >,0,2
が,が,が,助詞,格助詞,NIL,< 章なし >,0,2
よろしい,よろしい,よろしい,形容詞,*,代表表記:よろしい/よろしい,< 章なし >,0,2
。,。,。,特殊,句点,NIL,< 章なし >,0,2
脇,わき,脇,名詞,普通名詞,代表表記:脇/わき カテゴリ:動物-部位;場所-機能,< 章なし >,0,3
は,は,は,助詞,副助詞,NIL,< 章なし >,0,3
これ,これ,これ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,3
を,を,を,助詞,格助詞,NIL,< 章なし >,0,3
いかように,いかように,いかようだ,形容詞,*,代表表記:如何様だ/いかようだ,< 章なし >,0,3
も,も,も,助詞,副助詞,NIL,< 章なし >,0,3
受けとる,うけとる,受けとる,動詞,*,代表表記:受け取る/うけとる,< 章なし >,0,3
であろう,であろう,だろう,助動詞,*,NIL,< 章なし >,0,3
。,。,。,特殊,句点,NIL,< 章なし >,0,3
第,だい,第,接頭辞,名詞接頭辞,代表表記:第/だい,< 章なし >,0,4
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,4
は,は,は,助詞,副助詞,NIL,< 章なし >,0,4
また,また,また,助詞,接続助詞,NIL,< 章なし >,0,4
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,4
を,を,を,助詞,格助詞,NIL,< 章なし >,0,4
別の,べつの,別だ,形容詞,*,代表表記:別だ/べつだ,< 章なし >,0,4
方向,ほうこう,方向,名詞,普通名詞,代表表記:方向/ほうこう カテゴリ:場所-機能,< 章なし >,0,4
に,に,に,助詞,格助詞,NIL,< 章なし >,0,4
転化,てんか,転化,名詞,サ変名詞,代表表記:転化/てんか カテゴリ:抽象物,< 章なし >,0,4
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,4
であろう,であろう,だろう,助動詞,*,NIL,< 章なし >,0,4
。,。,。,特殊,句点,NIL,< 章なし >,0,4
そして,そして,そして,接続詞,*,代表表記:そして/そして,< 章なし >,0,5
、,、,、,特殊,読点,NIL,< 章なし >,0,5
最後の,さいごの,最後だ,形容詞,*,代表表記:最後だ/さいごだ 反義:形容詞:最初だ/さいしょだ,< 章なし >,0,5
揚句,あげく,揚句,副詞,*,代表表記:挙げ句/あげく,< 章なし >,0,5
と,と,と,助詞,格助詞,NIL,< 章なし >,0,5
