見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,もうひとりの少年,0,0
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,0
銀座,ぎんざ,銀座,名詞,地名,代表表記:銀座/ぎんざ 地名:日本:東京都:地区,もうひとりの少年,0,0
に,に,に,助詞,格助詞,NIL,もうひとりの少年,0,0
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,もうひとりの少年,0,0
店,てん,店,名詞,普通名詞,代表表記:店/てん ドメイン:ビジネス カテゴリ:場所-施設 漢字読み:音,もうひとりの少年,0,0
を,を,を,助詞,格助詞,NIL,もうひとりの少年,0,0
もち,もち,もつ,動詞,*,代表表記:持つ/もつ,もうひとりの少年,0,0
、,、,、,特殊,読点,NIL,もうひとりの少年,0,0
宝石,ほうせき,宝石,名詞,普通名詞,代表表記:宝石/ほうせき カテゴリ:自然物,もうひとりの少年,0,0
王,おう,王,名詞,普通名詞,代表表記:王/おう ドメイン:政治 カテゴリ:人 漢字読み:音 人名末尾,もうひとりの少年,0,0
と,と,と,助詞,格助詞,NIL,もうひとりの少年,0,0
いわ,いわ,いう,動詞,*,代表表記:言う/いう 補文ト,もうひとりの少年,0,0
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,もうひとりの少年,0,0
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,もうひとりの少年,0,0
玉村,たまむら,玉村,名詞,地名,代表表記:玉村/たまむら 地名:日本:群馬県:町,もうひとりの少年,0,0
宝石,ほうせき,宝石,名詞,普通名詞,代表表記:宝石/ほうせき カテゴリ:自然物,もうひとりの少年,0,0
店,てん,店,名詞,普通名詞,代表表記:店/てん ドメイン:ビジネス カテゴリ:場所-施設 漢字読み:音,もうひとりの少年,0,0
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,0
主人,あるじ,主人,名詞,普通名詞,代表表記:主人/あるじ ドメイン:家庭・暮らし カテゴリ:人,もうひとりの少年,0,0
、,、,、,特殊,読点,NIL,もうひとりの少年,0,0
玉村,たまむら,玉村,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義 Wikipedia姓,もうひとりの少年,0,0
銀之助,銀之助,銀之助,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,もうひとりの少年,0,0
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,もうひとりの少年,0,0
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,0
すまい,すまい,すまい,名詞,普通名詞,代表表記:住まい/すまい ドメイン:家庭・暮らし カテゴリ:場所-施設 動詞派生:住まう/すまう,もうひとりの少年,0,0
は,は,は,助詞,副助詞,NIL,もうひとりの少年,0,0
、,、,、,特殊,読点,NIL,もうひとりの少年,0,0
渋谷,しぶや,渋谷,名詞,地名,代表表記:渋谷/しぶや 地名:日本:東京都:区,もうひとりの少年,0,0
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,もうひとりの少年,0,0
の,の,の,助詞,格助詞,NIL,もうひとりの少年,0,0
しずかな,しずかな,しずかだ,形容詞,*,代表表記:静かだ/しずかだ,もうひとりの少年,0,0
やしき,やしき,やしき,名詞,普通名詞,代表表記:屋敷/やしき ドメイン:家庭・暮らし カテゴリ:場所-施設,もうひとりの少年,0,0
町,ちょう,町,接尾辞,名詞性特殊接尾辞,代表表記:町/ちょう カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,もうひとりの少年,0,0
に,に,に,助詞,格助詞,NIL,もうひとりの少年,0,0
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,もうひとりの少年,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,もうひとりの少年,0,0
。,。,。,特殊,句点,NIL,もうひとりの少年,0,0
玉村,たまむら,玉村,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義 Wikipedia姓,もうひとりの少年,0,1
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,もうひとりの少年,0,1
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,1
家庭,かてい,家庭,名詞,普通名詞,代表表記:家庭/かてい ドメイン:家庭・暮らし カテゴリ:場所-その他,もうひとりの少年,0,1
に,に,に,助詞,格助詞,NIL,もうひとりの少年,0,1
は,は,は,助詞,副助詞,NIL,もうひとりの少年,0,1
、,、,、,特殊,読点,NIL,もうひとりの少年,0,1
奥さん,おくさん,奥さん,名詞,普通名詞,代表表記:奥さん/おくさん ドメイン:家庭・暮らし カテゴリ:人,もうひとりの少年,0,1
と,と,と,助詞,格助詞,NIL,もうひとりの少年,0,1
、,、,、,特殊,読点,NIL,もうひとりの少年,0,1
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,もうひとりの少年,0,1
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,もうひとりの少年,0,1
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,1
子ども,こども,子ども,名詞,普通名詞,代表表記:子供/こども カテゴリ:人,もうひとりの少年,0,1
が,が,が,助詞,格助詞,NIL,もうひとりの少年,0,1
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,もうひとりの少年,0,1
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,もうひとりの少年,0,1
。,。,。,特殊,句点,NIL,もうひとりの少年,0,1
ねえさん,ねえさん,ねえさん,名詞,普通名詞,代表表記:姉さん/ねえさん ドメイン:家庭・暮らし カテゴリ:人,もうひとりの少年,0,2
は,は,は,助詞,副助詞,NIL,もうひとりの少年,0,2
光子,てるこ,光子,名詞,人名,人名:日本:名:152:0.00065,もうひとりの少年,0,2
と,と,と,助詞,格助詞,NIL,もうひとりの少年,0,2
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,もうひとりの少年,0,2
高校,こうこう,高校,名詞,普通名詞,代表表記:高校/こうこう ドメイン:教育・学習 カテゴリ:組織・団体;場所-施設 組織名末尾,もうひとりの少年,0,2
一,いち,一,名詞,数詞,カテゴリ:数量,もうひとりの少年,0,2
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,もうひとりの少年,0,2
、,、,、,特殊,読点,NIL,もうひとりの少年,0,2
弟,おとうと,弟,名詞,普通名詞,代表表記:弟/おとうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,もうひとりの少年,0,2
は,は,は,助詞,副助詞,NIL,もうひとりの少年,0,2
銀一,銀一,銀一,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:さくら心中 読み不明,もうひとりの少年,0,2
と,と,と,助詞,格助詞,NIL,もうひとりの少年,0,2
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,もうひとりの少年,0,2
中学,ちゅうがく,中学,名詞,普通名詞,代表表記:中学/ちゅうがく ドメイン:教育・学習 カテゴリ:組織・団体;場所-施設 組織名末尾,もうひとりの少年,0,2
一,いち,一,名詞,数詞,カテゴリ:数量,もうひとりの少年,0,2
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,もうひとりの少年,0,2
です,です,だ,判定詞,*,NIL,もうひとりの少年,0,2
。,。,。,特殊,句点,NIL,もうひとりの少年,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,もうひとりの少年,0,3
とき,とき,とき,名詞,副詞的名詞,代表表記:時/とき,もうひとりの少年,0,3
、,、,、,特殊,読点,NIL,もうひとりの少年,0,3
その,その,その,指示詞,連体詞形態指示詞,NIL,もうひとりの少年,0,3
玉村,たまむら,玉村,名詞,地名,代表表記:玉村/たまむら 地名:日本:群馬県:町,もうひとりの少年,0,3
銀一,銀一,銀一,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:さくら心中 読み不明,もうひとりの少年,0,3
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,もうひとりの少年,0,3
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,3
身の上,みのうえ,身の上,名詞,普通名詞,代表表記:身の上/みのうえ カテゴリ:抽象物,もうひとりの少年,0,3
に,に,に,助詞,格助詞,NIL,もうひとりの少年,0,3
、,、,、,特殊,読点,NIL,もうひとりの少年,0,3
じつに,じつに,じつに,副詞,*,代表表記:実に/じつに 用言弱修飾,もうひとりの少年,0,3
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,もうひとりの少年,0,3
こと,こと,こと,名詞,形式名詞,NIL,もうひとりの少年,0,3
が,が,が,助詞,格助詞,NIL,もうひとりの少年,0,3
おこり,おこり,おこる,動詞,*,代表表記:怒る/おこる,もうひとりの少年,0,3
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,もうひとりの少年,0,3
。,。,。,特殊,句点,NIL,もうひとりの少年,0,3
それ,それ,それ,指示詞,名詞形態指示詞,NIL,もうひとりの少年,0,4
が,が,が,助詞,格助詞,NIL,もうひとりの少年,0,4
この,この,この,指示詞,連体詞形態指示詞,NIL,もうひとりの少年,0,4
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,もうひとりの少年,0,4
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,もうひとりの少年,0,4
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,4
出発,しゅっぱつ,出発,名詞,サ変名詞,代表表記:出発/しゅっぱつ カテゴリ:抽象物 反義:名詞-サ変名詞:到着/とうちゃく,もうひとりの少年,0,4
点,てん,点,名詞,普通名詞,代表表記:点/てん カテゴリ:形・模様 漢字読み:音,もうひとりの少年,0,4
に,に,に,助詞,格助詞,NIL,もうひとりの少年,0,4
なる,なる,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,もうひとりの少年,0,4
のです,のです,のだ,助動詞,*,NIL,もうひとりの少年,0,4
。,。,。,特殊,句点,NIL,もうひとりの少年,0,4
その,その,その,指示詞,連体詞形態指示詞,NIL,もうひとりの少年,0,5
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,もうひとりの少年,0,5
、,、,、,特殊,読点,NIL,もうひとりの少年,0,5
玉村,たまむら,玉村,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義 Wikipedia姓,もうひとりの少年,0,5
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,もうひとりの少年,0,5
は,は,は,助詞,副助詞,NIL,もうひとりの少年,0,5
、,、,、,特殊,読点,NIL,もうひとりの少年,0,5
松井,まつい,松井,名詞,人名,人名:日本:姓:61:0.00250,もうひとりの少年,0,5
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,もうひとりの少年,0,5
、,、,、,特殊,読点,NIL,もうひとりの少年,0,5
吉田,よしだ,吉田,名詞,人名,人名:日本:姓:14:0.00529,もうひとりの少年,0,5
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,もうひとりの少年,0,5
と,と,と,助詞,格助詞,NIL,もうひとりの少年,0,5
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,もうひとりの少年,0,5
、,、,、,特殊,読点,NIL,もうひとりの少年,0,5
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,もうひとりの少年,0,5
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,もうひとりの少年,0,5
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,5
友だち,ともだち,友だち,名詞,普通名詞,代表表記:友達/ともだち ドメイン:家庭・暮らし カテゴリ:人,もうひとりの少年,0,5
と,と,と,助詞,格助詞,NIL,もうひとりの少年,0,5
、,、,、,特殊,読点,NIL,もうひとりの少年,0,5
渋谷,しぶや,渋谷,名詞,地名,代表表記:渋谷/しぶや 地名:日本:東京都:区,もうひとりの少年,0,5
の,の,の,助詞,接続助詞,NIL,もうひとりの少年,0,5
大東,だいとう,大東,名詞,地名,代表表記:大東/だいとう 地名:日本:大阪府:市,もうひとりの少年,0,5
映画,えいが,映画,名詞,普通名詞,代表表記:映画/えいが ドメイン:文化・芸術 カテゴリ:抽象物,もうひとりの少年,0,5
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,もうひとりの少年,0,5
で,で,で,助詞,格助詞,NIL,もうひとりの少年,0,5
、,、,、,特殊,読点,NIL,もうひとりの少年,0,5
日本,にほん,日本,名詞,地名,代表表記:日本/にほん 地名:国,もうひとりの少年,0,5
もの,もの,もの,名詞,普通名詞,代表表記:物/もの カテゴリ:人工物-その他 漢字読み:訓,もうひとりの少年,0,5
