見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
（,（,（,特殊,括弧始,NIL,0,0
上,うえ,上,名詞,普通名詞,代表表記:上/うえ カテゴリ:場所-機能 漢字読み:訓,0,0
）,）,）,特殊,括弧終,NIL,0,0
事実,じじつ,事実,副詞,*,代表表記:事実/じじつ,0,0
。,。,。,特殊,句点,NIL,0,0
それ,それ,それ,指示詞,名詞形態指示詞,NIL,0,1
は,は,は,助詞,副助詞,NIL,0,1
九,きゅう,九,名詞,数詞,カテゴリ:数量,0,1
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,0,1
初旬,しょじゅん,初旬,名詞,時相名詞,代表表記:初旬/しょじゅん カテゴリ:時間,0,1
の,の,の,助詞,格助詞,NIL,0,1
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,1
蒸し暑い,むしあつい,蒸し暑い,形容詞,*,代表表記:蒸し暑い/むしあつい,0,1
晩,ばん,晩,名詞,時相名詞,代表表記:晩/ばん カテゴリ:時間 漢字読み:音,0,1
の,の,の,助詞,接続助詞,NIL,0,1
こと,こと,こと,名詞,形式名詞,NIL,0,1
であった,であった,だ,判定詞,*,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
Ｄ,Ｄ,Ｄ,特殊,記号,NIL,0,2
坂,さか,坂,名詞,地名,代表表記:坂/さか 地名:日本:広島県:町,0,2
の,の,の,助詞,接続助詞,NIL,0,2
大通り,おおどおり,大通り,名詞,普通名詞,代表表記:大通り/おおどおり ドメイン:交通 カテゴリ:場所-その他,0,2
の,の,の,助詞,接続助詞,NIL,0,2
中程,なかほど,中程,名詞,普通名詞,代表表記:中程/なかほど カテゴリ:抽象物,0,2
に,に,に,助詞,格助詞,NIL,0,2
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,2
、,、,、,特殊,読点,NIL,0,2
白梅,しらうめ,白梅,名詞,普通名詞,代表表記:白梅/しらうめ カテゴリ:植物,0,2
軒,のき,軒,名詞,普通名詞,代表表記:軒/のき ドメイン:家庭・暮らし カテゴリ:場所-施設部位 漢字読み:訓,0,2
と,と,と,助詞,格助詞,NIL,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,2
、,、,、,特殊,読点,NIL,0,2
行きつけ,いきつけ,行きつく,動詞,*,代表表記:行き着く/いきつく ドメイン:交通,0,2
の,の,の,助詞,接続助詞,NIL,0,2
カフェ,かふぇ,カフェ,名詞,普通名詞,代表表記:カフェ/かふぇ ドメイン:料理・食事 カテゴリ:場所-施設,0,2
で,で,で,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
冷し,ひやし,冷し,名詞,普通名詞,代表表記:冷やし/ひやしv 反義:動詞:温める/あたためる;動詞:暖める/あたためる 自他動詞:自:冷える/ひえる 連用形名詞化:冷やす/ひやす,0,2
コーヒー,こーひー,コーヒー,名詞,普通名詞,代表表記:珈琲/こーひー ドメイン:料理・食事 カテゴリ:人工物-食べ物,0,2
を,を,を,助詞,格助詞,NIL,0,2
啜って,啜って,啜る,動詞,*,代表表記:啜る/啜る 自動獲得:テキスト,0,2
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
。,。,。,特殊,句点,NIL,0,2
当時,とうじ,当時,名詞,時相名詞,代表表記:当時/とうじ カテゴリ:時間,0,3
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,0,3
は,は,は,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,0,3
を,を,を,助詞,格助詞,NIL,0,3
出た,でた,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,0,3
ばかりで,ばかりで,ばかりだ,助動詞,*,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
まだ,まだ,まだ,副詞,*,代表表記:まだ/まだ,0,3
これという,これという,これという,連体詞,*,代表表記:これという/これという,0,3
職業,しょくぎょう,職業,名詞,普通名詞,代表表記:職業/しょくぎょう ドメイン:ビジネス カテゴリ:抽象物,0,3
も,も,も,助詞,副助詞,NIL,0,3
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,3
