見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
恐怖,きょうふ,恐怖,名詞,サ変名詞,代表表記:恐怖/きょうふ カテゴリ:抽象物,0,0
の,の,の,助詞,接続助詞,NIL,0,0
一夜,いちや,一夜,名詞,時相名詞,代表表記:一夜/いちや カテゴリ:時間,0,0
。,。,。,特殊,句点,NIL,0,0
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,0,1
六,ろく,六,名詞,数詞,カテゴリ:数量,0,1
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,0,1
の,の,の,助詞,接続助詞,NIL,0,1
宮瀬,宮瀬,宮瀬,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,1
不二夫,不二夫,不二夫,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
たった,たった,たった,連体詞,*,代表表記:たった/たった,0,1
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,0,1
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,1
、,、,、,特殊,読点,NIL,0,1
広い,ひろい,広い,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,1
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,1
に,に,に,助詞,格助詞,NIL,0,1
るす,るす,るす,名詞,サ変名詞,代表表記:留守/るす ドメイン:家庭・暮らし カテゴリ:抽象物,0,1
番,ばん,番,名詞,普通名詞,代表表記:番/ばん カテゴリ:抽象物 漢字読み:音,0,1
を,を,を,助詞,格助詞,NIL,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
宮瀬,宮瀬,宮瀬,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,2
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,2
の,の,の,助詞,接続助詞,NIL,0,2
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,2
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,2
の,の,の,助詞,接続助詞,NIL,0,2
西北,せいほく,西北,名詞,普通名詞,代表表記:西北/せいほく カテゴリ:場所-機能,0,2
の,の,の,助詞,接続助詞,NIL,0,2
はずれ,はずれ,はずれ,名詞,普通名詞,代表表記:外れ/はずれv 反義:動詞:当たる/あたる 自他動詞:他:外す/はずす 連用形名詞化:外れる/はずれる,0,2
に,に,に,助詞,格助詞,NIL,0,2
あたる,あたる,あたる,動詞,*,代表表記:当たる/あたる 反義:動詞:外れる/はずれる 自他動詞:他:当てる/あてる,0,2
荻窪,荻窪,荻窪,名詞,地名,代表表記:荻窪/荻窪 地名:日本 DEV:body3,0,2
の,の,の,助詞,接続助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,0,2
丘,おか,丘,名詞,普通名詞,代表表記:丘/おか カテゴリ:場所-自然 漢字読み:訓,0,2
の,の,の,助詞,接続助詞,NIL,0,2
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,0,2
に,に,に,助詞,格助詞,NIL,0,2
立って,たって,立つ,動詞,*,代表表記:立つ/たつ 反義:動詞:座る/すわる 自他動詞:他:立てる/たてる 付属動詞候補（基本）,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,2
。,。,。,特殊,句点,NIL,0,2
この,この,この,指示詞,連体詞形態指示詞,NIL,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,3
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,3
は,は,は,助詞,副助詞,NIL,0,3
不二夫,不二夫,不二夫,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,3
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,3
の,の,の,助詞,接続助詞,NIL,0,3
おじさん,おじさん,おじさん,名詞,普通名詞,代表表記:伯父さん/おじさん ドメイン:家庭・暮らし カテゴリ:人,0,3
が,が,が,助詞,格助詞,NIL,0,3
