見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,鉄塔の火星人,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,鉄塔の火星人,0,0
団員,だんいん,団員,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,鉄塔の火星人,0,0
で,で,で,助詞,格助詞,NIL,鉄塔の火星人,0,0
、,、,、,特殊,読点,NIL,鉄塔の火星人,0,0
中学,ちゅうがく,中学,名詞,普通名詞,代表表記:中学/ちゅうがく ドメイン:教育・学習 カテゴリ:組織・団体;場所-施設 組織名末尾,鉄塔の火星人,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,鉄塔の火星人,0,0
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,鉄塔の火星人,0,0
の,の,の,助詞,接続助詞,NIL,鉄塔の火星人,0,0
中村,なかむら,中村,名詞,人名,人名:日本:姓:5:0.00676,鉄塔の火星人,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,鉄塔の火星人,0,0
と,と,と,助詞,格助詞,NIL,鉄塔の火星人,0,0
、,、,、,特殊,読点,NIL,鉄塔の火星人,0,0
有田,ありた,有田,名詞,人名,人名:日本:姓:445:0.00063,鉄塔の火星人,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,鉄塔の火星人,0,0
と,と,と,助詞,格助詞,NIL,鉄塔の火星人,0,0
、,、,、,特殊,読点,NIL,鉄塔の火星人,0,0
長島,ながしま,長島,名詞,人名,人名:日本:姓:443:0.00063,鉄塔の火星人,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,鉄塔の火星人,0,0
の,の,の,助詞,接続助詞,NIL,鉄塔の火星人,0,0
三,さん,三,名詞,数詞,カテゴリ:数量,鉄塔の火星人,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,鉄塔の火星人,0,0
は,は,は,助詞,副助詞,NIL,鉄塔の火星人,0,0
、,、,、,特殊,読点,NIL,鉄塔の火星人,0,0
大の,だいの,大の,連体詞,*,代表表記:大の/だいの,鉄塔の火星人,0,0
なかよし,なかよし,なかよし,名詞,普通名詞,代表表記:仲良し/なかよし カテゴリ:抽象物,鉄塔の火星人,0,0
でした,でした,だ,判定詞,*,NIL,鉄塔の火星人,0,0
。,。,。,特殊,句点,NIL,鉄塔の火星人,0,0
ある,ある,ある,連体詞,*,代表表記:或る/ある,鉄塔の火星人,0,1
午後,ごご,午後,名詞,時相名詞,代表表記:午後/ごご カテゴリ:時間,鉄塔の火星人,0,1
の,の,の,助詞,接続助詞,NIL,鉄塔の火星人,0,1
こと,こと,こと,名詞,形式名詞,NIL,鉄塔の火星人,0,1
、,、,、,特殊,読点,NIL,鉄塔の火星人,0,1
有田,ありた,有田,名詞,人名,人名:日本:姓:445:0.00063,鉄塔の火星人,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,鉄塔の火星人,0,1
