見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
よく,よく,よく,副詞,*,代表表記:良く/よく,< 章なし >,0,0
晴れた,はれた,晴れる,動詞,*,代表表記:晴れる/はれる 反義:動詞:曇る/くもる 自他動詞:他:晴らす/はらす,< 章なし >,0,0
秋,あき,秋,名詞,時相名詞,代表表記:秋/あき カテゴリ:時間 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,0
であった,であった,だ,判定詞,*,NIL,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
仲,なか,仲,名詞,普通名詞,代表表記:仲/なか カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,1
の,の,の,助詞,格助詞,NIL,< 章なし >,0,1
よい,よい,よい,形容詞,*,代表表記:良い/よい 反義:形容詞:悪い/わるい,< 章なし >,0,1
友達,ともだち,友達,名詞,普通名詞,代表表記:友達/ともだち ドメイン:家庭・暮らし カテゴリ:人,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
訪ねて,たずねて,訪ねる,動詞,*,代表表記:訪ねる/たずねる,< 章なし >,0,1
来て,きて,来る,接尾辞,動詞性接尾辞,代表表記:来る/くる,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,1
しきり,しきり,しきりだ,形容詞,*,代表表記:頻りだ/しきりだ,< 章なし >,0,1
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
はずんだ,はずんだ,はずむ,動詞,*,代表表記:弾む/はずむ,< 章なし >,0,1
あと,あと,あと,名詞,副詞的名詞,代表表記:後/あと,< 章なし >,0,1
で,で,だ,判定詞,*,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
「,「,「,特殊,括弧始,NIL,< 章なし >,0,1
気持,きもち,気持,名詞,普通名詞,代表表記:気持ち/きもち カテゴリ:抽象物,< 章なし >,0,1
の,の,の,助詞,格助詞,NIL,< 章なし >,0,1
いい,いい,いい,形容詞,*,代表表記:良い/よい 反義:形容詞:悪い/わるい,< 章なし >,0,1
天気,てんき,天気,名詞,普通名詞,代表表記:天気/てんき カテゴリ:抽象物,< 章なし >,0,1
じゃ,じゃ,だ,判定詞,*,NIL,< 章なし >,0,1
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,1
か,か,か,助詞,終助詞,NIL,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
どう,どう,どう,指示詞,副詞形態指示詞,NIL,< 章なし >,0,2
だ,だ,だ,判定詞,*,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
そこいら,そこいら,そこいら,名詞,普通名詞,代表表記:そこら/そこら カテゴリ:場所-機能,< 章なし >,0,2
を,を,を,助詞,格助詞,NIL,< 章なし >,0,2
少し,すこし,少し,副詞,*,代表表記:少し/すこし 修飾（デ格） 用言弱修飾 相対名詞修飾,< 章なし >,0,2
歩こう,あるこう,歩く,動詞,*,代表表記:歩く/あるく,< 章なし >,0,2
か,か,か,助詞,終助詞,NIL,< 章なし >,0,2
」,」,」,特殊,括弧終,NIL,< 章なし >,0,2
と,と,と,助詞,格助詞,NIL,< 章なし >,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,2
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,2
に,に,に,助詞,格助詞,NIL,< 章なし >,0,2
なって,なって,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,2
と,と,と,助詞,格助詞,NIL,< 章なし >,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,2
友達,ともだち,友達,名詞,普通名詞,代表表記:友達/ともだち ドメイン:家庭・暮らし カテゴリ:人,< 章なし >,0,2
と,と,と,助詞,格助詞,NIL,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
家,いえ,家,名詞,普通名詞,代表表記:家/いえ ドメイン:家庭・暮らし カテゴリ:組織・団体;場所-施設 漢字読み:訓,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
場末,ばすえ,場末,名詞,普通名詞,代表表記:場末/ばすえ カテゴリ:場所-その他,< 章なし >,0,2
に,に,に,助詞,格助詞,NIL,< 章なし >,0,2
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,2
ので,ので,のだ,助動詞,*,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
近く,ちかく,近く,名詞,普通名詞,代表表記:近く/ちかく カテゴリ:場所-機能;時間 反義:名詞-普通名詞:遠く/とおく 形容詞派生:近い/ちかい,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
広,ひろし,広,名詞,人名,人名:日本:名:705:0.00023,< 章なし >,0,2
っぱへと,っぱへと,っぱへと,未定義語,その他,未知語:ひらがな 品詞推定:名詞,< 章なし >,0,2
散歩,さんぽ,散歩,名詞,サ変名詞,代表表記:散歩/さんぽ ドメイン:レクリエーション カテゴリ:抽象物,< 章なし >,0,2
に,に,に,助詞,格助詞,NIL,< 章なし >,0,2
出掛けた,でかけた,出掛ける,動詞,*,代表表記:出掛ける/でかける,< 章なし >,0,2
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,2
であった,であった,だ,判定詞,*,NIL,< 章なし >,0,2
。,。,。,特殊,句点,NIL,< 章なし >,0,2
雑草,ざっそう,雑草,名詞,普通名詞,代表表記:雑草/ざっそう カテゴリ:植物,< 章なし >,0,3
の,の,の,助詞,格助詞,NIL,< 章なし >,0,3
生い茂った,おいしげった,生い茂る,動詞,*,代表表記:生い茂る/おいしげる,< 章なし >,0,3
広,ひろし,広,名詞,人名,人名:日本:名:705:0.00023,< 章なし >,0,3
っぱ,っぱ,っぱ,未定義語,その他,未知語:ひらがな 品詞推定:名詞,< 章なし >,0,3
に,に,に,助詞,格助詞,NIL,< 章なし >,0,3
は,は,は,助詞,副助詞,NIL,< 章なし >,0,3
、,、,、,特殊,読点,NIL,< 章なし >,0,3
昼間,ひるま,昼間,名詞,時相名詞,代表表記:昼間/ひるま カテゴリ:時間,< 章なし >,0,3
でも,でも,でも,助詞,副助詞,NIL,< 章なし >,0,3
秋,あき,秋,名詞,時相名詞,代表表記:秋/あき カテゴリ:時間 漢字読み:訓,< 章なし >,0,3
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,3
虫,ちゅう,虫,名詞,普通名詞,代表表記:虫/ちゅう カテゴリ:動物 漢字読み:音,< 章なし >,0,3
が,が,が,助詞,格助詞,NIL,< 章なし >,0,3
チロチロ,チロチロ,チロチロ,副詞,*,自動認識 未知語:擬音語擬態語 する連続可能,< 章なし >,0,3
と,と,と,助詞,格助詞,NIL,< 章なし >,0,3
鳴いて,ないて,鳴く,動詞,*,代表表記:鳴く/なく,< 章なし >,0,3
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,3
。,。,。,特殊,句点,NIL,< 章なし >,0,3
草,くさ,草,名詞,普通名詞,代表表記:草/くさ カテゴリ:植物 漢字読み:訓,< 章なし >,0,4
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,4
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,< 章なし >,0,4
を,を,を,助詞,格助詞,NIL,< 章なし >,0,4
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,4
尺,しゃく,尺,接尾辞,名詞性名詞助数辞,代表表記:尺/しゃく 準内容語,< 章なし >,0,4
ばかり,ばかり,ばかり,助詞,副助詞,NIL,< 章なし >,0,4
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,4
小川,おがわ,小川,名詞,普通名詞,代表表記:小川/おがわ カテゴリ:場所-自然,< 章なし >,0,4
が,が,が,助詞,格助詞,NIL,< 章なし >,0,4
流れて,ながれて,流れる,動詞,*,代表表記:流れる/ながれる 自他動詞:他:流す/ながす,< 章なし >,0,4
いたり,いたり,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,4
した,した,する,接尾辞,動詞性接尾辞,代表表記:する/する,< 章なし >,0,4
。,。,。,特殊,句点,NIL,< 章なし >,0,4
所々,ところどころ,所々,副詞,*,代表表記:所々/ところどころ,< 章なし >,0,5
に,に,に,助詞,格助詞,NIL,< 章なし >,0,5
は,は,は,助詞,副助詞,NIL,< 章なし >,0,5
小高い,こだかい,小高い,形容詞,*,代表表記:小高い/こだかい,< 章なし >,0,5
丘,おか,丘,名詞,普通名詞,代表表記:丘/おか カテゴリ:場所-自然 漢字読み:訓,< 章なし >,0,5
も,も,も,助詞,副助詞,NIL,< 章なし >,0,5
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,5
。,。,。,特殊,句点,NIL,< 章なし >,0,5
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,6
達,たち,達,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,< 章なし >,0,6
は,は,は,助詞,副助詞,NIL,< 章なし >,0,6
とある,とある,とある,連体詞,*,代表表記:とある/とある,< 章なし >,0,6
丘,おか,丘,名詞,普通名詞,代表表記:丘/おか カテゴリ:場所-自然 漢字読み:訓,< 章なし >,0,6
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,6
中腹,ちゅうふく,中腹,名詞,普通名詞,代表表記:中腹/ちゅうふく カテゴリ:場所-自然,< 章なし >,0,6
