見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
１,いち,１,名詞,数詞,カテゴリ:数量,0,0
マント,まんと,マント,名詞,普通名詞,代表表記:マント/まんと ドメイン:家庭・暮らし カテゴリ:人工物-衣類,0,0
にんぎょう,にんぎょう,にんぎょう,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,0
の,の,の,助詞,接続助詞,NIL,0,0
まき,まき,まき,名詞,普通名詞,代表表記:牧/まき カテゴリ:場所-その他 漢字読み:訓,0,0
。,。,。,特殊,句点,NIL,0,0
きむら,きむら,きむら,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,0,1
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,0,1
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
しょうがっこう,しょうがっこう,しょうがっこう,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,0,1
の,の,の,助詞,接続助詞,NIL,0,1
二,に,二,名詞,数詞,カテゴリ:数量,0,1
ねん,ねん,ねん,名詞,普通名詞,代表表記:念/ねん カテゴリ:抽象物 漢字読み:音,0,1
生,せい,生,名詞,普通名詞,代表表記:生/せい カテゴリ:抽象物 漢字読み:音,0,1
で,で,だ,判定詞,*,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
とうきょう,とうきょう,とうきょう,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,1
の,の,の,助詞,格助詞,NIL,0,1
ひろい,ひろい,ひろい,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,1
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,1
に,に,に,助詞,格助詞,NIL,0,1
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,2
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,2
かいしゃ,かいしゃ,かいしゃ,名詞,普通名詞,代表表記:会社/かいしゃ ドメイン:ビジネス カテゴリ:組織・団体;場所-施設,0,2
の,の,の,助詞,接続助詞,NIL,0,2
しゃちょう,しゃちょう,しゃちょう,名詞,普通名詞,代表表記:社長/しゃちょう ドメイン:ビジネス カテゴリ:人 人名末尾,0,2
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,2
です,です,だ,判定詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
きむら,きむら,きむら,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,0,3
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,0,3
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,3
の,の,の,助詞,接続助詞,NIL,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,3
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,3
の,の,の,助詞,接続助詞,NIL,0,3
ちかく,ちかく,ちかく,名詞,普通名詞,代表表記:地核/ちかく カテゴリ:場所-自然,0,3
に,に,に,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
