見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
一,いち,一,名詞,数詞,カテゴリ:数量,0,0
、,、,、,特殊,読点,NIL,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,0,0
翌日,よくじつ,翌日,名詞,時相名詞,代表表記:翌日/よくじつ カテゴリ:時間,0,0
。,。,。,特殊,句点,NIL,0,0
「,「,「,特殊,括弧始,NIL,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,1
父さん,とうさん,父さん,名詞,普通名詞,代表表記:父さん/とうさん ドメイン:家庭・暮らし カテゴリ:人,0,1
が,が,が,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
なくなら,なくなら,なくなる,動詞,*,代表表記:亡くなる/なくなる ドメイン:家庭・暮らし 自他動詞:他:亡くす/なくす,0,1
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,1
と,と,と,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,1
じゃ,じゃ,じゃ,助詞,副助詞,標準:で/で+は/は,0,1
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,1
か,か,か,助詞,接続助詞,NIL,0,1
」,」,」,特殊,括弧終,NIL,0,1
「,「,「,特殊,括弧始,NIL,0,1
ウン,うん,ウン,名詞,普通名詞,代表表記:ウン/うん 自動獲得:テキスト 副詞識別,0,1
」,」,」,特殊,括弧終,NIL,0,1
「,「,「,特殊,括弧始,NIL,0,1
矢,や,矢,名詞,普通名詞,代表表記:矢/や カテゴリ:人工物-その他 漢字読み:訓,0,1
張り,はり,張る,動詞,*,代表表記:張る/はる,0,1
本当な,ほんとうな,本当だ,形容詞,*,代表表記:本当だ/ほんとうだ 反義:名詞-普通名詞:嘘/うそ,0,1
んだ,んだ,んだ,助動詞,*,NIL,0,1
ね,ね,ね,助詞,終助詞,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
だが,だが,だが,接続詞,*,代表表記:だが/だが,0,2
、,、,、,特殊,読点,NIL,0,2
君,きみ,君,名詞,普通名詞,代表表記:君/きみ カテゴリ:人 漢字読み:訓,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
今朝,けさ,今朝,名詞,時相名詞,代表表記:今朝/けさ カテゴリ:時間,0,2
の,の,の,助詞,接続助詞,NIL,0,2
○○,○○,○○,名詞,数詞,カテゴリ:数量 未知語:数字,0,2
新聞,しんぶん,新聞,名詞,普通名詞,代表表記:新聞/しんぶん ドメイン:メディア カテゴリ:人工物-その他,0,2
の,の,の,助詞,接続助詞,NIL,0,2
記事,きじ,記事,名詞,普通名詞,代表表記:記事/きじ ドメイン:メディア カテゴリ:抽象物,0,2
を,を,を,助詞,格助詞,NIL,0,2
読んだ,よんだ,読む,動詞,*,代表表記:読む/よむ,0,2
かい,かい,かい,助詞,終助詞,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
一体,いったい,一体,副詞,*,代表表記:一体/いったい,0,3
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,0,3
は,は,は,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
事実,じじつ,事実,副詞,*,代表表記:事実/じじつ,0,3
な,な,だ,判定詞,*,NIL,0,3
の,の,のだ,助動詞,*,NIL,0,3
かい,かい,かい,助詞,終助詞,NIL,0,3
」,」,」,特殊,括弧終,NIL,0,3
「,「,「,特殊,括弧始,NIL,0,3
……,……,……,特殊,記号,NIL,0,3
……,……,……,特殊,記号,NIL,0,3
」,」,」,特殊,括弧終,NIL,0,3
「,「,「,特殊,括弧始,NIL,0,3
オイ,おい,オイ,感動詞,*,代表表記:オイ/おい,0,3
、,、,、,特殊,読点,NIL,0,3
しっかり,しっかり,しっかり,副詞,*,代表表記:シッカリ/しっかり スル接続可能 修飾（ト格）,0,3
しろ,しろ,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,3
よ,よ,よ,助詞,終助詞,NIL,0,3
。,。,。,特殊,句点,NIL,0,3
