見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,志摩の女王,0,0
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,0
まん,まん,まん,名詞,普通名詞,代表表記:満/まん カテゴリ:抽象物 漢字読み:音,志摩の女王,0,0
中,ちゅう,中,接尾辞,名詞性名詞接尾辞,代表表記:中/ちゅう 内容語,志摩の女王,0,0
に,に,に,助詞,格助詞,NIL,志摩の女王,0,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,志摩の女王,0,0
有名な,ゆうめいな,有名だ,形容詞,*,代表表記:有名だ/ゆうめいだ 反義:名詞-普通名詞:無名/むめい,志摩の女王,0,0
デパート,でぱーと,デパート,名詞,普通名詞,代表表記:デパート/でぱーと ドメイン:ビジネス カテゴリ:場所-施設,志摩の女王,0,0
で,で,だ,判定詞,*,NIL,志摩の女王,0,0
、,、,、,特殊,読点,NIL,志摩の女王,0,0
宝石,ほうせき,宝石,名詞,普通名詞,代表表記:宝石/ほうせき カテゴリ:自然物,志摩の女王,0,0
てんらん,てんらん,てんらん,名詞,サ変名詞,代表表記:展覧/てんらん ドメイン:文化・芸術 カテゴリ:抽象物,志摩の女王,0,0
会,かい,会,名詞,普通名詞,代表表記:会/かい カテゴリ:抽象物 漢字読み:音 組織名末尾,志摩の女王,0,0
が,が,が,助詞,格助詞,NIL,志摩の女王,0,0
ひらか,ひらか,ひらく,動詞,*,代表表記:開く/ひらく 反義:動詞:閉じる/とじる 自他動詞:同形,志摩の女王,0,0
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,志摩の女王,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,志摩の女王,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,志摩の女王,0,0
。,。,。,特殊,句点,NIL,志摩の女王,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,志摩の女王,0,1
デパート,でぱーと,デパート,名詞,普通名詞,代表表記:デパート/でぱーと ドメイン:ビジネス カテゴリ:場所-施設,志摩の女王,0,1
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,1
美術,びじゅつ,美術,名詞,普通名詞,代表表記:美術/びじゅつ ドメイン:文化・芸術 カテゴリ:抽象物,志摩の女王,0,1
部,ぶ,部,名詞,普通名詞,代表表記:部/ぶ カテゴリ:組織・団体;数量 漢字読み:音,志摩の女王,0,1
主任,しゅにん,主任,名詞,普通名詞,代表表記:主任/しゅにん ドメイン:ビジネス カテゴリ:人 人名末尾,志摩の女王,0,1
が,が,が,助詞,格助詞,NIL,志摩の女王,0,1
大,だい,大,接頭辞,名詞接頭辞,代表表記:大/だい 反義:接頭辞-名詞接頭辞:小/しょう 内容語 換言:+N:Nが大きい,志摩の女王,0,1
活動,かつどう,活動,名詞,サ変名詞,代表表記:活動/かつどう カテゴリ:抽象物,志摩の女王,0,1
を,を,を,助詞,格助詞,NIL,志摩の女王,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,志摩の女王,0,1
、,、,、,特殊,読点,NIL,志摩の女王,0,1
日本,にほん,日本,名詞,地名,代表表記:日本/にほん 地名:国,志摩の女王,0,1
じゅう,じゅう,じゅう,名詞,普通名詞,代表表記:住/じゅう ドメイン:家庭・暮らし カテゴリ:抽象物 漢字読み:音,志摩の女王,0,1
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,1
名,な,名,名詞,普通名詞,代表表記:名/な カテゴリ:抽象物 漢字読み:訓,志摩の女王,0,1
の,の,の,助詞,格助詞,NIL,志摩の女王,0,1
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,志摩の女王,0,1
宝石,ほうせき,宝石,名詞,普通名詞,代表表記:宝石/ほうせき カテゴリ:自然物,志摩の女王,0,1
を,を,を,助詞,格助詞,NIL,志摩の女王,0,1
かり集め,かりあつめ,かり集める,動詞,*,代表表記:駆り集める/かりあつめる,志摩の女王,0,1
、,、,、,特殊,読点,NIL,志摩の女王,0,1
五,ご,五,名詞,数詞,カテゴリ:数量,志摩の女王,0,1
階,かい,階,接尾辞,名詞性名詞助数辞,代表表記:階/かい 準内容語,志摩の女王,0,1
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,1
てんらん,てんらん,てんらん,名詞,サ変名詞,代表表記:展覧/てんらん ドメイン:文化・芸術 カテゴリ:抽象物,志摩の女王,0,1
会場,かいじょう,会場,名詞,普通名詞,代表表記:会場/かいじょう カテゴリ:場所-その他 〜を〜に構成語,志摩の女王,0,1
に,に,に,助詞,格助詞,NIL,志摩の女王,0,1
、,、,、,特殊,読点,NIL,志摩の女王,0,1
きらびやかに,きらびやかに,きらびやかだ,形容詞,*,代表表記:きらびやかだ/きらびやかだ,志摩の女王,0,1
ちんれつ,ちんれつ,ちんれつ,名詞,サ変名詞,代表表記:陳列/ちんれつ カテゴリ:抽象物,志摩の女王,0,1
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,志摩の女王,0,1
のです,のです,のだ,助動詞,*,NIL,志摩の女王,0,1
。,。,。,特殊,句点,NIL,志摩の女王,0,1
むかし,むかし,むかし,名詞,時相名詞,代表表記:昔/むかし カテゴリ:時間 漢字読み:訓,志摩の女王,0,2
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,2
華族,かぞく,華族,名詞,普通名詞,代表表記:華族/かぞく ドメイン:政治 カテゴリ:組織・団体,志摩の女王,0,2
や,や,や,助詞,接続助詞,NIL,志摩の女王,0,2
各,かく,各,接頭辞,名詞接頭辞,代表表記:各/かく 内容語,志摩の女王,0,2
地方,ちほう,地方,名詞,普通名詞,代表表記:地方/ちほう カテゴリ:場所-その他 地名末尾,志摩の女王,0,2
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,2
名家,めいか,名家,名詞,普通名詞,代表表記:名家/めいか ドメイン:家庭・暮らし カテゴリ:抽象物,志摩の女王,0,2
の,の,の,助詞,格助詞,NIL,志摩の女王,0,2
、,、,、,特殊,読点,NIL,志摩の女王,0,2
だいじに,だいじに,だいじだ,形容詞,*,代表表記:大事だ/だいじだ,志摩の女王,0,2
して,して,する,接尾辞,動詞性接尾辞,代表表記:する/する,志摩の女王,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,志摩の女王,0,2
宝石,ほうせき,宝石,名詞,普通名詞,代表表記:宝石/ほうせき カテゴリ:自然物,志摩の女王,0,2
類,るい,類,名詞,普通名詞,代表表記:類/るい カテゴリ:抽象物 漢字読み:音,志摩の女王,0,2
が,が,が,助詞,格助詞,NIL,志摩の女王,0,2
、,、,、,特殊,読点,NIL,志摩の女王,0,2
日本,にほん,日本,名詞,地名,代表表記:日本/にほん 地名:国,志摩の女王,0,2
に,に,に,助詞,格助詞,NIL,志摩の女王,0,2
も,も,も,助詞,副助詞,NIL,志摩の女王,0,2
こんなに,こんなに,こんなに,指示詞,副詞形態指示詞,NIL,志摩の女王,0,2
宝石,ほうせき,宝石,名詞,普通名詞,代表表記:宝石/ほうせき カテゴリ:自然物,志摩の女王,0,2
が,が,が,助詞,格助詞,NIL,志摩の女王,0,2
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,志摩の女王,0,2
の,の,のだ,助動詞,*,NIL,志摩の女王,0,2
か,か,か,助詞,接続助詞,NIL,志摩の女王,0,2
と,と,と,助詞,格助詞,NIL,志摩の女王,0,2
、,、,、,特殊,読点,NIL,志摩の女王,0,2
おどろく,おどろく,おどろく,動詞,*,代表表記:驚く/おどろく,志摩の女王,0,2
ほど,ほど,ほど,名詞,副詞的名詞,代表表記:程/ほど,志摩の女王,0,2
集まった,あつまった,集まる,動詞,*,代表表記:集まる/あつまる 自他動詞:他:集める/あつめる,志摩の女王,0,2
のです,のです,のだ,助動詞,*,NIL,志摩の女王,0,2
。,。,。,特殊,句点,NIL,志摩の女王,0,2
宮さま,みやさま,宮さま,名詞,普通名詞,代表表記:宮様/みやさま ドメイン:政治 カテゴリ:人,志摩の女王,0,3
から,から,から,助詞,格助詞,NIL,志摩の女王,0,3
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,3
出品,しゅっぴん,出品,名詞,サ変名詞,代表表記:出品/しゅっぴん ドメイン:文化・芸術 カテゴリ:抽象物,志摩の女王,0,3
も,も,も,助詞,副助詞,NIL,志摩の女王,0,3
いく,いく,いく,名詞,数詞,カテゴリ:数量,志摩の女王,0,3
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,志摩の女王,0,3
か,か,か,助詞,接続助詞,NIL,志摩の女王,0,3
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,志摩の女王,0,3
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,志摩の女王,0,3
。,。,。,特殊,句点,NIL,志摩の女王,0,3
集まった,あつまった,集まる,動詞,*,代表表記:集まる/あつまる 自他動詞:他:集める/あつめる,志摩の女王,0,4
宝石,ほうせき,宝石,名詞,普通名詞,代表表記:宝石/ほうせき カテゴリ:自然物,志摩の女王,0,4
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,4
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,志摩の女王,0,4
に,に,に,助詞,格助詞,NIL,志摩の女王,0,4
は,は,は,助詞,副助詞,NIL,志摩の女王,0,4
、,、,、,特殊,読点,NIL,志摩の女王,0,4
じつに,じつに,じつに,副詞,*,代表表記:実に/じつに 用言弱修飾,志摩の女王,0,4
、,、,、,特殊,読点,NIL,志摩の女王,0,4
いろいろな,いろいろな,いろいろだ,形容詞,*,代表表記:色々だ/いろいろだ,志摩の女王,0,4
美術,びじゅつ,美術,名詞,普通名詞,代表表記:美術/びじゅつ ドメイン:文化・芸術 カテゴリ:抽象物,志摩の女王,0,4
品,しな,品,名詞,普通名詞,代表表記:品/しな カテゴリ:人工物-その他 漢字読み:訓,志摩の女王,0,4
が,が,が,助詞,格助詞,NIL,志摩の女王,0,4
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,志摩の女王,0,4
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,志摩の女王,0,4
。,。,。,特殊,句点,NIL,志摩の女王,0,4
ダイヤモンド,だいやもんど,ダイヤモンド,名詞,普通名詞,代表表記:ダイヤモンド/だいやもんど カテゴリ:自然物,志摩の女王,0,5
や,や,や,助詞,接続助詞,NIL,志摩の女王,0,5
ルビー,るびー,ルビー,名詞,普通名詞,代表表記:ルビー/るびー カテゴリ:自然物,志摩の女王,0,5
を,を,を,助詞,格助詞,NIL,志摩の女王,0,5
ちりばめた,ちりばめた,ちりばめる,動詞,*,代表表記:鏤める/ちりばめる,志摩の女王,0,5
、,、,、,特殊,読点,NIL,志摩の女王,0,5
ヨーロッパ,よーろっぱ,ヨーロッパ,名詞,地名,代表表記:ヨーロッパ/よーろっぱ 地名:地域,志摩の女王,0,5
の,の,の,助詞,格助詞,NIL,志摩の女王,0,5
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,志摩の女王,0,5
国,くに,国,名詞,普通名詞,代表表記:国/くに ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 地名末尾,志摩の女王,0,5
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,5
王冠,おうかん,王冠,名詞,普通名詞,代表表記:王冠/おうかん ドメイン:政治 カテゴリ:人工物-衣類,志摩の女王,0,5
、,、,、,特殊,読点,NIL,志摩の女王,0,5
みごとな,みごとな,みごとだ,形容詞,*,代表表記:見事だ/みごとだ,志摩の女王,0,5
ダイヤ,だいや,ダイヤ,名詞,普通名詞,代表表記:ダイヤ/だいや カテゴリ:自然物;抽象物;形・模様,志摩の女王,0,5
で,で,で,助詞,格助詞,NIL,志摩の女王,0,5
ふち,ふち,ふち,名詞,普通名詞,代表表記:淵/ふち カテゴリ:場所-自然,志摩の女王,0,5
かざり,かざり,かざり,名詞,普通名詞,代表表記:飾り/かざりv 連用形名詞化:飾る/かざる,志摩の女王,0,5
を,を,を,助詞,格助詞,NIL,志摩の女王,0,5
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,志摩の女王,0,5
、,、,、,特殊,読点,NIL,志摩の女王,0,5
イギリス,いぎりす,イギリス,名詞,地名,代表表記:イギリス/いぎりす 地名:国:別称:英国,志摩の女王,0,5
製,せい,製,接尾辞,名詞性名詞接尾辞,代表表記:製/せい カテゴリ:抽象物 内容語 換言:N+:Nで製造,志摩の女王,0,5
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,5
置時計,置時計,置時計,名詞,普通名詞,代表表記:置時計/置時計 自動獲得:テキスト 副詞識別,志摩の女王,0,5
、,、,、,特殊,読点,NIL,志摩の女王,0,5
サファイア,さふぁいあ,サファイア,名詞,普通名詞,代表表記:サファイア/さふぁいあ カテゴリ:自然物,志摩の女王,0,5
を,を,を,助詞,格助詞,NIL,志摩の女王,0,5
ちりばめた,ちりばめた,ちりばめる,動詞,*,代表表記:鏤める/ちりばめる,志摩の女王,0,5
黄金,おうごん,黄金,名詞,普通名詞,代表表記:黄金/おうごん カテゴリ:人工物-その他;色,志摩の女王,0,5
の,の,の,助詞,接続助詞,NIL,志摩の女王,0,5
手箱,手箱,手箱,名詞,地名,自動獲得:Wikipedia 読み不明 Wikipedia複合地名,志摩の女王,0,5
など,など,など,助詞,副助詞,NIL,志摩の女王,0,5
から,から,から,助詞,格助詞,NIL,志摩の女王,0,5
