見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
アッ,あっ,アッ,感動詞,*,代表表記:アッ/あっ,一,0,0
と,と,と,助詞,格助詞,NIL,一,0,0
思う,おもう,思う,動詞,*,代表表記:思う/おもう 補文ト,一,0,0
間,あいだ,間,名詞,副詞的名詞,代表表記:間/あいだ,一,0,0
に,に,に,助詞,格助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
相手,あいて,相手,名詞,普通名詞,代表表記:相手/あいて カテゴリ:人 〜を〜に構成語,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
まるで,まるで,まるで,副詞,*,代表表記:まるで/まるで,一,0,0
泥,どろ,泥,名詞,普通名詞,代表表記:泥/どろ カテゴリ:自然物 漢字読み:訓,一,0,0
で,で,で,助詞,格助詞,NIL,一,0,0
拵えた,こしらえた,拵える,動詞,*,代表表記:拵える/こしらえる,一,0,0
人形,にんぎょう,人形,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,一,0,0
が,が,が,助詞,格助詞,NIL,一,0,0
くずれ,くずれ,くずれ,名詞,普通名詞,代表表記:崩れ/くずれv 自他動詞:他:崩す/くずす 連用形名詞化:崩れる/くずれる,一,0,0
で,で,だ,判定詞,*,NIL,一,0,0
も,も,も,助詞,副助詞,NIL,一,0,0
する,する,する,接尾辞,動詞性接尾辞,代表表記:する/する,一,0,0
様に,ように,様だ,助動詞,*,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
グナリ,グナリ,グナリ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,一,0,0
と,と,と,助詞,格助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
前,まえ,前,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,一,0,0
の,の,の,助詞,接続助詞,NIL,一,0,0
机,つくえ,机,名詞,普通名詞,代表表記:机/つくえ ドメイン:教育・学習;ビジネス カテゴリ:人工物-その他 漢字読み:訓,一,0,0
の,の,の,助詞,接続助詞,NIL,一,0,0
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,一,0,0
に,に,に,助詞,格助詞,NIL,一,0,0
平たく,ひらたく,平たい,形容詞,*,代表表記:平たい/ひらたい,一,0,0
なった,なった,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,一,0,0
。,。,。,特殊,句点,NIL,一,0,0
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,一,0,1
は,は,は,助詞,副助詞,NIL,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
鼻,はな,鼻,名詞,普通名詞,代表表記:鼻/はな カテゴリ:動物-部位 漢字読み:訓,一,0,1
柱,ちゅう,柱,名詞,普通名詞,代表表記:柱/ちゅう カテゴリ:場所-施設部位 漢字読み:音 〜を〜に構成語,一,0,1
が,が,が,助詞,格助詞,NIL,一,0,1
