見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
白昼,はくちゅう,白昼,名詞,時相名詞,代表表記:白昼/はくちゅう カテゴリ:時間,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
悪夢,あくむ,悪夢,名詞,普通名詞,代表表記:悪夢/あくむ カテゴリ:抽象物,< 章なし >,0,0
であった,であった,だ,判定詞,*,NIL,< 章なし >,0,0
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
それとも,それとも,それとも,接続詞,*,代表表記:それとも/それとも,< 章なし >,0,0
現実,げんじつ,現実,名詞,普通名詞,代表表記:現実/げんじつ カテゴリ:抽象物 反義:名詞-普通名詞:理想/りそう;名詞-サ変名詞:空想/くうそう 修飾（ニ格）,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,< 章なし >,0,0
であった,であった,だ,判定詞,*,NIL,< 章なし >,0,0
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
晩春,ばんしゅん,晩春,名詞,時相名詞,代表表記:晩春/ばんしゅん カテゴリ:時間,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
生,せい,生,名詞,普通名詞,代表表記:生/せい カテゴリ:抽象物 漢字読み:音,< 章なし >,0,1
暖い,暖い,暖い,形容詞,*,代表表記:暖い/暖い 自動獲得:テキスト,< 章なし >,0,1
風,かぜ,風,名詞,普通名詞,代表表記:風/かぜ カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
オドロオドロ,オドロオドロ,オドロオドロ,副詞,*,自動認識 未知語:擬音語擬態語 する連続可能,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
火照った,ほてった,火照る,動詞,*,代表表記:火照る/ほてる,< 章なし >,0,1
頬,ほお,頬,名詞,普通名詞,代表表記:頬/ほお カテゴリ:動物-部位,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
感ぜ,かんぜ,感ずる,動詞,*,代表表記:感ずる/かんずる 同義:動詞:感じる/かんじる 補文ト,< 章なし >,0,1
られる,られる,られる,接尾辞,動詞性接尾辞,代表表記:られる/られる,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
蒸し暑い,むしあつい,蒸し暑い,形容詞,*,代表表記:蒸し暑い/むしあつい,< 章なし >,0,1
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
午後,ごご,午後,名詞,時相名詞,代表表記:午後/ごご カテゴリ:時間,< 章なし >,0,1
であった,であった,だ,判定詞,*,NIL,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
用事,ようじ,用事,名詞,普通名詞,代表表記:用事/ようじ カテゴリ:抽象物,< 章なし >,0,2
が,が,が,助詞,格助詞,NIL,< 章なし >,0,2
あって,あって,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,2
通った,かよった,通う,動詞,*,代表表記:通う/かよう,< 章なし >,0,2
の,の,のだ,助動詞,*,NIL,< 章なし >,0,2
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
散歩,さんぽ,散歩,名詞,サ変名詞,代表表記:散歩/さんぽ ドメイン:レクリエーション カテゴリ:抽象物,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
みちすがら,みちすがら,みちすがら,副詞,*,代表表記:道すがら/みちすがら,< 章なし >,0,2
であった,であった,だ,判定詞,*,NIL,< 章なし >,0,2
の,の,の,助詞,格助詞,NIL,< 章なし >,0,2
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,2
さえ,さえ,さえ,助詞,副助詞,NIL,< 章なし >,0,2
ぼんやり,ぼんやり,ぼんやり,副詞,*,代表表記:ボンヤリ/ぼんやり スル接続可能,< 章なし >,0,2
と,と,と,助詞,格助詞,NIL,< 章なし >,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,2
思い出せ,おもいだせ,思い出せる,動詞,*,代表表記:思い出せる/おもいだせる 可能動詞:思い出す/おもいだす 補文ト,< 章なし >,0,2
ぬ,ぬ,ぬ,助動詞,*,NIL,< 章なし >,0,2
けれど,けれど,けれど,助詞,接続助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,< 章なし >,0,2
場末,ばすえ,場末,名詞,普通名詞,代表表記:場末/ばすえ カテゴリ:場所-その他,< 章なし >,0,2
の,の,の,助詞,格助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
見る,みる,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,< 章なし >,0,2
限り,かぎり,限り,名詞,副詞的名詞,代表表記:限り/かぎり,< 章なし >,0,2
何処,どこ,何処,指示詞,名詞形態指示詞,代表表記:どこ/どこ,< 章なし >,0,2
まで,まで,まで,助詞,格助詞,NIL,< 章なし >,0,2
も,も,も,助詞,副助詞,NIL,< 章なし >,0,2
何処,どこ,何処,指示詞,名詞形態指示詞,代表表記:どこ/どこ,< 章なし >,0,2
まで,まで,まで,助詞,格助詞,NIL,< 章なし >,0,2
も,も,も,助詞,副助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
真直,真直,真直,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,< 章なし >,0,2
に,に,に,助詞,格助詞,NIL,< 章なし >,0,2
続いて,つづいて,続く,動詞,*,代表表記:続く/つづく 自他動詞:他:続ける/つづける,< 章なし >,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
