見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
或年,或年,或年,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
冬,とう,冬,名詞,時相名詞,代表表記:冬/とう カテゴリ:時間 漢字読み:音,< 章なし >,0,0
休み,やすみ,休む,動詞,*,代表表記:休む/やすむ,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
友人,ゆうじん,友人,名詞,普通名詞,代表表記:友人/ゆうじん カテゴリ:人,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,< 章なし >,0,0
一郎,いちろう,一郎,名詞,人名,人名:日本:名:14:0.00142,< 章なし >,0,0
から,から,から,助詞,格助詞,NIL,< 章なし >,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
通,つう,通,接尾辞,名詞性名詞助数辞,代表表記:通/つう 準内容語,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
招待,しょうたい,招待,名詞,サ変名詞,代表表記:招待/しょうたい カテゴリ:抽象物,< 章なし >,0,0
状,じょう,状,名詞,普通名詞,代表表記:状/じょう カテゴリ:抽象物 漢字読み:音 修飾（ニ格）,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
受け取った,うけとった,受け取る,動詞,*,代表表記:受け取る/うけとる,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
手紙,てがみ,手紙,名詞,普通名詞,代表表記:手紙/てがみ ドメイン:家庭・暮らし カテゴリ:人工物-その他,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
弟,おとうと,弟,名詞,普通名詞,代表表記:弟/おとうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
二郎,じろう,二郎,名詞,人名,人名:日本:名:150:0.00065,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
一緒に,いっしょに,一緒だ,形容詞,*,代表表記:一緒だ/いっしょだ,< 章なし >,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,1
週間,しゅうかん,週間,接尾辞,名詞性名詞助数辞,代表表記:週間/しゅうかん カテゴリ:時間 準内容語,< 章なし >,0,1
ばかり,ばかり,ばかり,助詞,副助詞,NIL,< 章なし >,0,1
前,まえ,前,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,< 章なし >,0,1
から,から,から,助詞,格助詞,NIL,< 章なし >,0,1
こちら,こちら,こちら,指示詞,名詞形態指示詞,NIL,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
来て,来て,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
毎日,まいにち,毎日,名詞,時相名詞,代表表記:毎日/まいにち カテゴリ:時間,< 章なし >,0,1
狩猟,しゅりょう,狩猟,名詞,サ変名詞,代表表記:狩猟/しゅりょう カテゴリ:抽象物,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
暮して,くらして,暮す,動詞,*,代表表記:暮らす/くらす ドメイン:家庭・暮らし,< 章なし >,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,1
が,が,が,助詞,接続助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
二,に,二,名詞,数詞,カテゴリ:数量,< 章なし >,0,1
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,< 章なし >,0,1
だけ,だけ,だけ,助詞,副助詞,NIL,< 章なし >,0,1
で,で,で,助詞,格助詞,NIL,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
面白く,おもしろく,面白い,形容詞,*,代表表記:面白い/おもしろい 反義:形容詞:つまらない/つまらない,< 章なし >,0,1
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,1
から,から,から,助詞,接続助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
暇,ひま,暇だ,形容詞,*,代表表記:暇だ/ひまだ 反義:形容詞:忙しい/いそがしい,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
あれば,あれば,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,1
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
も,も,も,助詞,副助詞,NIL,< 章なし >,0,1
遊び,あそび,遊ぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
来,来,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,< 章なし >,0,1
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,1
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,1
文面,ぶんめん,文面,名詞,普通名詞,代表表記:文面/ぶんめん カテゴリ:抽象物,< 章なし >,0,1
だった,だった,だ,判定詞,*,NIL,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
封筒,ふうとう,封筒,名詞,普通名詞,代表表記:封筒/ふうとう カテゴリ:人工物-その他,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
