見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
一,いち,一,名詞,数詞,カテゴリ:数量,0,0
。,。,。,特殊,句点,NIL,0,0
門野,門野,門野,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,1
、,、,、,特殊,読点,NIL,0,1
御存知,ごぞんじ,御存知,名詞,普通名詞,代表表記:御存知/ごぞんじ カテゴリ:抽象物,0,1
で,で,で,助詞,格助詞,NIL,0,1
いらっしゃい,いらっしゃい,いらっしゃる,動詞,*,代表表記:いらっしゃる/いらっしゃる 付属動詞候補（タ系） 尊敬動詞:行く/いく;来る/くる;居る/いる 長音挿入可,0,1
ましょう,ましょう,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
十,じゅう,十,名詞,数詞,カテゴリ:数量,0,2
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,0,2
以前,いぜん,以前,接尾辞,名詞性特殊接尾辞,代表表記:以前/いぜん 内容語,0,2
に,に,に,助詞,格助詞,NIL,0,2
なくなった,なくなった,なくなる,動詞,*,代表表記:亡くなる/なくなる ドメイン:家庭・暮らし 自他動詞:他:亡くす/なくす,0,2
先,さき,先,名詞,普通名詞,代表表記:先/さき カテゴリ:場所-機能;時間 漢字読み:訓,0,2
の,の,の,助詞,接続助詞,NIL,0,2
夫,おっと,夫,名詞,普通名詞,代表表記:夫/おっと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,0,2
な,な,だ,判定詞,*,NIL,0,2
ので,ので,のだ,助動詞,*,NIL,0,2
ございます,ございます,ございます,接尾辞,動詞性接尾辞,代表表記:御座います/ございます,0,2
。,。,。,特殊,句点,NIL,0,2
こんなに,こんなに,こんなに,指示詞,副詞形態指示詞,NIL,0,3
月日,つきひ,月日,名詞,普通名詞,代表表記:月日/つきひ カテゴリ:時間,0,3
が,が,が,助詞,格助詞,NIL,0,3
たち,たち,たつ,動詞,*,代表表記:建つ/たつ 自他動詞:他:建てる/たてる,0,3
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,3
と,と,と,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
門野,門野,門野,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,3
と,と,と,助詞,格助詞,NIL,0,3
口,くち,口,名詞,普通名詞,代表表記:口/くち カテゴリ:動物-部位;抽象物;形・模様 漢字読み:訓,0,3
に,に,に,助詞,格助詞,NIL,0,3
出して,だして,出す,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,0,3
いって,いって,いく,接尾辞,動詞性接尾辞,代表表記:いく/いく,0,3
見,み,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,0,3
まして,まして,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,3
も,も,も,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
一向,一向,一向,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:一向俊聖,0,3
他,た,他,接頭辞,名詞接頭辞,代表表記:他/た 内容語,0,3
人様,ひとさま,人様,名詞,普通名詞,代表表記:人様/ひとさま カテゴリ:人,0,3
の,の,の,助詞,接続助詞,NIL,0,3
様,よう,様,名詞,副詞的名詞,代表表記:様/よう,0,3
で,で,で,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
あの,あの,あの,指示詞,連体詞形態指示詞,NIL,0,3
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,0,3
に,に,に,助詞,格助詞,NIL,0,3
