見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
人間,にんげん,人間,名詞,普通名詞,代表表記:人間/にんげん カテゴリ:人,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
退屈,たいくつ,退屈,名詞,サ変名詞,代表表記:退屈/たいくつ カテゴリ:抽象物 形容詞派生:退屈だ/たいくつだ,< 章なし >,0,0
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,0
と,と,と,助詞,格助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
何,なに,何,名詞,普通名詞,代表表記:何/なに カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
始める,はじめる,始める,動詞,*,代表表記:始める/はじめる 反義:動詞:終える/おえる 自他動詞:自:始まる/はじまる 付属動詞候補（基本）,< 章なし >,0,0
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,0
知れた,しれた,知れる,動詞,*,代表表記:知れる/しれる 可能動詞:知る/しる 補文ト,< 章なし >,0,0
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,0
で,で,だ,判定詞,*,NIL,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,0
ね,ね,ね,助詞,終助詞,NIL,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
知人,ちじん,知人,名詞,普通名詞,代表表記:知人/ちじん カテゴリ:人,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
Ｔ,Ｔ,Ｔ,特殊,記号,NIL,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,1
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
型,かた,型,名詞,普通名詞,代表表記:型/かた カテゴリ:人工物-その他 漢字読み:訓,< 章なし >,0,2
の,の,だ,判定詞,*,NIL,< 章なし >,0,2
如く,ごとく,如し,助動詞,*,NIL,< 章なし >,0,2
無職,むしょく,無職,名詞,普通名詞,代表表記:無職/むしょく ドメイン:ビジネス カテゴリ:抽象物,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
遊民,ゆうみん,遊民,名詞,普通名詞,自動獲得:Wikipedia,< 章なし >,0,2
だ,だ,だ,判定詞,*,NIL,< 章なし >,0,2
。,。,。,特殊,句点,NIL,< 章なし >,0,2
大して,たいして,大して,副詞,*,代表表記:大して/たいして,< 章なし >,0,3
金,かね,金,名詞,普通名詞,代表表記:金/かね カテゴリ:人工物-金銭 漢字読み:訓,< 章なし >,0,3
が,が,が,助詞,格助詞,NIL,< 章なし >,0,3
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,3
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,< 章なし >,0,3
で,で,だ,判定詞,*,NIL,< 章なし >,0,3
は,は,は,助詞,副助詞,NIL,< 章なし >,0,3
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,3
が,が,が,助詞,接続助詞,NIL,< 章なし >,0,3
、,、,、,特殊,読点,NIL,< 章なし >,0,3
まず,まず,まず,副詞,*,代表表記:先ず/まず,< 章なし >,0,3
食う,くう,食う,動詞,*,代表表記:食う/くう ドメイン:料理・食事,< 章なし >,0,3
に,に,に,助詞,格助詞,NIL,< 章なし >,0,3
は,は,は,助詞,副助詞,NIL,< 章なし >,0,3
困ら,こまら,困る,動詞,*,代表表記:困る/こまる,< 章なし >,0,3
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,3
。,。,。,特殊,句点,NIL,< 章なし >,0,3
ピアノ,ぴあの,ピアノ,名詞,普通名詞,代表表記:ピアノ/ぴあの ドメイン:文化・芸術 カテゴリ:人工物-その他,< 章なし >,0,4
と,と,と,助詞,格助詞,NIL,< 章なし >,0,4
、,、,、,特殊,読点,NIL,< 章なし >,0,4
蓄音器,蓄音器,蓄音器,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:蓄音機,< 章なし >,0,4
と,と,と,助詞,格助詞,NIL,< 章なし >,0,4
、,、,、,特殊,読点,NIL,< 章なし >,0,4
ダンス,だんす,ダンス,名詞,普通名詞,代表表記:ダンス/だんす ドメイン:レクリエーション;スポーツ カテゴリ:抽象物,< 章なし >,0,4
と,と,と,助詞,格助詞,NIL,< 章なし >,0,4
、,、,、,特殊,読点,NIL,< 章なし >,0,4
芝居,しばい,芝居,名詞,サ変名詞,代表表記:芝居/しばい ドメイン:文化・芸術 カテゴリ:抽象物,< 章なし >,0,4
と,と,と,助詞,格助詞,NIL,< 章なし >,0,4
、,、,、,特殊,読点,NIL,< 章なし >,0,4
活動,かつどう,活動,名詞,サ変名詞,代表表記:活動/かつどう カテゴリ:抽象物,< 章なし >,0,4
写真,しゃしん,写真,名詞,普通名詞,代表表記:写真/しゃしん ドメイン:文化・芸術;メディア カテゴリ:人工物-その他,< 章なし >,0,4
と,と,と,助詞,格助詞,NIL,< 章なし >,0,4
、,、,、,特殊,読点,NIL,< 章なし >,0,4
そして,そして,そして,接続詞,*,代表表記:そして/そして,< 章なし >,0,4
遊里,遊里,遊里,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:遊廓,< 章なし >,0,4
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,4
巷,ちまた,巷,名詞,普通名詞,代表表記:巷/ちまた カテゴリ:場所-その他,< 章なし >,0,4
、,、,、,特殊,読点,NIL,< 章なし >,0,4
その辺,そのへん,その辺,名詞,普通名詞,代表表記:其辺/そのへん カテゴリ:場所-その他,< 章なし >,0,4
を,を,を,助詞,格助詞,NIL,< 章なし >,0,4
グルグル,ぐるぐる,グルグル,副詞,*,代表表記:グルグル/ぐるぐる スル接続可能,< 章なし >,0,4
廻って,まわって,廻る,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,< 章なし >,0,4
暮して,くらして,暮す,動詞,*,代表表記:暮らす/くらす ドメイン:家庭・暮らし,< 章なし >,0,4
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,4
様な,ような,様だ,助動詞,*,NIL,< 章なし >,0,4
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,< 章なし >,0,4
だった,だった,だ,判定詞,*,NIL,< 章なし >,0,4
。,。,。,特殊,句点,NIL,< 章なし >,0,4
ところで,ところで,ところで,接続詞,*,代表表記:ところで/ところで,< 章なし >,0,5
、,、,、,特殊,読点,NIL,< 章なし >,0,5
不幸な,ふこうな,不幸だ,形容詞,*,代表表記:不幸だ/ふこうだ 反義:形容詞:幸福だ/こうふくだ,< 章なし >,0,5
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,5
に,に,に,助詞,格助詞,NIL,< 章なし >,0,5
、,、,、,特殊,読点,NIL,< 章なし >,0,5
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,5
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,< 章なし >,0,5
、,、,、,特殊,読点,NIL,< 章なし >,0,5
細君,細君,細君,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:吾輩は猫である 読み不明,< 章なし >,0,5
が,が,が,助詞,格助詞,NIL,< 章なし >,0,5
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,5
。,。,。,特殊,句点,NIL,< 章なし >,0,5
そうした,そうした,そうした,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,6
種類,しゅるい,種類,名詞,普通名詞,代表表記:種類/しゅるい カテゴリ:抽象物,< 章なし >,0,6
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,6
人間,にんげん,人間,名詞,普通名詞,代表表記:人間/にんげん カテゴリ:人,< 章なし >,0,6
に,に,に,助詞,格助詞,NIL,< 章なし >,0,6
、,、,、,特殊,読点,NIL,< 章なし >,0,6
宿,やど,宿,名詞,普通名詞,代表表記:宿/やど ドメイン:レクリエーション カテゴリ:場所-施設 漢字読み:訓,< 章なし >,0,6
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,6
妻,つま,妻,名詞,普通名詞,代表表記:妻/つま ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,6
と,と,と,助詞,格助詞,NIL,< 章なし >,0,6
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,6
奴,やつ,奴,名詞,普通名詞,代表表記:奴/やつ カテゴリ:人,< 章なし >,0,6
は,は,は,助詞,副助詞,NIL,< 章なし >,0,6
、,、,、,特殊,読点,NIL,< 章なし >,0,6
いや,いや,いや,感動詞,*,代表表記:いや/いや,< 章なし >,0,6
笑いごと,わらいごと,笑いごと,名詞,普通名詞,代表表記:笑い事/わらいごと カテゴリ:抽象物,< 章なし >,0,6
じゃ,じゃ,だ,判定詞,*,NIL,< 章なし >,0,6
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,6
。,。,。,特殊,句点,NIL,< 章なし >,0,6
正に,まさに,正に,副詞,*,代表表記:正に/まさに,< 章なし >,0,7
不幸,ふこう,不幸だ,形容詞,*,代表表記:不幸だ/ふこうだ 反義:形容詞:幸福だ/こうふくだ,< 章なし >,0,7
と,と,と,助詞,格助詞,NIL,< 章なし >,0,7
い,い,いる,動詞,*,代表表記:射る/いる,< 章なし >,0,7
ッ,ッ,ッ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,< 章なし >,0,7
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,< 章なし >,0,7
べきだ,べきだ,べきだ,助動詞,*,NIL,< 章なし >,0,7
よ,よ,よ,助詞,終助詞,NIL,< 章なし >,0,7
。,。,。,特殊,句点,NIL,< 章なし >,0,7
いや,いや,いや,感動詞,*,代表表記:いや/いや,< 章なし >,0,8
、,、,、,特殊,読点,NIL,< 章なし >,0,8
まったく,まったく,まったく,副詞,*,代表表記:全く/まったく,< 章なし >,0,8
。,。,。,特殊,句点,NIL,< 章なし >,0,8
別に,べつに,別だ,形容詞,*,代表表記:別だ/べつだ,< 章なし >,0,9
嫌って,きらって,嫌う,動詞,*,代表表記:嫌う/きらう 反義:動詞:好く/すく,< 章なし >,0,9
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,9
と,と,と,助詞,格助詞,NIL,< 章なし >,0,9
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,9
程,ほど,程,名詞,副詞的名詞,代表表記:程/ほど,< 章なし >,0,9
で,で,だ,判定詞,*,NIL,< 章なし >,0,9
は,は,は,助詞,副助詞,NIL,< 章なし >,0,9
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,9
が,が,が,助詞,接続助詞,NIL,< 章なし >,0,9
、,、,、,特殊,読点,NIL,< 章なし >,0,9
と,と,と,助詞,格助詞,NIL,< 章なし >,0,9
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,9
、,、,、,特殊,読点,NIL,< 章なし >,0,9
無論,むろん,無論,副詞,*,代表表記:無論/むろん,< 章なし >,0,9
女房,にょうぼう,女房,名詞,普通名詞,代表表記:女房/にょうぼう ドメイン:家庭・暮らし カテゴリ:人,< 章なし >,0,9
丈,たけ,丈,名詞,普通名詞,代表表記:丈/たけ カテゴリ:数量 漢字読み:訓,< 章なし >,0,9
け,け,け,名詞,普通名詞,代表表記:毛/け カテゴリ:動物-部位 漢字読み:訓,< 章なし >,0,9
で,で,で,助詞,格助詞,NIL,< 章なし >,0,9
満足,まんぞく,満足,名詞,サ変名詞,代表表記:満足/まんぞく カテゴリ:抽象物 形容詞派生:満足だ/まんぞくだ,< 章なし >,0,9
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,9
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,9
Ｔ,Ｔ,Ｔ,特殊,記号,NIL,< 章なし >,0,9
で,で,だ,判定詞,*,NIL,< 章なし >,0,9
は,は,は,助詞,副助詞,NIL,< 章なし >,0,9
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,9
。,。,。,特殊,句点,NIL,< 章なし >,0,9
あちらこちら,あちらこちら,あちらこちら,副詞,*,代表表記:あちらこちら/あちらこちら,< 章なし >,0,10
、,、,、,特殊,読点,NIL,< 章なし >,0,10
箸,はし,箸,名詞,普通名詞,代表表記:箸/はし ドメイン:料理・食事 カテゴリ:人工物-その他,< 章なし >,0,10
まめに,まめに,まめだ,形容詞,*,代表表記:まめだ/まめだ,< 章なし >,0,10
あさり,あさり,あさり,名詞,普通名詞,代表表記:あさり/あさり ドメイン:料理・食事 カテゴリ:動物;人工物-食べ物,< 章なし >,0,10
