見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
木々,きぎ,木々,名詞,普通名詞,代表表記:木々/きぎ カテゴリ:植物,< 章なし >,0,0
高太郎,高太郎,高太郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,< 章なし >,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
「,「,「,特殊,括弧始,NIL,< 章なし >,0,0
新泉録,新泉録,新泉録,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:木々高太郎 読み不明,< 章なし >,0,0
」,」,」,特殊,括弧終,NIL,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
對,對,對,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,0
し,し,し,助詞,接続助詞,NIL,< 章なし >,0,0
成可,成可,成可,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,0
く,く,く,名詞,普通名詞,代表表記:区/く カテゴリ:組織・団体;場所-その他 漢字読み:音 住所末尾,< 章なし >,0,0
無遠慮な,ぶえんりょな,無遠慮だ,形容詞,*,代表表記:無遠慮だ/ぶえんりょだ,< 章なし >,0,0
感想,かんそう,感想,名詞,普通名詞,代表表記:感想/かんそう カテゴリ:抽象物,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
書け,かけ,書く,動詞,*,代表表記:書く/かく 補文ト,< 章なし >,0,0
と,と,と,助詞,格助詞,NIL,< 章なし >,0,0
い,い,いる,動詞,*,代表表記:射る/いる,< 章なし >,0,0
つて,つて,つて,名詞,普通名詞,代表表記:つて/つて カテゴリ:抽象物,< 章なし >,0,0
雜誌,雜誌,雜誌,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,0
ロック,ロック,ロック,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
山崎,やまさき,山崎,名詞,人名,人名:日本:姓:42:0.00311,< 章なし >,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
新泉録,新泉録,新泉録,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:木々高太郎 読み不明,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
原稿,げんこう,原稿,名詞,普通名詞,代表表記:原稿/げんこう カテゴリ:抽象物,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
見せて,みせて,見せる,動詞,*,代表表記:見せる/みせる 付属動詞候補（タ系） 使役動詞:見る/みる,< 章なし >,0,0
くれた,くれた,くれる,接尾辞,動詞性接尾辞,代表表記:くれる/くれる,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
山崎,やまさき,山崎,名詞,人名,人名:日本:姓:42:0.00311,< 章なし >,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
内心,ないしん,内心,副詞,*,代表表記:内心/ないしん,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,1
達,たち,達,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
間,あいだ,間,名詞,副詞的名詞,代表表記:間/あいだ,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
活溌,活溌,活溌,名詞,普通名詞,自動獲得:Wiktionary 読み不明,< 章なし >,0,1
な,な,だ,判定詞,*,NIL,< 章なし >,0,1
論,ろん,論,名詞,普通名詞,代表表記:論/ろん カテゴリ:抽象物 漢字読み:音,< 章なし >,0,1
爭,爭,爭,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
期待,きたい,期待,名詞,サ変名詞,代表表記:期待/きたい カテゴリ:抽象物,< 章なし >,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,1
