見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
一,いち,一,名詞,数詞,カテゴリ:数量,0,0
。,。,。,特殊,句点,NIL,0,0
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,0,1
の,の,の,助詞,接続助詞,NIL,0,1
書生,しょせい,書生,名詞,普通名詞,代表表記:書生/しょせい ドメイン:教育・学習 カテゴリ:人,0,1
時代,じだい,時代,名詞,時相名詞,代表表記:時代/じだい カテゴリ:時間 弱時相名詞,0,1
の,の,の,助詞,接続助詞,NIL,0,1
話し,はなし,話し,名詞,普通名詞,代表表記:話し/はなしv 連用形名詞化:話す/はなす 補文ト,0,1
だ,だ,だ,判定詞,*,NIL,0,1
から,から,から,助詞,接続助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
随分,ずいぶん,随分,副詞,*,代表表記:随分/ずいぶん,0,1
古い,ふるい,古い,形容詞,*,代表表記:古い/ふるい 反義:形容詞:新しい/あたらしい,0,1
こと,こと,こと,名詞,形式名詞,NIL,0,1
だ,だ,だ,判定詞,*,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
年代,ねんだい,年代,名詞,普通名詞,代表表記:年代/ねんだい カテゴリ:時間,0,2
など,など,など,助詞,副助詞,NIL,0,2
も,も,も,助詞,副助詞,NIL,0,2
ハッキリ,はっきり,ハッキリ,副詞,*,代表表記:ハッキリ/はっきり スル接続可能 修飾（ト格）,0,2
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,2
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,2
が,が,が,助詞,接続助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
何でも,なんでも,何でも,副詞,*,代表表記:何でも/なんでも スル接続可能,0,2
、,、,、,特殊,読点,NIL,0,2
日,にち,日,名詞,地名,代表表記:日/にち 地名:国:略称:日本,0,2
露,ろ,露,名詞,地名,代表表記:露/ろ 地名:国:略称:ロシア,0,2
戦争,せんそう,戦争,名詞,サ変名詞,代表表記:戦争/せんそう ドメイン:政治 カテゴリ:抽象物,0,2
の,の,の,助詞,格助詞,NIL,0,2
すぐ,すぐ,すぐ,副詞,*,代表表記:すぐ/すぐ 修飾（ニ格） 相対名詞修飾,0,2
あと,あと,あと,名詞,普通名詞,代表表記:痕/あと カテゴリ:人工物-その他;抽象物,0,2
だった,だった,だ,判定詞,*,NIL,0,2
と,と,と,助詞,格助詞,NIL,0,2
思う,おもう,思う,動詞,*,代表表記:思う/おもう 補文ト,0,2
。,。,。,特殊,句点,NIL,0,2
その頃,そのころ,その頃,名詞,時相名詞,代表表記:その頃/そのころ カテゴリ:時間,0,3
、,、,、,特殊,読点,NIL,0,3
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,0,3
は,は,は,助詞,副助詞,NIL,0,3
中学校,ちゅうがっこう,中学校,名詞,普通名詞,代表表記:中学校/ちゅうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,0,3
を,を,を,助詞,格助詞,NIL,0,3
出て,でて,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,0,3
、,、,、,特殊,読点,NIL,0,3
さて,さて,さて,接続詞,*,代表表記:さて/さて,0,3
、,、,、,特殊,読点,NIL,0,3
上,うえ,上,名詞,普通名詞,代表表記:上/うえ カテゴリ:場所-機能 漢字読み:訓,0,3
の,の,の,助詞,接続助詞,NIL,0,3
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,0,3
へ,へ,へ,助詞,格助詞,NIL,0,3
