見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
「,「,「,特殊,括弧始,NIL,上,0,0
イヤ,いや,イヤだ,形容詞,*,代表表記:嫌だ/いやだ,上,0,0
、,、,、,特殊,読点,NIL,上,0,0
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,上,0,0
も,も,も,助詞,副助詞,NIL,上,0,0
多少,たしょう,多少,副詞,*,代表表記:多少/たしょう 修飾（ト格）,上,0,0
は,は,は,助詞,副助詞,NIL,上,0,0
知って,しって,知る,動詞,*,代表表記:知る/しる 自他動詞:自:知れる/しれる 補文ト,上,0,0
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,上,0,0
さ,さ,さ,助詞,終助詞,NIL,上,0,0
。,。,。,特殊,句点,NIL,上,0,0
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,上,0,1
は,は,は,助詞,副助詞,NIL,上,0,1
先ず,まず,先ず,副詞,*,代表表記:先ず/まず,上,0,1
、,、,、,特殊,読点,NIL,上,0,1
近来,きんらい,近来,名詞,時相名詞,代表表記:近来/きんらい カテゴリ:時間,上,0,1
の,の,の,助詞,接続助詞,NIL,上,0,1
珍事,ちんじ,珍事,名詞,普通名詞,代表表記:珍事/ちんじ カテゴリ:抽象物,上,0,1
だった,だった,だ,判定詞,*,NIL,上,0,1
から,から,から,助詞,接続助詞,NIL,上,0,1
な,な,な,助詞,終助詞,NIL,上,0,1
。,。,。,特殊,句点,NIL,上,0,1
世間,せけん,世間,名詞,普通名詞,代表表記:世間/せけん カテゴリ:抽象物,上,0,2
は,は,は,助詞,副助詞,NIL,上,0,2
あの,あの,あの,指示詞,連体詞形態指示詞,NIL,上,0,2
噂,うわさ,噂,名詞,サ変名詞,代表表記:噂/うわさ カテゴリ:抽象物,上,0,2
で,で,で,助詞,格助詞,NIL,上,0,2
持,じ,持,名詞,普通名詞,代表表記:持/じ カテゴリ:抽象物 漢字読み:音,上,0,2
切って,きって,切る,動詞,*,代表表記:切る/きる 自他動詞:自:切れる/きれる 補文ト 付属動詞候補（基本）,上,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,上,0,2
。,。,。,特殊,句点,NIL,上,0,2
が,が,が,助詞,接続助詞,NIL,上,0,3
、,、,、,特殊,読点,NIL,上,0,3
多分,たぶん,多分,副詞,*,代表表記:多分/たぶん 修飾（ニ格）,上,0,3
君程詳,君程詳,君程詳,未定義語,その他,未知語:漢字 品詞推定:名詞,上,0,3
敷く,しく,敷く,動詞,*,代表表記:敷く/しく 付属動詞候補（基本）,上,0,3
は,は,は,助詞,副助詞,NIL,上,0,3
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,上,0,3
んだ,んだ,んだ,助動詞,*,NIL,上,0,3
。,。,。,特殊,句点,NIL,上,0,3
少し,すこし,少し,副詞,*,代表表記:少し/すこし 修飾（デ格） 用言弱修飾 相対名詞修飾,上,0,4
話さ,はなさ,話す,動詞,*,代表表記:話す/はなす 補文ト,上,0,4
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,上,0,4
か,か,か,助詞,接続助詞,NIL,上,0,4
」,」,」,特殊,括弧終,NIL,上,0,4
一,いち,一,名詞,数詞,カテゴリ:数量,上,0,4
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,上,0,4
の,の,の,助詞,接続助詞,NIL,上,0,4
青年,せいねん,青年,名詞,普通名詞,代表表記:青年/せいねん カテゴリ:人,上,0,4
紳士,しんし,紳士,名詞,普通名詞,代表表記:紳士/しんし カテゴリ:人,上,0,4
が,が,が,助詞,格助詞,NIL,上,0,4
、,、,、,特殊,読点,NIL,上,0,4
こう,こう,こう,指示詞,副詞形態指示詞,NIL,上,0,4
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,上,0,4
、,、,、,特殊,読点,NIL,上,0,4
赤い,あかい,赤い,形容詞,*,代表表記:赤い/あかい 名詞派生:赤/あか,上,0,4
血,ち,血,名詞,普通名詞,代表表記:血/ち ドメイン:健康・医学 カテゴリ:自然物 漢字読み:訓,上,0,4
の,の,の,助詞,格助詞,NIL,上,0,4
滴る,したたる,滴る,動詞,*,代表表記:滴る/したたる,上,0,4
肉,にく,肉,名詞,普通名詞,代表表記:肉/にく ドメイン:料理・食事 カテゴリ:動物-部位;人工物-食べ物 漢字読み:音,上,0,4
の,の,の,助詞,接続助詞,NIL,上,0,4
切れ,きれ,切れ,名詞,普通名詞,代表表記:切れ/きれv 自他動詞:他:切らす/きらす;他:切る/きる 連用形名詞化:切れる/きれる 付属動詞候補（基本）,上,0,4
を,を,を,助詞,格助詞,NIL,上,0,4
口,くち,口,名詞,普通名詞,代表表記:口/くち カテゴリ:動物-部位;抽象物;形・模様 漢字読み:訓,上,0,4
へ,へ,へ,助詞,格助詞,NIL,上,0,4
持って,もって,持つ,動詞,*,代表表記:持つ/もつ,上,0,4
行った,いった,行く,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,上,0,4
。,。,。,特殊,句点,NIL,上,0,4
「,「,「,特殊,括弧始,NIL,上,0,5
じゃ,じゃ,だ,判定詞,*,NIL,上,0,5
、,、,、,特殊,読点,NIL,上,0,5
一,いち,一,名詞,数詞,カテゴリ:数量,上,0,5
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,上,0,5
話す,はなす,話す,動詞,*,代表表記:話す/はなす 補文ト,上,0,5
か,か,か,助詞,接続助詞,NIL,上,0,5
な,な,な,助詞,終助詞,NIL,上,0,5
。,。,。,特殊,句点,NIL,上,0,5
オイ,おい,オイ,感動詞,*,代表表記:オイ/おい,上,0,6
、,、,、,特殊,読点,NIL,上,0,6
ボーイ,ぼーい,ボーイ,名詞,普通名詞,代表表記:ボーイ/ぼーい カテゴリ:人,上,0,6
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,上,0,6
、,、,、,特殊,読点,NIL,上,0,6
ビール,びーる,ビール,名詞,普通名詞,代表表記:ビール/びーる ドメイン:料理・食事 カテゴリ:人工物-食べ物,上,0,6
の,の,の,助詞,接続助詞,NIL,上,0,6
御代り,おかわり,御代り,名詞,サ変名詞,代表表記:御代わり/おかわり ドメイン:料理・食事 カテゴリ:抽象物,上,0,6
だ,だ,だ,判定詞,*,NIL,上,0,6
」,」,」,特殊,括弧終,NIL,上,0,6
身,み,身,名詞,普通名詞,代表表記:身/み カテゴリ:動物-部位 漢字読み:訓,上,0,6
形,かた,形,名詞,普通名詞,代表表記:形/かた カテゴリ:形・模様 漢字読み:訓,上,0,6
の,の,の,助詞,格助詞,NIL,上,0,6
端正な,たんせいな,端正だ,形容詞,*,代表表記:端正だ/たんせいだ,上,0,6
のに,のに,のだ,助動詞,*,NIL,上,0,6
そ,そ,そ,名詞,普通名詞,代表表記:祖/そ カテゴリ:人 漢字読み:音,上,0,6
ぐわ,ぐわ,ぐわ,名詞,普通名詞,代表表記:桑/くわ 濁音化D カテゴリ:植物 漢字読み:訓,上,0,6
ず,ず,ぬ,助動詞,*,NIL,上,0,6
