見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
表題,ひょうだい,表題,名詞,普通名詞,代表表記:表題/ひょうだい カテゴリ:抽象物,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,< 章なし >,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,< 章なし >,0,0
小説,しょうせつ,小説,名詞,普通名詞,代表表記:小説/しょうせつ ドメイン:文化・芸術 カテゴリ:抽象物,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,< 章なし >,0,0
何,なに,何,名詞,普通名詞,代表表記:何/なに カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,0
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,0
書く,かく,書く,動詞,*,代表表記:書く/かく 補文ト,< 章なし >,0,0
ように,ように,ようだ,助動詞,*,NIL,< 章なし >,0,0
勧め,すすめ,勧める,動詞,*,代表表記:勧める/すすめる,< 章なし >,0,0
られた,られた,られる,接尾辞,動詞性接尾辞,代表表記:られる/られる,< 章なし >,0,0
が,が,が,助詞,接続助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
四,よん,四,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,< 章なし >,0,0
来,来,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
病気,びょうき,病気,名詞,普通名詞,代表表記:病気/びょうき ドメイン:健康・医学 カテゴリ:抽象物,< 章なし >,0,0
で,で,で,助詞,格助詞,NIL,< 章なし >,0,0
ひきこもって,ひきこもって,ひきこもる,動詞,*,代表表記:引き籠る/ひきこもる,< 章なし >,0,0
いて,いて,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
手足,てあし,手足,名詞,普通名詞,代表表記:手足/てあし カテゴリ:動物-部位;抽象物,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
不自由な,ふじゆうな,不自由だ,形容詞,*,代表表記:不自由だ/ふじゆうだ,< 章なし >,0,0
ため,ため,ため,名詞,副詞的名詞,代表表記:為/ため,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
筆,ふで,筆,名詞,普通名詞,代表表記:筆/ふで ドメイン:文化・芸術 カテゴリ:人工物-その他 漢字読み:訓,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
執れ,とれ,執れる,動詞,*,代表表記:執れる/とれる 可能動詞:執る/とる ドメイン:政治,< 章なし >,0,0
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,0
ので,ので,のだ,助動詞,*,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
手紙,てがみ,手紙,名詞,普通名詞,代表表記:手紙/てがみ ドメイン:家庭・暮らし カテゴリ:人工物-その他,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
返事,へんじ,返事,名詞,サ変名詞,代表表記:返事/へんじ カテゴリ:抽象物,< 章なし >,0,0
など,など,など,助詞,副助詞,NIL,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
家族,かぞく,家族,名詞,普通名詞,代表表記:家族/かぞく ドメイン:家庭・暮らし カテゴリ:組織・団体,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
代筆,だいひつ,代筆,名詞,サ変名詞,代表表記:代筆/だいひつ カテゴリ:抽象物 反義:名詞-普通名詞:自筆/じひつ;名詞-普通名詞:直筆/じきひつ,< 章なし >,0,0
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,0
もらって,もらって,もらう,接尾辞,動詞性接尾辞,代表表記:もらう/もらう,< 章なし >,0,0
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,0
ような,ような,ようだ,助動詞,*,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
