見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ある,ある,ある,連体詞,*,代表表記:或る/ある,１,0,0
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１,0,0
ひる,ひる,ひる,名詞,時相名詞,代表表記:昼/ひる カテゴリ:時間 漢字読み:訓,１,0,0
すぎ,すぎ,すぎ,接尾辞,名詞性特殊接尾辞,代表表記:過ぎ/すぎ,１,0,0
の,の,の,助詞,接続助詞,NIL,１,0,0
こと,こと,こと,名詞,形式名詞,NIL,１,0,0
です,です,だ,判定詞,*,NIL,１,0,0
。,。,。,特殊,句点,NIL,１,0,0
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,１,0,1
の,の,の,助詞,格助詞,NIL,１,0,1
まつ,まつ,まつ,名詞,普通名詞,代表表記:末/まつ カテゴリ:場所-機能;時間 漢字読み:音,１,0,1
なみ,なみ,なみ,名詞,普通名詞,代表表記:並み/なみ カテゴリ:抽象物 漢字読み:訓 修飾（ニ格）,１,0,1
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,１,0,1
の,の,の,助詞,接続助詞,NIL,１,0,1
こうてい,こうてい,こうてい,名詞,サ変名詞,代表表記:公定/こうてい ドメイン:政治 カテゴリ:抽象物,１,0,1
で,で,で,助詞,格助詞,NIL,１,0,1
、,、,、,特殊,読点,NIL,１,0,1
みんな,みんな,みんな,副詞,*,代表表記:皆/みんな 修飾（デ格）,１,0,1
が,が,が,助詞,格助詞,NIL,１,0,1
あそんで,あそんで,あそぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,１,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１,0,1
。,。,。,特殊,句点,NIL,１,0,1
休み,やすみ,休み,名詞,普通名詞,代表表記:休み/やすみv 連用形名詞化:休む/やすむ,１,0,2
時間,じかん,時間,名詞,時相名詞,代表表記:時間/じかん カテゴリ:時間,１,0,2
な,な,だ,判定詞,*,NIL,１,0,2
ので,ので,のだ,助動詞,*,NIL,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
一,いち,一,名詞,数詞,カテゴリ:数量,１,0,2
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,１,0,2
から,から,から,助詞,格助詞,NIL,１,0,2
六,ろく,六,名詞,数詞,カテゴリ:数量,１,0,2
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,１,0,2
まで,まで,まで,助詞,格助詞,NIL,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
かけまわったり,かけまわったり,かけまわる,動詞,*,代表表記:駆け回る/かけまわる,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
キャッチボール,きゃっちぼーる,キャッチボール,名詞,サ変名詞,代表表記:キャッチボール/きゃっちぼーる ドメイン:スポーツ カテゴリ:抽象物,１,0,2
を,を,を,助詞,格助詞,NIL,１,0,2
したり,したり,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
きかい,きかい,きかいだ,形容詞,*,代表表記:奇怪だ/きかいだ,１,0,2
たいそう,たいそう,たいそう,名詞,普通名詞,代表表記:体操/たいそう ドメイン:スポーツ カテゴリ:抽象物,１,0,2
を,を,を,助詞,格助詞,NIL,１,0,2
したり,したり,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,１,0,2
して,して,する,接尾辞,動詞性接尾辞,代表表記:する/する,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
