見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
怪人,かいじん,怪人,名詞,普通名詞,代表表記:怪人/かいじん カテゴリ:人,作者のことば,0,0
二,に,二,名詞,数詞,カテゴリ:数量,作者のことば,0,0
十面相,十面相,十面相,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:Ｍｅｇｐｏｉｄ 読み不明,作者のことば,0,0
は,は,は,助詞,副助詞,NIL,作者のことば,0,0
まほうつかい,まほうつかい,まほうつかい,名詞,普通名詞,代表表記:魔法使い/まほうつかい カテゴリ:人,作者のことば,0,0
の,の,だ,判定詞,*,NIL,作者のことば,0,0
ような,ような,ようだ,助動詞,*,NIL,作者のことば,0,0
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,作者のことば,0,0
どろぼう,どろぼう,どろぼう,名詞,サ変名詞,代表表記:泥棒/どろぼう カテゴリ:人;抽象物,作者のことば,0,0
です,です,だ,判定詞,*,NIL,作者のことば,0,0
。,。,。,特殊,句点,NIL,作者のことば,0,0
二十,二十,二十,名詞,数詞,カテゴリ:数量 未知語:数字,作者のことば,0,1
の,の,の,助詞,接続助詞,NIL,作者のことば,0,1
ちがった,ちがった,ちがう,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,作者のことば,0,1
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,作者のことば,0,1
を,を,を,助詞,格助詞,NIL,作者のことば,0,1
持つ,もつ,持つ,動詞,*,代表表記:持つ/もつ,作者のことば,0,1
と,と,と,助詞,格助詞,NIL,作者のことば,0,1
いわ,いわ,いう,動詞,*,代表表記:言う/いう 補文ト,作者のことば,0,1
れる,れる,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,作者のことば,0,1
変そう,へんそう,変そう,名詞,サ変名詞,代表表記:変装/へんそう カテゴリ:抽象物,作者のことば,0,1
の,の,の,助詞,接続助詞,NIL,作者のことば,0,1
名人,めいじん,名人,名詞,普通名詞,代表表記:名人/めいじん カテゴリ:人 人名末尾,作者のことば,0,1
です,です,だ,判定詞,*,NIL,作者のことば,0,1
。,。,。,特殊,句点,NIL,作者のことば,0,1
名,めい,名,接頭辞,名詞接頭辞,代表表記:名/めい 内容語,作者のことば,0,2
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,作者のことば,0,2
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,作者のことば,0,2
小五郎,小五郎,小五郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,作者のことば,0,2
の,の,の,助詞,接続助詞,NIL,作者のことば,0,2
助手,じょしゅ,助手,名詞,普通名詞,代表表記:助手/じょしゅ ドメイン:教育・学習 カテゴリ:人 人名末尾,作者のことば,0,2
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,作者のことば,0,2
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,作者のことば,0,2
と,と,と,助詞,格助詞,NIL,作者のことば,0,2
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,作者のことば,0,2
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,作者のことば,0,2
団,だん,団,名詞,普通名詞,代表表記:団/だん カテゴリ:組織・団体 漢字読み:音,作者のことば,0,2
の,の,の,助詞,接続助詞,NIL,作者のことば,0,2
団員,だんいん,団員,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,作者のことば,0,2
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,作者のことば,0,2
は,は,は,助詞,副助詞,NIL,作者のことば,0,2
、,、,、,特殊,読点,NIL,作者のことば,0,2
この,この,この,指示詞,連体詞形態指示詞,NIL,作者のことば,0,2
怪人,かいじん,怪人,名詞,普通名詞,代表表記:怪人/かいじん カテゴリ:人,作者のことば,0,2
を,を,を,助詞,格助詞,NIL,作者のことば,0,2
むこうに,むこうに,むこうだ,形容詞,*,代表表記:無効だ/むこうだ 反義:形容詞:有効だ/ゆうこうだ,作者のことば,0,2
まわして,まわして,まわす,動詞,*,代表表記:回す/まわす 自他動詞:自:回る/まわる 付属動詞候補（基本）,作者のことば,0,2
、,、,、,特殊,読点,NIL,作者のことば,0,2
ちえ,ちえ,ちえ,名詞,普通名詞,代表表記:知恵/ちえ カテゴリ:抽象物,作者のことば,0,2
の,の,の,助詞,接続助詞,NIL,作者のことば,0,2
戦い,たたかい,戦い,名詞,普通名詞,代表表記:戦い/たたかいv 連用形名詞化:戦う/たたかう,作者のことば,0,2
を,を,を,助詞,格助詞,NIL,作者のことば,0,2
いどむ,いどむ,いどむ,動詞,*,代表表記:挑む/いどむ,作者のことば,0,2
のです,のです,のだ,助動詞,*,NIL,作者のことば,0,2
。,。,。,特殊,句点,NIL,作者のことば,0,2
「,「,「,特殊,括弧始,NIL,作者のことば,0,3
こども,こども,こども,名詞,普通名詞,代表表記:子供/こども カテゴリ:人,作者のことば,0,3
家,か,家,接尾辞,名詞性名詞接尾辞,代表表記:家/か カテゴリ:人 内容語,作者のことば,0,3
の,の,の,助詞,接続助詞,NIL,作者のことば,0,3
光,ひかり,光,名詞,普通名詞,代表表記:光/ひかり カテゴリ:抽象物 漢字読み:訓,作者のことば,0,3
」,」,」,特殊,括弧終,NIL,作者のことば,0,3
昭和,しょうわ,昭和,名詞,固有名詞,代表表記:昭和/しょうわ,作者のことば,0,3
三十五,三十五,三十五,名詞,数詞,カテゴリ:数量 未知語:数字,作者のことば,0,3
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,作者のことば,0,3
八,はち,八,名詞,数詞,カテゴリ:数量,作者のことば,0,3
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,作者のことば,0,3
号,ごう,号,接尾辞,名詞性名詞助数辞,代表表記:号/ごう 準内容語,作者のことば,0,3
。,。,。,特殊,句点,NIL,作者のことば,0,3
ここ,ここ,ここ,指示詞,名詞形態指示詞,NIL,どろぼう人形,1,0
は,は,は,助詞,副助詞,NIL,どろぼう人形,1,0
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,どろぼう人形,1,0
の,の,の,助詞,格助詞,NIL,どろぼう人形,1,0
まんなか,まんなか,まんなか,名詞,普通名詞,代表表記:真ん中/まんなか カテゴリ:場所-機能,どろぼう人形,1,0
に,に,に,助詞,格助詞,NIL,どろぼう人形,1,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,どろぼう人形,1,0
、,、,、,特殊,読点,NIL,どろぼう人形,1,0
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,どろぼう人形,1,0
デパート,でぱーと,デパート,名詞,普通名詞,代表表記:デパート/でぱーと ドメイン:ビジネス カテゴリ:場所-施設,どろぼう人形,1,0
の,の,の,助詞,接続助詞,NIL,どろぼう人形,1,0
