見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
二,に,二,名詞,数詞,カテゴリ:数量,0,0
十面相,十面相,十面相,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:Ｍｅｇｐｏｉｄ 読み不明,0,0
の,の,の,助詞,接続助詞,NIL,0,0
改名,かいめい,改名,名詞,サ変名詞,代表表記:改名/かいめい カテゴリ:抽象物,0,0
。,。,。,特殊,句点,NIL,0,0
「,「,「,特殊,括弧始,NIL,0,1
透明,とうめい,透明だ,形容詞,*,代表表記:透明だ/とうめいだ,0,1
怪人,かいじん,怪人,名詞,普通名詞,代表表記:怪人/かいじん カテゴリ:人,0,1
」,」,」,特殊,括弧終,NIL,0,1
の,の,の,助詞,接続助詞,NIL,0,1
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,0,1
で,で,で,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
名,めい,名,接頭辞,名詞接頭辞,代表表記:名/めい 内容語,0,1
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,0,1
、,、,、,特殊,読点,NIL,0,1
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,0,1
小五郎,小五郎,小五郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,1
に,に,に,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
正体,しょうたい,正体,名詞,普通名詞,代表表記:正体/しょうたい カテゴリ:抽象物,0,1
を,を,を,助詞,格助詞,NIL,0,1
見やぶら,みやぶら,見やぶる,動詞,*,代表表記:見破る/みやぶる 補文ト,0,1
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,1
怪人,かいじん,怪人,名詞,普通名詞,代表表記:怪人/かいじん カテゴリ:人,0,1
二,に,二,名詞,数詞,カテゴリ:数量,0,1
十面相,十面相,十面相,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:Ｍｅｇｐｏｉｄ 読み不明,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
そのまま,そのまま,そのまま,副詞,*,代表表記:そのまま/そのまま 〜を〜に構成語 修飾（ニ格） 修飾（デ格） 数量修飾,0,1
警視,けいし,警視,名詞,普通名詞,代表表記:警視/けいし ドメイン:政治 カテゴリ:人 人名末尾,0,1
庁,ちょう,庁,名詞,普通名詞,代表表記:庁/ちょう ドメイン:政治 カテゴリ:組織・団体;場所-施設 漢字読み:音 組織名末尾,0,1
の,の,の,助詞,接続助詞,NIL,0,1
留置,りゅうち,留置,名詞,サ変名詞,代表表記:留置/りゅうち ドメイン:政治 カテゴリ:抽象物,0,1
場,じょう,場,名詞,普通名詞,代表表記:場/じょう カテゴリ:場所-施設 漢字読み:音,0,1
に,に,に,助詞,格助詞,NIL,0,1
入れ,いれ,入れる,動詞,*,代表表記:入れる/いれる 反義:動詞:出す/だす 自他動詞:自:入る/はいる,0,1
られ,られ,られる,接尾辞,動詞性接尾辞,代表表記:られる/られる,0,1
、,、,、,特殊,読点,NIL,0,1
いちおう,いちおう,いちおう,副詞,*,代表表記:一応/いちおう,0,1
、,、,、,特殊,読点,NIL,0,1
とりしらべ,とりしらべ,とりしらべ,名詞,普通名詞,代表表記:取り調べ/とりしらべv ドメイン:政治 連用形名詞化:取り調べる/とりしらべる,0,1
を,を,を,助詞,格助詞,NIL,0,1
うけた,うけた,うける,動詞,*,代表表記:受ける/うける,0,1
のち,のち,のち,名詞,副詞的名詞,代表表記:後/あと,0,1
、,、,、,特殊,読点,NIL,0,1
未決,みけつ,未決,名詞,普通名詞,代表表記:未決/みけつ カテゴリ:抽象物,0,1
囚,しゅう,囚,名詞,普通名詞,代表表記:囚/しゅう ドメイン:政治 カテゴリ:抽象物 漢字読み:音,0,1
と,と,と,助詞,格助詞,NIL,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,1
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,1
都,と,都,接尾辞,名詞性特殊接尾辞,代表表記:都/と カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,1
内,ない,内,接尾辞,名詞性名詞接尾辞,代表表記:内/ない,0,1
の,の,の,助詞,接続助詞,NIL,0,1
Ｉ,Ｉ,Ｉ,特殊,記号,NIL,0,1
拘置,こうち,拘置,名詞,サ変名詞,代表表記:拘置/こうち ドメイン:政治 カテゴリ:抽象物,0,1
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,0,1
に,に,に,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
ぶち,ぶち,ぶち,接頭辞,動詞接頭辞,代表表記:ぶち/ぶち,0,1
こま,こま,こむ,動詞,*,代表表記:込む/こむ 反義:動詞:空く/すく 付属動詞候補（基本）,0,1
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,1
