見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
沈没,ちんぼつ,沈没,名詞,サ変名詞,代表表記:沈没/ちんぼつ カテゴリ:抽象物,0,0
船,せん,船,名詞,普通名詞,代表表記:船/せん ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:音,0,0
の,の,の,助詞,接続助詞,NIL,0,0
怪物,かいぶつ,怪物,名詞,普通名詞,代表表記:怪物/かいぶつ カテゴリ:動物,0,0
。,。,。,特殊,句点,NIL,0,0
日東,にっとう,日東,名詞,組織名,自動獲得:Wikipedia Wikipedia多義,0,1
サルベージ,サルベージ,サルベージ,名詞,普通名詞,自動獲得:Wikipedia Wikipedia多義,0,1
会社,かいしゃ,会社,名詞,普通名詞,代表表記:会社/かいしゃ ドメイン:ビジネス カテゴリ:組織・団体;場所-施設,0,1
の,の,の,助詞,接続助詞,NIL,0,1
沈没,ちんぼつ,沈没,名詞,サ変名詞,代表表記:沈没/ちんぼつ カテゴリ:抽象物,0,1
船,せん,船,名詞,普通名詞,代表表記:船/せん ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:音,0,1
引きあげ,ひきあげ,引きあげ,名詞,普通名詞,代表表記:引き上げ/ひきあげv 連用形名詞化:引き上げる/ひきあげる,0,1
の,の,の,助詞,接続助詞,NIL,0,1
しごと,しごと,しごと,名詞,サ変名詞,代表表記:仕事/しごと ドメイン:家庭・暮らし;ビジネス カテゴリ:抽象物,0,1
が,が,が,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
房総,ぼうそう,房総,名詞,地名,自動獲得:Wikipedia Wikipedia地名,0,1
半島,はんとう,半島,名詞,普通名詞,代表表記:半島/はんとう カテゴリ:場所-自然 地名末尾,0,1
の,の,の,助詞,接続助詞,NIL,0,1
東,ひがし,東,名詞,普通名詞,代表表記:東/ひがし カテゴリ:場所-機能 漢字読み:訓,0,1
がわ,がわ,がわ,名詞,普通名詞,代表表記:側/がわ カテゴリ:場所-機能,0,1
に,に,に,助詞,格助詞,NIL,0,1
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,1
大戸,おおと,大戸,名詞,地名,自動獲得:Wikipedia Wikipedia複合地名,0,1
村,むら,村,接尾辞,名詞性特殊接尾辞,代表表記:村/むら カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,1
の,の,の,助詞,接続助詞,NIL,0,1
沖,おき,沖,名詞,普通名詞,代表表記:沖/おき カテゴリ:場所-自然 漢字読み:訓,0,1
あい,あい,あい,名詞,普通名詞,代表表記:愛/あい カテゴリ:抽象物 漢字読み:音,0,1
で,で,で,助詞,格助詞,NIL,0,1
おこなわ,おこなわ,おこなう,動詞,*,代表表記:行う/おこなう,0,1
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
その,その,その,指示詞,連体詞形態指示詞,NIL,0,2
海,うみ,海,名詞,普通名詞,代表表記:海/うみ カテゴリ:場所-自然 漢字読み:訓 地名末尾,0,2
の,の,の,助詞,接続助詞,NIL,0,2
底,そこ,底,名詞,普通名詞,代表表記:底/そこ カテゴリ:場所-機能 漢字読み:訓 〜を〜に構成語,0,2
に,に,に,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
東洋,とうよう,東洋,名詞,普通名詞,代表表記:東洋/とうよう カテゴリ:場所-その他,0,2
汽船,きせん,汽船,名詞,普通名詞,代表表記:汽船/きせん ドメイン:交通 カテゴリ:人工物-乗り物,0,2
会社,かいしゃ,会社,名詞,普通名詞,代表表記:会社/かいしゃ ドメイン:ビジネス カテゴリ:組織・団体;場所-施設,0,2
の,の,の,助詞,接続助詞,NIL,0,2
千五百,千五百,千五百,名詞,数詞,カテゴリ:数量 未知語:数字,0,2
トン,とん,トン,接尾辞,名詞性名詞助数辞,代表表記:トン/とん 準内容語,0,2
の,の,の,助詞,接続助詞,NIL,0,2
貨物,かもつ,貨物,名詞,普通名詞,代表表記:貨物/かもつ ドメイン:交通 カテゴリ:人工物-その他,0,2
船,せん,船,名詞,普通名詞,代表表記:船/せん ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:音,0,2
「,「,「,特殊,括弧始,NIL,0,2
あし,あし,あし,名詞,普通名詞,代表表記:脚/あし カテゴリ:動物-部位 漢字読み:訓,0,2
びき,びき,びき,名詞,普通名詞,代表表記:悲喜/ひき 濁音化D カテゴリ:抽象物,0,2
丸,まる,丸,名詞,普通名詞,代表表記:丸/まる カテゴリ:形・模様 漢字読み:訓,0,2
」,」,」,特殊,括弧終,NIL,0,2
が,が,が,助詞,格助詞,NIL,0,2
沈没,ちんぼつ,沈没,名詞,サ変名詞,代表表記:沈没/ちんぼつ カテゴリ:抽象物,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
のです,のです,のだ,助動詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,0,3
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,0,3
ほど,ほど,ほど,接尾辞,名詞性名詞接尾辞,代表表記:程/ほど,0,3
まえ,まえ,まえ,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,0,3
