見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
ロウ,ろう,ロウ,名詞,普通名詞,代表表記:蝋/ろう カテゴリ:人工物-その他,0,0
人形,にんぎょう,人形,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,0
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,0,0
。,。,。,特殊,句点,NIL,0,0
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,1
上野,うえの,上野,名詞,地名,代表表記:上野/うえの 地名:日本:群馬県:村,0,1
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,0,1
の,の,の,助詞,格助詞,NIL,0,1
不忍池,しのばずのいけ,不忍池,名詞,地名,自動獲得:Wikipedia Wikipedia地名,0,1
の,の,の,助詞,接続助詞,NIL,0,1
そば,そば,そば,名詞,普通名詞,代表表記:傍/そば カテゴリ:場所-機能,0,1
に,に,に,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,1
建物,たてもの,建物,名詞,普通名詞,代表表記:建物/たてもの カテゴリ:場所-施設,0,1
が,が,が,助詞,格助詞,NIL,0,1
たち,たち,たつ,動詞,*,代表表記:建つ/たつ 自他動詞:他:建てる/たてる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
両,りょう,両,接頭辞,名詞接頭辞,代表表記:両/りょう 内容語,0,2
国,くに,国,名詞,普通名詞,代表表記:国/くに ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 地名末尾,0,2
の,の,の,助詞,接続助詞,NIL,0,2
もと,もと,もと,名詞,普通名詞,代表表記:元/もと カテゴリ:場所-機能;抽象物 漢字読み:訓 〜を〜に構成語,0,2
の,の,の,助詞,接続助詞,NIL,0,2
国技,こくぎ,国技,名詞,普通名詞,代表表記:国技/こくぎ ドメイン:スポーツ カテゴリ:抽象物,0,2
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,0,2
を,を,を,助詞,格助詞,NIL,0,2
ぐっと,ぐっと,ぐっと,副詞,*,代表表記:グッと/ぐっと スル接続可能,0,2
小さく,ちいさく,小さい,形容詞,*,代表表記:小さい/ちいさい 反義:形容詞:大きい/おおきい,0,2
した,した,する,接尾辞,動詞性接尾辞,代表表記:する/する,0,2
ような,ような,ようだ,助動詞,*,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
まるい,まるい,まるい,形容詞,*,代表表記:丸い/まるい 名詞派生:丸/まる,0,2
建物,たてもの,建物,名詞,普通名詞,代表表記:建物/たてもの カテゴリ:場所-施設,0,2
で,で,だ,判定詞,*,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
外がわ,そとがわ,外がわ,名詞,普通名詞,代表表記:外側/そとがわ カテゴリ:場所-機能,0,2
の,の,の,助詞,接続助詞,NIL,0,2
壁,かべ,壁,名詞,普通名詞,代表表記:壁/かべ カテゴリ:場所-施設部位 漢字読み:訓,0,2
も,も,も,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
まる,まる,まる,接頭辞,名詞接頭辞,代表表記:まる/まる,0,2
屋根,やね,屋根,名詞,普通名詞,代表表記:屋根/やね カテゴリ:場所-施設部位,0,2
も,も,も,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ぜんぶ,ぜんぶ,ぜんぶ,副詞,*,代表表記:全部/ぜんぶ,0,2
、,、,、,特殊,読点,NIL,0,2
まっ,まっ,まっ,接頭辞,名詞接頭辞,代表表記:真っ/まっ 内容語,0,2
白,しろ,白,名詞,普通名詞,代表表記:白/しろ カテゴリ:色 漢字読み:訓,0,2
に,に,に,助詞,格助詞,NIL,0,2
ぬって,ぬって,ぬる,動詞,*,代表表記:塗る/ぬる,0,2
ある,ある,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,0,2
のです,のです,のだ,助動詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
そして,そして,そして,接続詞,*,代表表記:そして/そして,0,3
窓,まど,窓,名詞,普通名詞,代表表記:窓/まど カテゴリ:場所-施設部位 漢字読み:訓,0,3
と,と,と,助詞,格助詞,NIL,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,3
もの,もの,もの,名詞,形式名詞,NIL,0,3
が,が,が,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,0,3
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,0,3
も,も,も,助詞,副助詞,NIL,0,3
