見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ある,ある,ある,連体詞,*,代表表記:或る/ある,怪人四十面相,0,0
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,怪人四十面相,0,0
、,、,、,特殊,読点,NIL,怪人四十面相,0,0
麹町,こうじまち,麹町,名詞,地名,自動獲得:Wikipedia Wikipedia多義 Wikipedia地名,怪人四十面相,0,0
高級,こうきゅう,高級だ,形容詞,*,代表表記:高級だ/こうきゅうだ 反義:形容詞:低級だ/ていきゅうだ,怪人四十面相,0,0
アパート,あぱーと,アパート,名詞,普通名詞,代表表記:アパート/あぱーと ドメイン:家庭・暮らし カテゴリ:場所-施設,怪人四十面相,0,0
の,の,の,助詞,接続助詞,NIL,怪人四十面相,0,0
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,怪人四十面相,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,怪人四十面相,0,0
事務,じむ,事務,名詞,普通名詞,代表表記:事務/じむ ドメイン:ビジネス カテゴリ:抽象物,怪人四十面相,0,0
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,怪人四十面相,0,0
へ,へ,へ,助詞,格助詞,NIL,怪人四十面相,0,0
、,、,、,特殊,読点,NIL,怪人四十面相,0,0
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,怪人四十面相,0,0
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,怪人四十面相,0,0
の,の,の,助詞,格助詞,NIL,怪人四十面相,0,0
りっぱな,りっぱな,りっぱだ,形容詞,*,代表表記:立派だ/りっぱだ,怪人四十面相,0,0
紳士,しんし,紳士,名詞,普通名詞,代表表記:紳士/しんし カテゴリ:人,怪人四十面相,0,0
が,が,が,助詞,格助詞,NIL,怪人四十面相,0,0
たずねて,たずねて,たずねる,動詞,*,代表表記:尋ねる/たずねる,怪人四十面相,0,0
き,き,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,怪人四十面相,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,怪人四十面相,0,0
。,。,。,特殊,句点,NIL,怪人四十面相,0,0
それ,それ,それ,指示詞,名詞形態指示詞,NIL,怪人四十面相,0,1
は,は,は,助詞,副助詞,NIL,怪人四十面相,0,1
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,怪人四十面相,0,1
の,の,の,助詞,接続助詞,NIL,怪人四十面相,0,1
港,みなと,港,名詞,地名,代表表記:港/みなと 地名:日本:東京都:区,怪人四十面相,0,1
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,怪人四十面相,0,1
に,に,に,助詞,格助詞,NIL,怪人四十面相,0,1
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,怪人四十面相,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,怪人四十面相,0,1
神山,かみやま,神山,名詞,人名,人名:日本:姓:398:0.00072,怪人四十面相,0,1
正夫,まさお,正夫,名詞,人名,人名:日本:名:178:0.00059,怪人四十面相,0,1
と,と,と,助詞,格助詞,NIL,怪人四十面相,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,怪人四十面相,0,1
実業,じつぎょう,実業,名詞,普通名詞,代表表記:実業/じつぎょう ドメイン:ビジネス カテゴリ:抽象物,怪人四十面相,0,1
家,か,家,接尾辞,名詞性名詞接尾辞,代表表記:家/か カテゴリ:人 内容語,怪人四十面相,0,1
で,で,だ,判定詞,*,NIL,怪人四十面相,0,1
、,、,、,特殊,読点,NIL,怪人四十面相,0,1
たくさんの,たくさんの,たくさんだ,形容詞,*,代表表記:沢山だ/たくさんだ,怪人四十面相,0,1
会社,かいしゃ,会社,名詞,普通名詞,代表表記:会社/かいしゃ ドメイン:ビジネス カテゴリ:組織・団体;場所-施設,怪人四十面相,0,1
の,の,の,助詞,接続助詞,NIL,怪人四十面相,0,1
重役,じゅうやく,重役,名詞,普通名詞,代表表記:重役/じゅうやく ドメイン:ビジネス カテゴリ:人,怪人四十面相,0,1
