見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
読者,どくしゃ,読者,名詞,普通名詞,代表表記:読者/どくしゃ ドメイン:文化・芸術;メディア カテゴリ:人,一,0,0
諸君,しょくん,諸君,名詞,普通名詞,代表表記:諸君/しょくん カテゴリ:人,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
先年,せんねん,先年,名詞,時相名詞,代表表記:先年/せんねん カテゴリ:時間,一,0,0
Ｈ,Ｈ,Ｈ,特殊,記号,NIL,一,0,0
山中,さんちゅう,山中,名詞,普通名詞,代表表記:山中/さんちゅう カテゴリ:場所-その他,一,0,0
の,の,の,助詞,接続助詞,NIL,一,0,0
Ａ,Ａ,Ａ,特殊,記号,NIL,一,0,0
湖,こ,湖,名詞,普通名詞,代表表記:湖/こ カテゴリ:場所-自然 漢字読み:音 地名末尾,一,0,0
の,の,の,助詞,接続助詞,NIL,一,0,0
ほとり,ほとり,ほとり,名詞,普通名詞,代表表記:ほとり/ほとり カテゴリ:場所-自然,一,0,0
に,に,に,助詞,格助詞,NIL,一,0,0
起った,起った,起つ,動詞,*,自動獲得:Wiktionary 読み不明,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
世にも,よにも,世にも,副詞,*,代表表記:世にも/よにも,一,0,0
不思議な,ふしぎな,不思議だ,形容詞,*,代表表記:不思議だ/ふしぎだ,一,0,0
殺人,さつじん,殺人,名詞,普通名詞,代表表記:殺人/さつじん ドメイン:政治 カテゴリ:抽象物,一,0,0
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,一,0,0
を,を,を,助詞,格助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
御,ご,御,接頭辞,名詞接頭辞,代表表記:御/お,一,0,0
記憶,きおく,記憶,名詞,サ変名詞,代表表記:記憶/きおく カテゴリ:抽象物,一,0,0
で,で,だ,判定詞,*,NIL,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,一,0,0
でしょう,でしょう,だろう,助動詞,*,NIL,一,0,0
か,か,か,助詞,終助詞,NIL,一,0,0
。,。,。,特殊,句点,NIL,一,0,0
片山,かたやま,片山,名詞,人名,人名:日本:姓:325:0.00085,一,0,1
里,さと,里,名詞,普通名詞,代表表記:里/さと カテゴリ:場所-自然 漢字読み:訓,一,0,1
の,の,の,助詞,接続助詞,NIL,一,0,1
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,一,0,1
ながら,ながら,ながら,助詞,接続助詞,NIL,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
それ,それ,それ,指示詞,名詞形態指示詞,NIL,一,0,1
は,は,は,助詞,副助詞,NIL,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
都,と,都,名詞,普通名詞,代表表記:都/と ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:音 住所末尾,一,0,1
の,の,の,助詞,接続助詞,NIL,一,0,1
諸,しょ,諸,接頭辞,名詞接頭辞,代表表記:諸/しょ 内容語,一,0,1
新聞,しんぶん,新聞,名詞,普通名詞,代表表記:新聞/しんぶん ドメイン:メディア カテゴリ:人工物-その他,一,0,1
に,に,に,助詞,格助詞,NIL,一,0,1
も,も,も,助詞,副助詞,NIL,一,0,1
報道,ほうどう,報道,名詞,サ変名詞,代表表記:報道/ほうどう ドメイン:メディア カテゴリ:抽象物 補文ト,一,0,1
せ,せ,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一,0,1
られた,られた,られる,接尾辞,動詞性接尾辞,代表表記:られる/られる,一,0,1
程,ほど,程,名詞,副詞的名詞,代表表記:程/ほど,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
異様な,いような,異様だ,形容詞,*,代表表記:異様だ/いようだ,一,0,1
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,一,0,1
であり,であり,だ,判定詞,*,NIL,一,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,一,0,1
。,。,。,特殊,句点,NIL,一,0,1
ある,ある,ある,連体詞,*,代表表記:或る/ある,一,0,2
新聞,しんぶん,新聞,名詞,普通名詞,代表表記:新聞/しんぶん ドメイン:メディア カテゴリ:人工物-その他,一,0,2
は,は,は,助詞,副助詞,NIL,一,0,2
「,「,「,特殊,括弧始,NIL,一,0,2
Ａ,Ａ,Ａ,特殊,記号,NIL,一,0,2
湖畔,こはん,湖畔,名詞,普通名詞,代表表記:湖畔/こはん カテゴリ:場所-自然,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
怪,かい,怪,名詞,普通名詞,代表表記:怪/かい カテゴリ:抽象物 漢字読み:音,一,0,2
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,一,0,2
」,」,」,特殊,括弧終,NIL,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,一,0,2
様な,ような,様だ,助動詞,*,NIL,一,0,2
見出し,みだし,見出し,名詞,普通名詞,代表表記:見出し/みだし ドメイン:メディア カテゴリ:人工物-その他,一,0,2
で,で,だ,判定詞,*,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
又,また,又,副詞,*,代表表記:又/また,一,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,一,0,2
新聞,しんぶん,新聞,名詞,普通名詞,代表表記:新聞/しんぶん ドメイン:メディア カテゴリ:人工物-その他,一,0,2
は,は,は,助詞,副助詞,NIL,一,0,2
「,「,「,特殊,括弧始,NIL,一,0,2
死体,したい,死体,名詞,普通名詞,代表表記:死体/したい カテゴリ:動物,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
紛失,ふんしつ,紛失,名詞,サ変名詞,代表表記:紛失/ふんしつ カテゴリ:抽象物,一,0,2
云々,うんぬん,云々,名詞,サ変名詞,代表表記:云々/うんぬん カテゴリ:抽象物,一,0,2
」,」,」,特殊,括弧終,NIL,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,一,0,2
好奇,好奇,好奇だ,形容詞,*,自動獲得:Wiktionary 読み不明 普サナ識別,一,0,2
的な,てきな,的だ,接尾辞,形容詞性名詞接尾辞,代表表記:的だ/てきだ カテゴリ:抽象物 準内容語,一,0,2
見出し,みだし,見出し,名詞,普通名詞,代表表記:見出し/みだし ドメイン:メディア カテゴリ:人工物-その他,一,0,2
で,で,で,助詞,格助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
相当,そうとう,相当,副詞,*,代表表記:相当/そうとう 形容詞派生:相当だ/そうとうだ,一,0,2
大きく,おおきく,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,一,0,2
この,この,この,指示詞,連体詞形態指示詞,NIL,一,0,2
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
書き,かき,書く,動詞,*,代表表記:書く/かく 補文ト,一,0,2
立て,たて,立てる,動詞,*,代表表記:立てる/たてる 自他動詞:自:立つ/たつ 付属動詞候補（基本）,一,0,2
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,一,0,2
。,。,。,特殊,句点,NIL,一,0,2
注意深い,ちゅういぶかい,注意深い,形容詞,*,代表表記:注意深い/ちゅういぶかい,一,0,3
読者,どくしゃ,読者,名詞,普通名詞,代表表記:読者/どくしゃ ドメイン:文化・芸術;メディア カテゴリ:人,一,0,3
諸君,しょくん,諸君,名詞,普通名詞,代表表記:諸君/しょくん カテゴリ:人,一,0,3
は,は,は,助詞,副助詞,NIL,一,0,3
御,ご,御,接頭辞,名詞接頭辞,代表表記:御/お,一,0,3
承知,しょうち,承知,名詞,サ変名詞,代表表記:承知/しょうち カテゴリ:抽象物,一,0,3
かも,かも,かも,助詞,接続助詞,NIL,一,0,3
知れ,しれ,知れる,動詞,*,代表表記:知れる/しれる 可能動詞:知る/しる 補文ト,一,0,3
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,一,0,3
ん,ん,ぬ,助動詞,*,NIL,一,0,3
が,が,が,助詞,接続助詞,NIL,一,0,3
、,、,、,特殊,読点,NIL,一,0,3
その,その,その,指示詞,連体詞形態指示詞,NIL,一,0,3
いわゆる,いわゆる,いわゆる,連体詞,*,代表表記:いわゆる/いわゆる,一,0,3
「,「,「,特殊,括弧始,NIL,一,0,3
Ａ,Ａ,Ａ,特殊,記号,NIL,一,0,3
湖畔,こはん,湖畔,名詞,普通名詞,代表表記:湖畔/こはん カテゴリ:場所-自然,一,0,3
