見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
死骸,しがい,死骸,名詞,普通名詞,代表表記:死骸/しがい カテゴリ:動物-部位,0,0
盗賊,とうぞく,盗賊,名詞,普通名詞,代表表記:盗賊/とうぞく カテゴリ:組織・団体,0,0
。,。,。,特殊,句点,NIL,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,0,1
台,だい,台,接尾辞,名詞性名詞助数辞,代表表記:台/だい 準内容語,0,1
の,の,の,助詞,接続助詞,NIL,0,1
金ピカ,きんぴか,金ピカだ,形容詞,*,代表表記:金ピカだ/きんぴかだ,0,1
葬儀,そうぎ,葬儀,名詞,普通名詞,代表表記:葬儀/そうぎ ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,0,1
自動車,じどうしゃ,自動車,名詞,普通名詞,代表表記:自動車/じどうしゃ ドメイン:交通 カテゴリ:人工物-乗り物,0,1
が,が,が,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,0,1
へ,へ,へ,助詞,格助詞,NIL,0,1
と,と,と,助詞,格助詞,NIL,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,1
当て,あて,当て,名詞,普通名詞,代表表記:当て/あてv 反義:動詞:外す/はずす 自他動詞:自:当たる/あたる 連用形名詞化:当てる/あてる,0,1
も,も,も,助詞,副助詞,NIL,0,1
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,1
らしく,らしく,らしい,助動詞,*,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,1
市,し,市,接尾辞,名詞性特殊接尾辞,代表表記:市/し カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,1
中,ちゅう,中,接尾辞,名詞性名詞接尾辞,代表表記:中/ちゅう 内容語,0,1
を,を,を,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
グルグル,ぐるぐる,グルグル,副詞,*,代表表記:グルグル/ぐるぐる スル接続可能,0,1
と,と,と,助詞,格助詞,NIL,0,1
走り,はしり,走る,動詞,*,代表表記:走る/はしる,0,1
廻って,まわって,廻る,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,0,1
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
。,。,。,特殊,句点,NIL,0,1
車,くるま,車,名詞,普通名詞,代表表記:車/くるま ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:訓,0,2
内,ない,内,接尾辞,名詞性名詞接尾辞,代表表記:内/ない,0,2
に,に,に,助詞,格助詞,NIL,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
よく,よく,よく,副詞,*,代表表記:良く/よく,0,2
見る,みる,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,0,2
と,と,と,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
確,確,確,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,2
に,に,に,助詞,格助詞,NIL,0,2
白,しろ,白,名詞,普通名詞,代表表記:白/しろ カテゴリ:色 漢字読み:訓,0,2
布,ぬの,布,名詞,普通名詞,代表表記:布/ぬの ドメイン:家庭・暮らし カテゴリ:人工物-その他 漢字読み:訓,0,2
で,で,で,助詞,格助詞,NIL,0,2
覆った,おおった,覆う,動詞,*,代表表記:覆う/おおう,0,2
寝,ね,寝,名詞,普通名詞,代表表記:寝/ねv ドメイン:家庭・暮らし 反義:動詞:起きる/おきる 自他動詞:他:寝かす/ねかす;他:寝かせる/ねかせる 連用形名詞化:寝る/ねる,0,2
棺,ひつぎ,棺,名詞,普通名詞,代表表記:棺/ひつぎ ドメイン:文化・芸術 カテゴリ:人工物-その他,0,2
が,が,が,助詞,格助詞,NIL,0,2
のせて,のせて,のせる,動詞,*,代表表記:乗せる/のせる 反義:動詞:降ろす/おろす 自他動詞:自:乗る/のる,0,2
ある,ある,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,0,2
。,。,。,特殊,句点,NIL,0,2
棺,ひつぎ,棺,名詞,普通名詞,代表表記:棺/ひつぎ ドメイン:文化・芸術 カテゴリ:人工物-その他,0,3
の,の,の,助詞,接続助詞,NIL,0,3
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,0,3
に,に,に,助詞,格助詞,NIL,0,3
死人,しにん,死人,名詞,普通名詞,代表表記:死人/しにん カテゴリ:人,0,3
が,が,が,助詞,格助詞,NIL,0,3
入って,はいって,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
の,の,のだ,助動詞,*,NIL,0,3
か,か,か,助詞,接続助詞,NIL,0,3
どう,どう,どう,指示詞,副詞形態指示詞,NIL,0,3
か,か,か,助詞,接続助詞,NIL,0,3
は,は,は,助詞,副助詞,NIL,0,3
分ら,分ら,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,0,3
ぬ,ぬ,ぬ,助動詞,*,NIL,0,3
けれど,けれど,けれど,助詞,接続助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
棺,ひつぎ,棺,名詞,普通名詞,代表表記:棺/ひつぎ ドメイン:文化・芸術 カテゴリ:人工物-その他,0,3
を,を,を,助詞,格助詞,NIL,0,3
のせた,のせた,のせる,動詞,*,代表表記:乗せる/のせる 反義:動詞:降ろす/おろす 自他動詞:自:乗る/のる,0,3
葬儀,そうぎ,葬儀,名詞,普通名詞,代表表記:葬儀/そうぎ ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,0,3
車,くるま,車,名詞,普通名詞,代表表記:車/くるま ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:訓,0,3
が,が,が,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
附,附し,附,名詞,普通名詞,代表表記:附し/附し 自動獲得:Wiktionary 読み不明 連用形名詞化:附す/附す 送り仮名引っ込み,0,3
添い,そい,添い,名詞,普通名詞,代表表記:添い/そいv 自他動詞:自:添える/そえる 連用形名詞化:添う/そう,0,3
の,の,の,助詞,接続助詞,NIL,0,3
自動車,じどうしゃ,自動車,名詞,普通名詞,代表表記:自動車/じどうしゃ ドメイン:交通 カテゴリ:人工物-乗り物,0,3
も,も,も,助詞,副助詞,NIL,0,3
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,3
、,、,、,特殊,読点,NIL,0,3
ただ,ただ,ただ,副詞,*,代表表記:唯/ただ 修飾（デ格） 数量修飾,0,3
グルグル,ぐるぐる,グルグル,副詞,*,代表表記:グルグル/ぐるぐる スル接続可能,0,3
と,と,と,助詞,格助詞,NIL,0,3
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,3
から,から,から,助詞,格助詞,NIL,0,3
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,3
へ,へ,へ,助詞,格助詞,NIL,0,3
走り,はしり,走る,動詞,*,代表表記:走る/はしる,0,3
廻って,まわって,廻る,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
と,と,と,助詞,格助詞,NIL,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,3
の,の,の,名詞,形式名詞,NIL,0,3
は,は,は,助詞,副助詞,NIL,0,3
如何にも,いかにも,如何にも,副詞,*,代表表記:如何にも/いかにも,0,3
変だ,へんだ,変だ,形容詞,*,代表表記:変だ/へんだ,0,3
。,。,。,特殊,句点,NIL,0,3
葬式,そうしき,葬式,名詞,普通名詞,代表表記:葬式/そうしき ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,0,4
に,に,に,助詞,格助詞,NIL,0,4
傭わ,傭わ,傭う,動詞,*,自動獲得:Wiktionary 読み不明,0,4
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,4
帰り,かえり,帰り,名詞,普通名詞,代表表記:帰り/かえりv 反義:動詞:行く/いく;動詞:来る/くる 自他動詞:他:帰す/かえす 連用形名詞化:帰る/かえる,0,4
で,で,だ,判定詞,*,NIL,0,4
も,も,も,助詞,副助詞,NIL,0,4
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,4
らしい,らしい,らしい,助動詞,*,NIL,0,4
。,。,。,特殊,句点,NIL,0,4
と,と,と,助詞,格助詞,NIL,0,5
云って,いって,云う,動詞,*,代表表記:言う/いう 補文ト,0,5
、,、,、,特殊,読点,NIL,0,5
これ,これ,これ,指示詞,名詞形態指示詞,NIL,0,5
から,から,から,助詞,格助詞,NIL,0,5
傭わ,傭わ,傭う,動詞,*,自動獲得:Wiktionary 読み不明,0,5
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,5
行く,いく,行く,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,0,5
に,に,に,助詞,格助詞,NIL,0,5
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,5
は,は,は,助詞,副助詞,NIL,0,5
、,、,、,特殊,読点,NIL,0,5
時間,じかん,時間,名詞,時相名詞,代表表記:時間/じかん カテゴリ:時間,0,5
が,が,が,助詞,格助詞,NIL,0,5
変だ,へんだ,変だ,形容詞,*,代表表記:変だ/へんだ,0,5
。,。,。,特殊,句点,NIL,0,5
長い,ながい,長い,形容詞,*,代表表記:長い/ながい 反義:形容詞:短い/みじかい,0,6
春,しゅん,春,名詞,時相名詞,代表表記:春/しゅん カテゴリ:時間 漢字読み:音,0,6
の,の,の,助詞,接続助詞,NIL,0,6
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,0,6
が,が,が,助詞,格助詞,NIL,0,6
、,、,、,特殊,読点,NIL,0,6
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,0,6
暮,くら,暮す,動詞,*,代表表記:暮らす/くらす ドメイン:家庭・暮らし,0,6
る,る,る,接尾辞,動詞性接尾辞,代表表記:る/る,0,6
に,に,に,助詞,接続助詞,NIL,0,6
間,あいだ,間,名詞,副詞的名詞,代表表記:間/あいだ,0,6
も,も,も,助詞,副助詞,NIL,0,6
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,6
のだ,のだ,のだ,助動詞,*,NIL,0,6
から,から,から,助詞,接続助詞,NIL,0,6
。,。,。,特殊,句点,NIL,0,6
陽気,ようき,陽気,名詞,普通名詞,代表表記:陽気/ようき カテゴリ:抽象物,0,7
の,の,の,助詞,接続助詞,NIL,0,7
せい,せい,せい,名詞,副詞的名詞,代表表記:せい/せい,0,7
で,で,で,助詞,格助詞,NIL,0,7
運転手,うんてんしゅ,運転手,名詞,普通名詞,代表表記:運転手/うんてんしゅ ドメイン:交通 カテゴリ:人 人名末尾,0,7
が,が,が,助詞,格助詞,NIL,0,7
気,き,気,名詞,普通名詞,代表表記:気/き カテゴリ:抽象物 漢字読み:音,0,7
でも,でも,でも,助詞,副助詞,NIL,0,7
違った,ちがった,違う,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,0,7
の,の,のだ,助動詞,*,NIL,0,7
か,か,か,助詞,終助詞,NIL,0,7
。,。,。,特殊,句点,NIL,0,7
それとも,それとも,それとも,接続詞,*,代表表記:それとも/それとも,0,8
、,、,、,特殊,読点,NIL,0,8
ガレージ,がれーじ,ガレージ,名詞,普通名詞,代表表記:ガレージ/がれーじ ドメイン:交通 カテゴリ:場所-施設,0,8
の,の,の,助詞,接続助詞,NIL,0,8
所在,しょざい,所在,名詞,普通名詞,代表表記:所在/しょざい カテゴリ:場所-その他,0,8
を,を,を,助詞,格助詞,NIL,0,8
忘れ,わすれ,忘れる,動詞,*,代表表記:忘れる/わすれる 反義:動詞:覚える/おぼえる 付属動詞候補（基本）,0,8
でも,でも,でも,助詞,副助詞,NIL,0,8
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,8
の,の,のだ,助動詞,*,NIL,0,8
か,か,か,助詞,終助詞,NIL,0,8
。,。,。,特殊,句点,NIL,0,8
実に,じつに,実に,副詞,*,代表表記:実に/じつに 用言弱修飾,0,9
異様な,いような,異様だ,形容詞,*,代表表記:異様だ/いようだ,0,9
葬儀,そうぎ,葬儀,名詞,普通名詞,代表表記:葬儀/そうぎ ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,0,9
車,くるま,車,名詞,普通名詞,代表表記:車/くるま ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:訓,0,9
だ,だ,だ,判定詞,*,NIL,0,9
が,が,が,助詞,接続助詞,NIL,0,9
、,、,、,特殊,読点,NIL,0,9
誰一人,だれひとり,誰一人,副詞,*,代表表記:誰一人/だれひとり,0,9
その,その,その,指示詞,連体詞形態指示詞,NIL,0,9
あと,あと,あと,名詞,副詞的名詞,代表表記:後/あと,0,9
を,を,を,助詞,格助詞,NIL,0,9
つけ,つけ,つける,動詞,*,代表表記:付ける/つける 可能動詞:付く/つく 補文ト 付属動詞候補（基本）,0,9
廻して,まわして,廻す,動詞,*,代表表記:回す/まわす 自他動詞:自:回る/まわる 付属動詞候補（基本）,0,9
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,9
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,0,9
で,で,だ,判定詞,*,NIL,0,9
は,は,は,助詞,副助詞,NIL,0,9
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,9
から,から,から,助詞,接続助詞,NIL,0,9
、,、,、,特殊,読点,NIL,0,9
別に,べつに,別だ,形容詞,*,代表表記:別だ/べつだ,0,9
