見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ある,ある,ある,連体詞,*,代表表記:或る/ある,動く映画館,0,0
夕,ゆう,夕,名詞,時相名詞,代表表記:夕/ゆう カテゴリ:時間 漢字読み:訓,動く映画館,0,0
がた,がた,がた,接尾辞,名詞性名詞接尾辞,代表表記:方/がた,動く映画館,0,0
、,、,、,特殊,読点,NIL,動く映画館,0,0
渋谷,しぶや,渋谷,名詞,地名,代表表記:渋谷/しぶや 地名:日本:東京都:区,動く映画館,0,0
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,動く映画館,0,0
の,の,の,助詞,接続助詞,NIL,動く映画館,0,0
やしき,やしき,やしき,名詞,普通名詞,代表表記:屋敷/やしき ドメイン:家庭・暮らし カテゴリ:場所-施設,動く映画館,0,0
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,動く映画館,0,0
を,を,を,助詞,格助詞,NIL,動く映画館,0,0
、,、,、,特殊,読点,NIL,動く映画館,0,0
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,動く映画館,0,0
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,動く映画館,0,0
の,の,の,助詞,接続助詞,NIL,動く映画館,0,0
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,動く映画館,0,0
が,が,が,助詞,格助詞,NIL,動く映画館,0,0
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,動く映画館,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,動く映画館,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,動く映画館,0,0
。,。,。,特殊,句点,NIL,動く映画館,0,0
もと,もと,もと,名詞,普通名詞,代表表記:元/もと カテゴリ:場所-機能;抽象物 漢字読み:訓 〜を〜に構成語,動く映画館,0,1
ボクサー,ぼくさー,ボクサー,名詞,普通名詞,代表表記:ボクサー/ぼくさー ドメイン:スポーツ カテゴリ:人,動く映画館,0,1
の,の,の,助詞,接続助詞,NIL,動く映画館,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,動く映画館,0,1
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,動く映画館,0,1
を,を,を,助詞,格助詞,NIL,動く映画館,0,1
もつ,もつ,もつ,動詞,*,代表表記:持つ/もつ,動く映画館,0,1
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,動く映画館,0,1
一郎,いちろう,一郎,名詞,人名,人名:日本:名:14:0.00142,動く映画館,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,動く映画館,0,1
と,と,と,助詞,格助詞,NIL,動く映画館,0,1
、,、,、,特殊,読点,NIL,動く映画館,0,1
すこし,すこし,すこし,副詞,*,代表表記:少し/すこし 修飾（デ格） 用言弱修飾 相対名詞修飾,動く映画館,0,1
おくびょうだ,おくびょうだ,おくびょうだ,形容詞,*,代表表記:臆病だ/おくびょうだ,動く映画館,0,1
けれども,けれども,けれども,助詞,接続助詞,NIL,動く映画館,0,1
、,、,、,特殊,読点,NIL,動く映画館,0,1
あいきょう,あいきょう,あいきょう,名詞,普通名詞,代表表記:愛嬌/あいきょう カテゴリ:抽象物,動く映画館,0,1
もの,もの,もの,名詞,普通名詞,代表表記:物/もの カテゴリ:人工物-その他 漢字読み:訓,動く映画館,0,1
の,の,の,助詞,接続助詞,NIL,動く映画館,0,1
野呂,のろ,野呂,名詞,人名,人名:日本:姓:1232:0.00015,動く映画館,0,1
一平,いっぺい,一平,名詞,人名,人名:日本:名:854:0.00020,動く映画館,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,動く映画館,0,1
です,です,だ,判定詞,*,NIL,動く映画館,0,1
。,。,。,特殊,句点,NIL,動く映画館,0,1
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,動く映画館,0,2
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,動く映画館,0,2
と,と,と,助詞,格助詞,NIL,動く映画館,0,2
も,も,も,助詞,副助詞,NIL,動く映画館,0,2
、,、,、,特殊,読点,NIL,動く映画館,0,2
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,動く映画館,0,2
芳雄,よしお,芳雄,名詞,人名,人名:日本:名:867:0.00019,動く映画館,0,2
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,動く映画館,0,2
を,を,を,助詞,格助詞,NIL,動く映画館,0,2
