見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
しょうねん,しょうねん,しょうねん,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,１,0,0
たんてい,たんてい,たんてい,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,１,0,0
だん,だん,だん,名詞,普通名詞,代表表記:団/だん カテゴリ:組織・団体 漢字読み:音,１,0,0
の,の,の,助詞,接続助詞,NIL,１,0,0
なか,なか,なか,名詞,副詞的名詞,代表表記:中/なか,１,0,0
で,で,で,助詞,格助詞,NIL,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
いちばん,いちばん,いちばん,副詞,*,代表表記:一番/いちばん 用言弱修飾 相対名詞修飾,１,0,0
からだ,からだ,からだ,名詞,普通名詞,代表表記:体/からだ カテゴリ:動物 漢字読み:訓,１,0,0
が,が,が,助詞,格助詞,NIL,１,0,0
大きくて,おおきくて,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,１,0,0
力,ちから,力,名詞,普通名詞,代表表記:力/ちから カテゴリ:抽象物 漢字読み:訓,１,0,0
の,の,の,助詞,格助詞,NIL,１,0,0
強い,つよい,強い,形容詞,*,代表表記:強い/つよい 反義:形容詞:弱い/よわい,１,0,0
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,１,0,0
一郎,いちろう,一郎,名詞,人名,人名:日本:名:14:0.00142,１,0,0
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１,0,0
に,に,に,助詞,格助詞,NIL,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,１,0,0
三,さん,三,名詞,数詞,カテゴリ:数量,１,0,0
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,１,0,0
の,の,の,助詞,接続助詞,NIL,１,0,0
ルミ,ルミ,ルミ,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia名,１,0,0
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,0
と,と,と,助詞,格助詞,NIL,１,0,0
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,１,0,0
、,、,、,特殊,読点,NIL,１,0,0
かわいい,かわいい,かわいい,形容詞,*,代表表記:可愛い/かわいい,１,0,0
妹,いもうと,妹,名詞,普通名詞,代表表記:妹/いもうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,１,0,0
が,が,が,助詞,格助詞,NIL,１,0,0
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,１,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１,0,0
。,。,。,特殊,句点,NIL,１,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,１,0,1
ルミ,ルミ,ルミ,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia名,１,0,1
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,1
が,が,が,助詞,格助詞,NIL,１,0,1
、,、,、,特殊,読点,NIL,１,0,1
ある,ある,ある,連体詞,*,代表表記:或る/ある,１,0,1
夕,ゆう,夕,名詞,時相名詞,代表表記:夕/ゆう カテゴリ:時間 漢字読み:訓,１,0,1
がた,がた,がた,接尾辞,名詞性名詞接尾辞,代表表記:方/がた,１,0,1
、,、,、,特殊,読点,NIL,１,0,1
ちんどん屋,ちんどんや,ちんどん屋,名詞,普通名詞,代表表記:ちんどん屋/ちんどんや カテゴリ:組織・団体,１,0,1
の,の,の,助詞,接続助詞,NIL,１,0,1
あと,あと,あと,名詞,副詞的名詞,代表表記:後/あと,１,0,1
に,に,に,助詞,格助詞,NIL,１,0,1
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,１,0,1
、,、,、,特殊,読点,NIL,１,0,1
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,１,0,1
は,は,は,助詞,副助詞,NIL,１,0,1
ずれ,ずれ,ずれ,名詞,普通名詞,代表表記:ずれ/ずれv 自他動詞:他:ずらす/ずらす 連用形名詞化:ずれる/ずれる,１,0,1
の,の,の,助詞,格助詞,NIL,１,0,1
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,１,0,1
森,もり,森,名詞,普通名詞,代表表記:森/もり カテゴリ:場所-自然 漢字読み:訓 地名末尾,１,0,1
の,の,の,助詞,接続助詞,NIL,１,0,1
近く,ちかく,近く,名詞,普通名詞,代表表記:近く/ちかく カテゴリ:場所-機能;時間 反義:名詞-普通名詞:遠く/とおく 形容詞派生:近い/ちかい,１,0,1
まで,まで,まで,助詞,格助詞,NIL,１,0,1
行って,いって,行く,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,１,0,1
しまった,しまった,しまう,接尾辞,動詞性接尾辞,代表表記:しまう/しまう,１,0,1
のです,のです,のだ,助動詞,*,NIL,１,0,1
。,。,。,特殊,句点,NIL,１,0,1
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,１,0,2
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１,0,2
は,は,は,助詞,副助詞,NIL,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１,0,2
かあさん,かあさん,かあさん,名詞,普通名詞,代表表記:母さん/かあさん ドメイン:家庭・暮らし カテゴリ:人,１,0,2
に,に,に,助詞,格助詞,NIL,１,0,2
たのま,たのま,たのむ,動詞,*,代表表記:頼む/たのむ,１,0,2
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
ちょうど,ちょうど,ちょうど,副詞,*,代表表記:丁度/ちょうど 数量修飾,１,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,１,0,2
とき,とき,とき,名詞,副詞的名詞,代表表記:時/とき,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
遊び,あそび,遊ぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,１,0,2
に,に,に,助詞,格助詞,NIL,１,0,2
来て,来て,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,１,0,2
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１,0,2
同じ,おなじ,同じだ,形容詞,*,代表表記:同じだ/おなじだ 反義:動詞:違う/ちがう,１,0,2
だんいん,だんいん,だんいん,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,１,0,2
の,の,の,助詞,接続助詞,NIL,１,0,2
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,１,0,2
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１,0,2
（,（,（,特殊,括弧始,NIL,１,0,2
野呂,のろ,野呂,名詞,人名,人名:日本:姓:1232:0.00015,１,0,2
一平,いっぺい,一平,名詞,人名,人名:日本:名:854:0.00020,１,0,2
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１,0,2
の,の,の,助詞,接続助詞,NIL,１,0,2
あだ名,あだな,あだ名,名詞,普通名詞,代表表記:徒名/あだな カテゴリ:抽象物,１,0,2
）,）,）,特殊,括弧終,NIL,１,0,2
と,と,と,助詞,格助詞,NIL,１,0,2
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,１,0,2
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,１,0,2
で,で,で,助詞,格助詞,NIL,１,0,2
、,、,、,特殊,読点,NIL,１,0,2
方々,ほうぼう,方々,副詞,*,代表表記:方々/ほうぼう,１,0,2
さがし,さがし,さがす,動詞,*,代表表記:捜す/さがす,１,0,2
