見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,一,0,0
小説,しょうせつ,小説,名詞,普通名詞,代表表記:小説/しょうせつ ドメイン:文化・芸術 カテゴリ:抽象物,一,0,0
の,の,の,助詞,接続助詞,NIL,一,0,0
筋,すじ,筋,名詞,普通名詞,代表表記:筋/すじ カテゴリ:動物-部位;人工物-食べ物 漢字読み:訓,一,0,0
を,を,を,助詞,格助詞,NIL,一,0,0
考える,かんがえる,考える,動詞,*,代表表記:考える/かんがえる 補文ト,一,0,0
為,ため,為,名詞,副詞的名詞,代表表記:為/ため,一,0,0
に,に,に,助詞,格助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
方々,ほうぼう,方々,副詞,*,代表表記:方々/ほうぼう,一,0,0
を,を,を,助詞,格助詞,NIL,一,0,0
ぶらつく,ぶらつく,ぶらつく,動詞,*,代表表記:ぶらつく/ぶらつく,一,0,0
こと,こと,こと,名詞,形式名詞,NIL,一,0,0
が,が,が,助詞,格助詞,NIL,一,0,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,一,0,0
が,が,が,助詞,接続助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,一,0,0
を,を,を,助詞,格助詞,NIL,一,0,0
離れ,はなれ,離れる,動詞,*,代表表記:離れる/はなれる 反義:動詞:合う/あう 自他動詞:他:離す/はなす,一,0,0
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,一,0,0
場合,ばあい,場合,名詞,副詞的名詞,代表表記:場合/ばあい,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
大抵,たいてい,大抵,副詞,*,代表表記:大抵/たいてい 数量修飾,一,0,0
行先,行先,行先,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:列車番号の付番方法 読み不明,一,0,0
が,が,が,助詞,格助詞,NIL,一,0,0
極,ごく,極,副詞,*,代表表記:極/ごく 用言弱修飾,一,0,0
って,って,って,助詞,副助詞,NIL,一,0,0
いる,いる,いる,動詞,*,代表表記:射る/いる,一,0,0
。,。,。,特殊,句点,NIL,一,0,0
浅草,あさくさ,浅草,名詞,地名,自動獲得:Wikipedia Wikipedia多義 Wikipedia地名,一,0,1
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
花,か,花,名詞,普通名詞,代表表記:花/か カテゴリ:植物-部位 漢字読み:音,一,0,1
やしき,やしき,やしき,名詞,普通名詞,代表表記:屋敷/やしき ドメイン:家庭・暮らし カテゴリ:場所-施設,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
上野,うえの,上野,名詞,地名,代表表記:上野/うえの 地名:日本:群馬県:村,一,0,1
の,の,の,助詞,接続助詞,NIL,一,0,1
