見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
「,「,「,特殊,括弧始,NIL,< 章なし >,0,0
ここ,ここ,ここ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
お国,おくに,お国,名詞,普通名詞,代表表記:御国/おくに カテゴリ:場所-その他,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
何百,何百,何百,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,0
里,さと,里,名詞,普通名詞,代表表記:里/さと カテゴリ:場所-自然 漢字読み:訓,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
離れて,はなれて,離れる,動詞,*,代表表記:離れる/はなれる 反義:動詞:合う/あう 自他動詞:他:離す/はなす,< 章なし >,0,0
遠き,とおき,遠い,形容詞,*,代表表記:遠い/とおい 反義:形容詞:近い/ちかい,< 章なし >,0,0
満洲,満洲,満洲,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:満州,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
……,……,……,特殊,記号,NIL,< 章なし >,0,0
」,」,」,特殊,括弧終,NIL,< 章なし >,0,0
ガラガラ,がらがら,ガラガラだ,形容詞,*,代表表記:ガラガラだ/がらがらだ 自動獲得:テキスト 副詞識別,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
ゴットン,ゴットン,ゴットン,名詞,普通名詞,自動獲得:Wikipedia Wikipedia一覧:ガンダムシリーズの登場人物,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
ガラガラ,がらがら,ガラガラ,名詞,普通名詞,代表表記:ガラガラ/がらがら 自動獲得:テキスト 副詞識別,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
ゴットン,ゴットン,ゴットン,名詞,普通名詞,自動獲得:Wikipedia Wikipedia一覧:ガンダムシリーズの登場人物,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
廻転,廻転,廻転,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:同音の漢字による書きかえ 読み不明,< 章なし >,0,0
木馬,もくば,木馬,名詞,普通名詞,代表表記:木馬/もくば ドメイン:レクリエーション カテゴリ:人工物-その他,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
廻る,まわる,廻る,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,< 章なし >,0,0
のだ,のだ,のだ,助動詞,*,NIL,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
今年,ことし,今年,名詞,時相名詞,代表表記:今年/ことし カテゴリ:時間,< 章なし >,0,1
五十,五十,五十,名詞,地名,代表表記:五十/五十 地名:日本 DEV:prefix2,< 章なし >,0,1
幾,いく,幾,名詞,数詞,カテゴリ:数量,< 章なし >,0,1
歳,さい,歳,接尾辞,名詞性名詞助数辞,代表表記:歳/さい 準内容語,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
格,ただす,格,名詞,人名,人名:日本:名:1204:0.00014,< 章なし >,0,1
二郎,じろう,二郎,名詞,人名,人名:日本:名:150:0.00065,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
好き,すき,好きだ,形容詞,*,代表表記:好きだ/すきだ 反義:形容詞:嫌いだ/きらいだ 動詞派生:好く/すく,< 章なし >,0,1
から,から,から,助詞,格助詞,NIL,< 章なし >,0,1
なった,なった,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,1
ラッパ,ラッパ,ラッパ,名詞,普通名詞,自動獲得:Wikipedia,< 章なし >,0,1
吹き,ふき,吹き,名詞,普通名詞,代表表記:吹き/ふきv 連用形名詞化:吹く/ふく 補文ト,< 章なし >,0,1
で,で,で,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
昔,むかし,昔,名詞,時相名詞,代表表記:昔/むかし カテゴリ:時間 漢字読み:訓,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,1
でも,でも,でも,助詞,副助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
郷里,きょうり,郷里,名詞,普通名詞,代表表記:郷里/きょうり カテゴリ:場所-その他,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
活動,かつどう,活動,名詞,サ変名詞,代表表記:活動/かつどう カテゴリ:抽象物,< 章なし >,0,1
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
花形,はながた,花形,名詞,普通名詞,代表表記:花形/はながた カテゴリ:人,< 章なし >,0,1
音楽,おんがく,音楽,名詞,普通名詞,代表表記:音楽/おんがく ドメイン:文化・芸術 カテゴリ:抽象物,< 章なし >,0,1
師,し,師,名詞,普通名詞,代表表記:師/し カテゴリ:人 漢字読み:音,< 章なし >,0,1
だった,だった,だ,判定詞,*,NIL,< 章なし >,0,1
の,の,の,名詞,形式名詞,NIL,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
やがて,やがて,やがて,副詞,*,代表表記:やがて/やがて,< 章なし >,0,1
はやり,はやり,はやる,動詞,*,代表表記:流行る/はやる 反義:動詞:廃れる/すたれる,< 章なし >,0,1
出した,だした,出す,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,< 章なし >,0,1
管絃,管絃,管絃,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:合奏 読み不明,< 章なし >,0,1
楽,がく,楽,名詞,普通名詞,代表表記:楽/がく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
