見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
彦太郎,彦太郎,彦太郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
勤め先,つとめさき,勤め先,名詞,普通名詞,代表表記:勤め先/つとめさき ドメイン:ビジネス カテゴリ:場所-その他,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
木綿,もめん,木綿,名詞,普通名詞,代表表記:木綿/もめん ドメイン:家庭・暮らし カテゴリ:人工物-その他,< 章なし >,0,0
問屋,とんや,問屋,名詞,普通名詞,代表表記:問屋/とんや ドメイン:ビジネス カテゴリ:場所-施設,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
しくじって,しくじって,しくじる,動詞,*,代表表記:しくじる/しくじる,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
父親,ちちおや,父親,名詞,普通名詞,代表表記:父親/ちちおや ドメイン:家庭・暮らし カテゴリ:人,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,< 章なし >,0,0
へ,へ,へ,助詞,格助詞,NIL,< 章なし >,0,0
帰って,かえって,帰る,動詞,*,代表表記:帰る/かえる 反義:動詞:行く/いく;動詞:来る/くる 自他動詞:他:帰す/かえす,< 章なし >,0,0
来て,きて,来る,接尾辞,動詞性接尾辞,代表表記:来る/くる,< 章なし >,0,0
から,から,から,助詞,接続助詞,NIL,< 章なし >,0,0
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,< 章なし >,0,0
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
ヶ月,かげつ,ヶ月,接尾辞,名詞性名詞助数辞,代表表記:か月/かげつ カテゴリ:時間 準内容語,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
も,も,も,助詞,副助詞,NIL,< 章なし >,0,0
なった,なった,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
旧,きゅう,旧,接頭辞,名詞接頭辞,代表表記:旧/きゅう 内容語,< 章なし >,0,1
