見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,作者の言葉,0,0
は,は,は,助詞,副助詞,NIL,作者の言葉,0,0
最初,さいしょ,最初だ,形容詞,*,代表表記:最初だ/さいしょだ 反義:形容詞:最後だ/さいごだ;形容詞:最終だ/さいしゅうだ,作者の言葉,0,0
から,から,から,助詞,格助詞,NIL,作者の言葉,0,0
読者,どくしゃ,読者,名詞,普通名詞,代表表記:読者/どくしゃ ドメイン:文化・芸術;メディア カテゴリ:人,作者の言葉,0,0
の,の,の,助詞,接続助詞,NIL,作者の言葉,0,0
目の前,めのまえ,目の前,名詞,普通名詞,代表表記:目の前/めのまえ カテゴリ:場所-その他;時間 〜を〜に構成語,作者の言葉,0,0
に,に,に,助詞,格助詞,NIL,作者の言葉,0,0
い,い,いる,動詞,*,代表表記:射る/いる,作者の言葉,0,0
ながら,ながら,ながら,助詞,接続助詞,NIL,作者の言葉,0,0
最後,さいご,最後だ,形容詞,*,代表表記:最後だ/さいごだ 反義:形容詞:最初だ/さいしょだ,作者の言葉,0,0
まで,まで,まで,助詞,格助詞,NIL,作者の言葉,0,0
どれ,どれ,どれ,指示詞,名詞形態指示詞,NIL,作者の言葉,0,0
が,が,が,助詞,格助詞,NIL,作者の言葉,0,0
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,作者の言葉,0,0
だ,だ,だ,判定詞,*,NIL,作者の言葉,0,0
か,か,か,助詞,接続助詞,NIL,作者の言葉,0,0
分ら,分ら,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,作者の言葉,0,0
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,作者の言葉,0,0
。,。,。,特殊,句点,NIL,作者の言葉,0,0
と,と,と,助詞,格助詞,NIL,作者の言葉,0,1
云う,いう,云う,動詞,*,代表表記:言う/いう 補文ト,作者の言葉,0,1
の,の,の,名詞,形式名詞,NIL,作者の言葉,0,1
が,が,が,助詞,格助詞,NIL,作者の言葉,0,1
所謂,所謂,所謂,未定義語,その他,未知語:漢字 品詞推定:名詞,作者の言葉,0,1
本格,ほんかく,本格,名詞,普通名詞,代表表記:本格/ほんかく カテゴリ:抽象物,作者の言葉,0,1
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,作者の言葉,0,1
小説,しょうせつ,小説,名詞,普通名詞,代表表記:小説/しょうせつ ドメイン:文化・芸術 カテゴリ:抽象物,作者の言葉,0,1
の,の,の,助詞,接続助詞,NIL,作者の言葉,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,作者の言葉,0,1
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,作者の言葉,0,1
の,の,の,助詞,接続助詞,NIL,作者の言葉,0,1
条件,じょうけん,条件,名詞,普通名詞,代表表記:条件/じょうけん カテゴリ:抽象物 〜を〜に構成語,作者の言葉,0,1
みたいに,みたいに,みたいだ,助動詞,*,NIL,作者の言葉,0,1
なって,なって,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,作者の言葉,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,作者の言葉,0,1
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,作者の言葉,0,1
。,。,。,特殊,句点,NIL,作者の言葉,0,1
なるべく,なるべく,なるべく,副詞,*,代表表記:なるべく/なるべく,作者の言葉,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,作者の言葉,0,2
条件,じょうけん,条件,名詞,普通名詞,代表表記:条件/じょうけん カテゴリ:抽象物 〜を〜に構成語,作者の言葉,0,2
に,に,に,助詞,格助詞,NIL,作者の言葉,0,2
適わ,適わ,適う,動詞,*,代表表記:適う/適う 自動獲得:テキスト,作者の言葉,0,2
せる,せる,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,作者の言葉,0,2
こと,こと,こと,名詞,形式名詞,NIL,作者の言葉,0,2
を,を,を,助詞,格助詞,NIL,作者の言葉,0,2
心掛け,こころがけ,心掛ける,動詞,*,代表表記:心掛ける/こころがける,作者の言葉,0,2
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,作者の言葉,0,2
。,。,。,特殊,句点,NIL,作者の言葉,0,2
敏感な,びんかんな,敏感だ,形容詞,*,代表表記:敏感だ/びんかんだ 反義:形容詞:鈍感だ/どんかんだ,作者の言葉,0,3
読者,どくしゃ,読者,名詞,普通名詞,代表表記:読者/どくしゃ ドメイン:文化・芸術;メディア カテゴリ:人,作者の言葉,0,3
は,は,は,助詞,副助詞,NIL,作者の言葉,0,3
四五,四五,四五,名詞,数詞,カテゴリ:数量 未知語:数字,作者の言葉,0,3
回,かい,回,接尾辞,名詞性名詞助数辞,代表表記:回/かい 準内容語,作者の言葉,0,3
も,も,も,助詞,副助詞,NIL,作者の言葉,0,3
読ま,よま,読む,動詞,*,代表表記:読む/よむ,作者の言葉,0,3
ぬ,ぬ,ぬ,助動詞,*,NIL,作者の言葉,0,3
内,うち,内,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,作者の言葉,0,3
に,に,に,助詞,格助詞,NIL,作者の言葉,0,3
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,作者の言葉,0,3
が,が,が,助詞,格助詞,NIL,作者の言葉,0,3
分って,分って,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,作者の言葉,0,3
しまう,しまう,しまう,接尾辞,動詞性接尾辞,代表表記:しまう/しまう,作者の言葉,0,3
かも,かも,かも,助詞,接続助詞,NIL,作者の言葉,0,3
知れ,しれ,知れる,動詞,*,代表表記:知れる/しれる 可能動詞:知る/しる 補文ト,作者の言葉,0,3
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,作者の言葉,0,3
ん,ん,ぬ,助動詞,*,NIL,作者の言葉,0,3
。,。,。,特殊,句点,NIL,作者の言葉,0,3
又,また,又,副詞,*,代表表記:又/また,作者の言葉,0,4
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,作者の言葉,0,4
小説,しょうせつ,小説,名詞,普通名詞,代表表記:小説/しょうせつ ドメイン:文化・芸術 カテゴリ:抽象物,作者の言葉,0,4
に,に,に,助詞,格助詞,NIL,作者の言葉,0,4
不慣れな,ふなれな,不慣れだ,形容詞,*,代表表記:不慣れだ/ふなれだ,作者の言葉,0,4
読者,どくしゃ,読者,名詞,普通名詞,代表表記:読者/どくしゃ ドメイン:文化・芸術;メディア カテゴリ:人,作者の言葉,0,4
に,に,に,助詞,格助詞,NIL,作者の言葉,0,4
は,は,は,助詞,副助詞,NIL,作者の言葉,0,4
、,、,、,特殊,読点,NIL,作者の言葉,0,4
最後,さいご,最後だ,形容詞,*,代表表記:最後だ/さいごだ 反義:形容詞:最初だ/さいしょだ,作者の言葉,0,4
まで,まで,まで,助詞,格助詞,NIL,作者の言葉,0,4
それ,それ,それ,指示詞,名詞形態指示詞,NIL,作者の言葉,0,4
が,が,が,助詞,格助詞,NIL,作者の言葉,0,4
分ら,分ら,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,作者の言葉,0,4
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,作者の言葉,0,4
かも,かも,かも,助詞,接続助詞,NIL,作者の言葉,0,4
知れ,しれ,知れる,動詞,*,代表表記:知れる/しれる 可能動詞:知る/しる 補文ト,作者の言葉,0,4
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,作者の言葉,0,4
ん,ん,ぬ,助動詞,*,NIL,作者の言葉,0,4
。,。,。,特殊,句点,NIL,作者の言葉,0,4
丁度,ちょうど,丁度,副詞,*,代表表記:丁度/ちょうど 数量修飾,作者の言葉,0,5
その辺,そのへん,その辺,名詞,普通名詞,代表表記:其辺/そのへん カテゴリ:場所-その他,作者の言葉,0,5
の,の,の,助詞,接続助詞,NIL,作者の言葉,0,5
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,作者の言葉,0,5
を,を,を,助詞,格助詞,NIL,作者の言葉,0,5
狙って,ねらって,狙う,動詞,*,代表表記:狙う/ねらう,作者の言葉,0,5
ある,ある,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,作者の言葉,0,5
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,作者の言葉,0,5
です,です,だ,判定詞,*,NIL,作者の言葉,0,5
。,。,。,特殊,句点,NIL,作者の言葉,0,5
知識,ちしき,知識,名詞,普通名詞,代表表記:知識/ちしき カテゴリ:抽象物,作者の言葉,0,6
的,てき,的だ,接尾辞,形容詞性名詞接尾辞,代表表記:的だ/てきだ カテゴリ:抽象物 準内容語,作者の言葉,0,6
遊戯,遊戯,遊戯,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipedia上位語:管弦楽曲 Wikipediaリダイレクト:遊び,作者の言葉,0,6
と,と,と,助詞,格助詞,NIL,作者の言葉,0,6
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,作者の言葉,0,6
、,、,、,特殊,読点,NIL,作者の言葉,0,6
謎々,なぞなぞ,謎々,名詞,普通名詞,代表表記:謎々/なぞなぞ ドメイン:レクリエーション カテゴリ:抽象物,作者の言葉,0,6
を,を,を,助詞,格助詞,NIL,作者の言葉,0,6
解く,とく,解く,動詞,*,代表表記:解く/とく ドメイン:教育・学習 反義:動詞:結ぶ/むすぶ,作者の言葉,0,6
気持,きもち,気持,名詞,普通名詞,代表表記:気持ち/きもち カテゴリ:抽象物,作者の言葉,0,6
で,で,で,助詞,格助詞,NIL,作者の言葉,0,6
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,作者の言葉,0,6
読み,よみ,読む,動詞,*,代表表記:読む/よむ,作者の言葉,0,6
下されば,くだされば,下さる,接尾辞,動詞性接尾辞,代表表記:下さる/くださる,作者の言葉,0,6
結構です,けっこうです,結構だ,形容詞,*,代表表記:結構だ/けっこうだ,作者の言葉,0,6
。,。,。,特殊,句点,NIL,作者の言葉,0,6
「,「,「,特殊,括弧始,NIL,作者の言葉,0,7
時事,じじ,時事,名詞,普通名詞,代表表記:時事/じじ カテゴリ:抽象物,作者の言葉,0,7
新報,しんぽう,新報,名詞,普通名詞,代表表記:新報/しんぽう ドメイン:メディア カテゴリ:抽象物,作者の言葉,0,7
（,（,（,特殊,括弧始,NIL,作者の言葉,0,7
夕刊,ゆうかん,夕刊,名詞,普通名詞,代表表記:夕刊/ゆうかん ドメイン:メディア カテゴリ:人工物-その他,作者の言葉,0,7
）,）,）,特殊,括弧終,NIL,作者の言葉,0,7
」,」,」,特殊,括弧終,NIL,作者の言葉,0,7
昭和,しょうわ,昭和,名詞,固有名詞,代表表記:昭和/しょうわ,作者の言葉,0,7
四,よん,四,名詞,数詞,カテゴリ:数量,作者の言葉,0,7
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,作者の言葉,0,7
十,じゅう,十,名詞,数詞,カテゴリ:数量,作者の言葉,0,7
一,いち,一,名詞,数詞,カテゴリ:数量,作者の言葉,0,7
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,作者の言葉,0,7
十九,十九,十九,名詞,数詞,カテゴリ:数量 未知語:数字,作者の言葉,0,7
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,作者の言葉,0,7
、,、,、,特殊,読点,NIL,作者の言葉,0,7
二十四,二十四,二十四,名詞,数詞,カテゴリ:数量 未知語:数字,作者の言葉,0,7
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,作者の言葉,0,7
。,。,。,特殊,句点,NIL,作者の言葉,0,7
「,「,「,特殊,括弧始,NIL,一、奇妙な盗賊,1,0
この,この,この,指示詞,連体詞形態指示詞,NIL,一、奇妙な盗賊,1,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,一、奇妙な盗賊,1,0
は,は,は,助詞,副助詞,NIL,一、奇妙な盗賊,1,0
あなた,あなた,あなた,名詞,普通名詞,代表表記:あなた/あなた カテゴリ:人,一、奇妙な盗賊,1,0
が,が,が,助詞,格助詞,NIL,一、奇妙な盗賊,1,0
小説,しょうせつ,小説,名詞,普通名詞,代表表記:小説/しょうせつ ドメイン:文化・芸術 カテゴリ:抽象物,一、奇妙な盗賊,1,0
に,に,に,助詞,格助詞,NIL,一、奇妙な盗賊,1,0
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,一、奇妙な盗賊,1,0
書き,かき,書く,動詞,*,代表表記:書く/かく 補文ト,一、奇妙な盗賊,1,0
なさる,なさる,なさる,接尾辞,動詞性接尾辞,代表表記:なさる/なさる,一、奇妙な盗賊,1,0
の,の,の,名詞,形式名詞,NIL,一、奇妙な盗賊,1,0
が,が,が,助詞,格助詞,NIL,一、奇妙な盗賊,1,0
当然です,とうぜんです,当然だ,形容詞,*,代表表記:当然だ/とうぜんだ,一、奇妙な盗賊,1,0
。,。,。,特殊,句点,NIL,一、奇妙な盗賊,1,0
是非,ぜひ,是非,副詞,*,代表表記:是非/ぜひ,一、奇妙な盗賊,1,1
書いて,かいて,書く,動詞,*,代表表記:書く/かく 補文ト,一、奇妙な盗賊,1,1
下さい,ください,下さる,接尾辞,動詞性接尾辞,代表表記:下さる/くださる,一、奇妙な盗賊,1,1
」,」,」,特殊,括弧終,NIL,一、奇妙な盗賊,1,1
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,一、奇妙な盗賊,1,1
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,一、奇妙な盗賊,1,1
が,が,が,助詞,格助詞,NIL,一、奇妙な盗賊,1,1
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,一、奇妙な盗賊,1,1
に,に,に,助詞,格助詞,NIL,一、奇妙な盗賊,1,1
その,その,その,指示詞,連体詞形態指示詞,NIL,一、奇妙な盗賊,1,1
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,一、奇妙な盗賊,1,1
を,を,を,助詞,格助詞,NIL,一、奇妙な盗賊,1,1
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一、奇妙な盗賊,1,1
あと,あと,あと,名詞,副詞的名詞,代表表記:後/あと,一、奇妙な盗賊,1,1
で,で,で,助詞,格助詞,NIL,一、奇妙な盗賊,1,1
、,、,、,特殊,読点,NIL,一、奇妙な盗賊,1,1
こんな,こんな,こんな,指示詞,連体詞形態指示詞,NIL,一、奇妙な盗賊,1,1
こと,こと,こと,名詞,形式名詞,NIL,一、奇妙な盗賊,1,1
を,を,を,助詞,格助詞,NIL,一、奇妙な盗賊,1,1
云った,いった,云う,動詞,*,代表表記:言う/いう 補文ト,一、奇妙な盗賊,1,1
。,。,。,特殊,句点,NIL,一、奇妙な盗賊,1,1
四五,四五,四五,名詞,数詞,カテゴリ:数量 未知語:数字,一、奇妙な盗賊,1,2
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,一、奇妙な盗賊,1,2
以前,いぜん,以前,接尾辞,名詞性特殊接尾辞,代表表記:以前/いぜん 内容語,一、奇妙な盗賊,1,2
の,の,の,助詞,接続助詞,NIL,一、奇妙な盗賊,1,2
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,一、奇妙な盗賊,1,2
だ,だ,だ,判定詞,*,NIL,一、奇妙な盗賊,1,2
けれど,けれど,けれど,助詞,接続助詞,NIL,一、奇妙な盗賊,1,2
、,、,、,特殊,読点,NIL,一、奇妙な盗賊,1,2
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,一、奇妙な盗賊,1,2
の,の,の,助詞,接続助詞,NIL,一、奇妙な盗賊,1,2
主人公,しゅじんこう,主人公,名詞,普通名詞,代表表記:主人公/しゅじんこう ドメイン:文化・芸術 カテゴリ:人 〜を〜に構成語,一、奇妙な盗賊,1,2
が,が,が,助詞,格助詞,NIL,一、奇妙な盗賊,1,2
現存,げんそん,現存,名詞,サ変名詞,代表表記:現存/げんそん カテゴリ:抽象物,一、奇妙な盗賊,1,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一、奇妙な盗賊,1,2
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一、奇妙な盗賊,1,2
ので,ので,のだ,助動詞,*,NIL,一、奇妙な盗賊,1,2
憚って,はばかって,憚る,動詞,*,代表表記:憚る/はばかる,一、奇妙な盗賊,1,2
話さ,はなさ,話す,動詞,*,代表表記:話す/はなす 補文ト,一、奇妙な盗賊,1,2
なんだ,なんだ,ぬ,助動詞,*,NIL,一、奇妙な盗賊,1,2
。,。,。,特殊,句点,NIL,一、奇妙な盗賊,1,2
その,その,その,指示詞,連体詞形態指示詞,NIL,一、奇妙な盗賊,1,3
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,一、奇妙な盗賊,1,3
が,が,が,助詞,格助詞,NIL,一、奇妙な盗賊,1,3
最近,さいきん,最近,名詞,時相名詞,代表表記:最近/さいきん カテゴリ:時間,一、奇妙な盗賊,1,3
病死,びょうし,病死,名詞,サ変名詞,代表表記:病死/びょうし ドメイン:健康・医学 カテゴリ:抽象物,一、奇妙な盗賊,1,3
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一、奇妙な盗賊,1,3
のだ,のだ,のだ,助動詞,*,NIL,一、奇妙な盗賊,1,3
。,。,。,特殊,句点,NIL,一、奇妙な盗賊,1,3
