見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
二,に,二,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
湯,ゆ,湯,名詞,普通名詞,代表表記:湯/ゆ カテゴリ:自然物 漢字読み:訓,< 章なし >,0,0
から,から,から,助詞,格助詞,NIL,< 章なし >,0,0
上って,のぼって,上る,動詞,*,代表表記:上る/のぼる 付属動詞候補（基本）,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
局,きょく,局,名詞,普通名詞,代表表記:局/きょく カテゴリ:組織・団体;場所-施設部位 漢字読み:音 組織名末尾,< 章なし >,0,0
囲んだ,かこんだ,囲む,動詞,*,代表表記:囲む/かこむ,< 章なし >,0,0
後,あと,後,名詞,副詞的名詞,代表表記:後/あと,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
煙草,たばこ,煙草,名詞,普通名詞,代表表記:たばこ/たばこ ドメイン:健康・医学;家庭・暮らし カテゴリ:人工物-その他,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
渋い,しぶい,渋い,形容詞,*,代表表記:渋い/しぶい ドメイン:料理・食事,< 章なし >,0,0
煎茶,せんちゃ,煎茶,名詞,普通名詞,自動獲得:Wikipedia Wikipedia上位語:日本茶,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
啜り,啜り,啜る,動詞,*,代表表記:啜る/啜る 自動獲得:テキスト,< 章なし >,0,0
ながら,ながら,ながら,助詞,接続助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
何,なん,何,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
様,よう,様,名詞,副詞的名詞,代表表記:様/よう,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
ボツリボツリ,ボツリボツリ,ボツリボツリ,副詞,*,自動認識 未知語:擬音語擬態語 する連続可能,< 章なし >,0,0
と,と,と,助詞,格助詞,NIL,< 章なし >,0,0
世間話,せけんばなし,世間話,名詞,普通名詞,代表表記:世間話/せけんばなし カテゴリ:抽象物,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
取交,取交,取交,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,0
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
穏,穏,穏,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,1
かな,かな,かな,名詞,普通名詞,代表表記:仮名/かな カテゴリ:抽象物,< 章なし >,0,1
冬,とう,冬,名詞,時相名詞,代表表記:冬/とう カテゴリ:時間 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
日光,にっこう,日光,名詞,普通名詞,代表表記:日光/にっこう カテゴリ:抽象物,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
障子,しょうじ,障子,名詞,普通名詞,代表表記:障子/しょうじ ドメイン:家庭・暮らし カテゴリ:場所-施設部位,< 章なし >,0,1
一杯に,いっぱいに,一杯だ,形容詞,*,代表表記:一杯だ/いっぱいだ,< 章なし >,0,1
拡,拡,拡,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,< 章なし >,0,1
って,って,って,助詞,副助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
八,はち,八,名詞,数詞,カテゴリ:数量,< 章なし >,0,1
畳,じょう,畳,接尾辞,名詞性名詞助数辞,代表表記:畳/じょう 準内容語,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
座敷,ざしき,座敷,名詞,普通名詞,代表表記:座敷/ざしき カテゴリ:場所-施設,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
ほかほか,ほかほか,ほかほか,副詞,*,代表表記:ホカホカ/ほかほか スル接続可能,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
暖めて,あたためて,暖める,動詞,*,代表表記:暖める/あたためる 反義:動詞:冷やす/ひやす 自他動詞:自:暖まる/あたたまる 形容詞派生:暖かい/あたたかい,< 章なし >,0,1
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,< 章なし >,0,2
桐,きり,桐,名詞,普通名詞,代表表記:桐/きり カテゴリ:植物,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
火鉢,ひばち,火鉢,名詞,普通名詞,代表表記:火鉢/ひばち カテゴリ:人工物-その他,< 章なし >,0,2
