見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ちょうど,ちょうど,ちょうど,副詞,*,代表表記:丁度/ちょうど 数量修飾,< 章なし >,0,0
初,はつ,初,接頭辞,名詞接頭辞,代表表記:初/はつ 内容語,< 章なし >,0,0
七,なな,七,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,0
でした,でした,だ,判定詞,*,NIL,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
死んだ,しんだ,死ぬ,動詞,*,代表表記:死ぬ/しぬ ドメイン:家庭・暮らし 反義:動詞:産まれる/うまれる;動詞:生まれる/うまれる,< 章なし >,0,1
弟,おとうと,弟,名詞,普通名詞,代表表記:弟/おとうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
書斎,しょさい,書斎,名詞,普通名詞,代表表記:書斎/しょさい カテゴリ:場所-施設,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
入って,はいって,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
何かと,なにかと,何かと,副詞,*,代表表記:何彼と/なにかと,< 章なし >,0,1
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,< 章なし >,0,1
の,の,の,助詞,格助詞,NIL,< 章なし >,0,1
書き,かき,書く,動詞,*,代表表記:書く/かく 補文ト,< 章なし >,0,1
残した,のこした,残す,動詞,*,代表表記:残す/のこす 自他動詞:自:残る/のこる 付属動詞候補（基本）,< 章なし >,0,1
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,1
など,など,など,助詞,副助詞,NIL,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
取出して,とりだして,取出す,動詞,*,代表表記:取り出す/とりだす,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,< 章なし >,0,1
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,< 章なし >,0,1
物思い,ものおもい,物思い,名詞,普通名詞,代表表記:物思い/ものおもい カテゴリ:抽象物,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
ふけって,ふけって,ふける,動詞,*,代表表記:耽る/ふける,< 章なし >,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
まだ,まだ,まだ,副詞,*,代表表記:まだ/まだ,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
さして,さして,さして,副詞,*,代表表記:さして/さして,< 章なし >,0,2
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,< 章なし >,0,2
も,も,も,助詞,副助詞,NIL,< 章なし >,0,2
ふけて,ふけて,ふける,動詞,*,代表表記:吹ける/ふける 可能動詞:吹く/ふく 補文ト,< 章なし >,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,2
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,2
のに,のに,のだ,助動詞,*,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
家,いえ,家,名詞,普通名詞,代表表記:家/いえ ドメイン:家庭・暮らし カテゴリ:組織・団体;場所-施設 漢字読み:訓,< 章なし >,0,2
中,ちゅう,中,接尾辞,名詞性名詞接尾辞,代表表記:中/ちゅう 内容語,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
涙,なみだ,涙,名詞,サ変名詞,代表表記:涙/なみだ カテゴリ:自然物 漢字読み:訓,< 章なし >,0,2
に,に,に,助詞,格助詞,NIL,< 章なし >,0,2
しめって,しめって,しめる,動詞,*,代表表記:湿る/しめる 反義:動詞:乾く/かわく,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
しんと,しんと,しんと,副詞,*,代表表記:シンと/しんと スル接続可能,< 章なし >,0,2
鎮まり,しずまり,鎮まり,名詞,普通名詞,代表表記:鎮まり/しずまりv 自他動詞:他:鎮める/しずめる 連用形名詞化:鎮まる/しずまる,< 章なし >,0,2
返って,かえって,返る,動詞,*,代表表記:返る/かえる 自他動詞:他:返す/かえす 付属動詞候補（基本）,< 章なし >,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,2
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,2
。,。,。,特殊,句点,NIL,< 章なし >,0,2
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,3
へ,へ,へ,助詞,格助詞,NIL,< 章なし >,0,3
持って,もって,持つ,動詞,*,代表表記:持つ/もつ,< 章なし >,0,3
来て,きて,来る,接尾辞,動詞性接尾辞,代表表記:来る/くる,< 章なし >,0,3
、,、,、,特殊,読点,NIL,< 章なし >,0,3
何だか,なんだか,何だか,副詞,*,代表表記:何だか/なんだか,< 章なし >,0,3
新派,しんぱ,新派,名詞,普通名詞,代表表記:新派/しんぱ カテゴリ:組織・団体,< 章なし >,0,3
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,< 章なし >,0,3
芝居,しばい,芝居,名詞,サ変名詞,代表表記:芝居/しばい ドメイン:文化・芸術 カテゴリ:抽象物,< 章なし >,0,3
めいて,めいて,めく,接尾辞,動詞性接尾辞,代表表記:めく/めく,< 章なし >,0,3
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,3
