見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
佳子,よしこ,佳子,名詞,人名,人名:日本:名:117:0.00073,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
毎朝,まいあさ,毎朝,名詞,時相名詞,代表表記:毎朝/まいあさ カテゴリ:時間,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
夫,おっと,夫,名詞,普通名詞,代表表記:夫/おっと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
登庁,とうちょう,登庁,名詞,サ変名詞,代表表記:登庁/とうちょう ドメイン:政治 カテゴリ:抽象物 反義:名詞-サ変名詞:退庁/たいちょう,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
見送って,みおくって,見送る,動詞,*,代表表記:見送る/みおくる,< 章なし >,0,0
了,さとる,了,名詞,人名,人名:日本:名:1117:0.00015,< 章なし >,0,0
うと,うと,うつ,動詞,*,代表表記:打つ/うつ ドメイン:スポーツ,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
いつも,いつも,いつも,副詞,*,代表表記:何時も/いつも,< 章なし >,0,0
十,じゅう,十,名詞,数詞,カテゴリ:数量,< 章なし >,0,0
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
過ぎる,すぎる,過ぎる,動詞,*,代表表記:過ぎる/すぎる 付属動詞候補（基本）,< 章なし >,0,0
のだ,のだ,のだ,助動詞,*,NIL,< 章なし >,0,0
が,が,が,助詞,接続助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
やっと,やっと,やっと,副詞,*,代表表記:やっと/やっと,< 章なし >,0,0
自分,じぶん,自分,名詞,普通名詞,代表表記:自分/じぶん カテゴリ:人 修飾（デ格）,< 章なし >,0,0
の,の,の,助詞,格助詞,NIL,< 章なし >,0,0
からだ,からだ,からだ,名詞,普通名詞,代表表記:体/からだ カテゴリ:動物 漢字読み:訓,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
なって,なって,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
洋館,ようかん,洋館,名詞,普通名詞,代表表記:洋館/ようかん カテゴリ:場所-施設,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
方,かた,方,名詞,普通名詞,代表表記:方/かた カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,格助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
夫,おっと,夫,名詞,普通名詞,代表表記:夫/おっと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
と,と,と,助詞,格助詞,NIL,< 章なし >,0,0
共用,きょうよう,共用,名詞,サ変名詞,代表表記:共用/きょうよう カテゴリ:抽象物 反義:名詞-サ変名詞:専用/せんよう,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
書斎,しょさい,書斎,名詞,普通名詞,代表表記:書斎/しょさい カテゴリ:場所-施設,< 章なし >,0,0
へ,へ,へ,助詞,格助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
とじ,とじ,とじる,動詞,*,代表表記:綴じる/とじる,< 章なし >,0,0
籠る,こもる,籠る,動詞,*,代表表記:籠る/こもる,< 章なし >,0,0
の,の,の,名詞,形式名詞,NIL,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
例,れい,例,名詞,普通名詞,代表表記:例/れい カテゴリ:抽象物 漢字読み:音,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
なって,なって,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,1
で,で,で,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
彼女,かのじょ,彼女,名詞,普通名詞,代表表記:彼女/かのじょ カテゴリ:人,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
今,いま,今,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
Ｋ,Ｋ,Ｋ,特殊,記号,NIL,< 章なし >,0,1
雑誌,ざっし,雑誌,名詞,普通名詞,代表表記:雑誌/ざっし ドメイン:文化・芸術 カテゴリ:人工物-その他;抽象物,< 章なし >,0,1
の,の,の,助詞,格助詞,NIL,< 章なし >,0,1
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,1
夏,か,夏,名詞,時相名詞,代表表記:夏/か カテゴリ:時間 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
増大,ぞうだい,増大,名詞,サ変名詞,代表表記:増大/ぞうだい カテゴリ:抽象物 反義:名詞-サ変名詞:減少/げんしょう,< 章なし >,0,1
号,ごう,号,名詞,普通名詞,代表表記:号/ごう カテゴリ:抽象物 漢字読み:音,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
のせる,のせる,のせる,動詞,*,代表表記:乗せる/のせる 反義:動詞:降ろす/おろす 自他動詞:自:乗る/のる,< 章なし >,0,1
為,ため,為,名詞,副詞的名詞,代表表記:為/ため,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
長い,ながい,長い,形容詞,*,代表表記:長い/ながい 反義:形容詞:短い/みじかい,< 章なし >,0,1
創作,そうさく,創作,名詞,サ変名詞,代表表記:創作/そうさく カテゴリ:抽象物,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
とりかかって,とりかかって,とりかかる,動詞,*,代表表記:取り掛かる/とりかかる,< 章なし >,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,1
のだった,のだった,のだ,助動詞,*,NIL,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
美しい,うつくしい,美しい,形容詞,*,代表表記:美しい/うつくしい 反義:形容詞:醜い/みにくい,< 章なし >,0,2
