見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,まぼろしの豹,0,0
都,と,都,接尾辞,名詞性特殊接尾辞,代表表記:都/と カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,まぼろしの豹,0,0
内,ない,内,接尾辞,名詞性名詞接尾辞,代表表記:内/ない,まぼろしの豹,0,0
に,に,に,助詞,格助詞,NIL,まぼろしの豹,0,0
、,、,、,特殊,読点,NIL,まぼろしの豹,0,0
『,『,『,特殊,括弧始,NIL,まぼろしの豹,0,0
まぼろし,まぼろし,まぼろし,名詞,普通名詞,代表表記:幻/まぼろし カテゴリ:抽象物 漢字読み:訓,まぼろしの豹,0,0
の,の,の,助詞,接続助詞,NIL,まぼろしの豹,0,0
豹,ひょう,豹,名詞,普通名詞,代表表記:豹/ひょう カテゴリ:動物,まぼろしの豹,0,0
』,』,』,特殊,括弧終,NIL,まぼろしの豹,0,0
が,が,が,助詞,格助詞,NIL,まぼろしの豹,0,0
あらわれる,あらわれる,あらわれる,動詞,*,代表表記:現れる/あらわれる 反義:動詞:隠れる/かくれる 自他動詞:他:現す/あらわす,まぼろしの豹,0,0
と,と,と,助詞,格助詞,NIL,まぼろしの豹,0,0
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,まぼろしの豹,0,0
、,、,、,特殊,読点,NIL,まぼろしの豹,0,0
うわさ,うわさ,うわさ,名詞,サ変名詞,代表表記:噂/うわさ カテゴリ:抽象物,まぼろしの豹,0,0
が,が,が,助詞,格助詞,NIL,まぼろしの豹,0,0
ひろがって,ひろがって,ひろがる,動詞,*,代表表記:広がる/ひろがる 自他動詞:他:広げる/ひろげる 形容詞派生:広い/ひろい,まぼろしの豹,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,まぼろしの豹,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,まぼろしの豹,0,0
。,。,。,特殊,句点,NIL,まぼろしの豹,0,0
ある,ある,ある,連体詞,*,代表表記:或る/ある,まぼろしの豹,0,1
月,げつ,月,名詞,時相名詞,代表表記:月/げつ カテゴリ:時間 漢字読み:音,まぼろしの豹,0,1
