見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
五,ご,五,名詞,数詞,カテゴリ:数量,消えうせた大学生,0,0
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,消えうせた大学生,0,0
の,の,の,助詞,格助詞,NIL,消えうせた大学生,0,0
ある,ある,ある,連体詞,*,代表表記:或る/ある,消えうせた大学生,0,0
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,消えうせた大学生,0,0
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,0
こと,こと,こと,名詞,形式名詞,NIL,消えうせた大学生,0,0
、,、,、,特殊,読点,NIL,消えうせた大学生,0,0
麹,こうじ,麹,名詞,普通名詞,代表表記:麹/こうじ ドメイン:料理・食事 カテゴリ:人工物-その他,消えうせた大学生,0,0
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,消えうせた大学生,0,0
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,0
高級,こうきゅう,高級だ,形容詞,*,代表表記:高級だ/こうきゅうだ 反義:形容詞:低級だ/ていきゅうだ,消えうせた大学生,0,0
アパート,あぱーと,アパート,名詞,普通名詞,代表表記:アパート/あぱーと ドメイン:家庭・暮らし カテゴリ:場所-施設,消えうせた大学生,0,0
に,に,に,助詞,格助詞,NIL,消えうせた大学生,0,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,消えうせた大学生,0,0
明智,明智,明智,名詞,地名,自動獲得:Wikipedia 読み不明 Wikipedia多義 Wikipedia複合地名,消えうせた大学生,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,消えうせた大学生,0,0
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,0
事務,じむ,事務,名詞,普通名詞,代表表記:事務/じむ ドメイン:ビジネス カテゴリ:抽象物,消えうせた大学生,0,0
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,消えうせた大学生,0,0
へ,へ,へ,助詞,格助詞,NIL,消えうせた大学生,0,0
、,、,、,特殊,読点,NIL,消えうせた大学生,0,0
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,消えうせた大学生,0,0
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,消えうせた大学生,0,0
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,0
老,ろう,老,名詞,普通名詞,代表表記:老/ろう カテゴリ:抽象物 漢字読み:音,消えうせた大学生,0,0
紳士,しんし,紳士,名詞,普通名詞,代表表記:紳士/しんし カテゴリ:人,消えうせた大学生,0,0
が,が,が,助詞,格助詞,NIL,消えうせた大学生,0,0
、,、,、,特殊,読点,NIL,消えうせた大学生,0,0
たずねて,たずねて,たずねる,動詞,*,代表表記:尋ねる/たずねる,消えうせた大学生,0,0
き,き,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,消えうせた大学生,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,消えうせた大学生,0,0
。,。,。,特殊,句点,NIL,消えうせた大学生,0,0
ふさふさ,ふさふさ,ふさふさ,副詞,*,代表表記:フサフサ/ふさふさ スル接続可能,消えうせた大学生,0,1
と,と,と,助詞,格助詞,NIL,消えうせた大学生,0,1
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,消えうせた大学生,0,1
白い,しろい,白い,形容詞,*,代表表記:白い/しろい 名詞派生:白/しろ,消えうせた大学生,0,1
かみ,かみ,かみ,名詞,サ変名詞,代表表記:加味/かみ カテゴリ:抽象物,消えうせた大学生,0,1
を,を,を,助詞,格助詞,NIL,消えうせた大学生,0,1
、,、,、,特殊,読点,NIL,消えうせた大学生,0,1
オール,おーる,オール,名詞,普通名詞,代表表記:オール/おーる カテゴリ:人工物-その他,消えうせた大学生,0,1
バック,ばっく,バック,名詞,サ変名詞,代表表記:バック/ばっく カテゴリ:人工物-その他;場所-機能;抽象物 〜を〜に構成語,消えうせた大学生,0,1
に,に,に,助詞,格助詞,NIL,消えうせた大学生,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,消えうせた大学生,0,1
、,、,、,特殊,読点,NIL,消えうせた大学生,0,1
白い,しろい,白い,形容詞,*,代表表記:白い/しろい 名詞派生:白/しろ,消えうせた大学生,0,1
口,くち,口,名詞,普通名詞,代表表記:口/くち カテゴリ:動物-部位;抽象物;形・模様 漢字読み:訓,消えうせた大学生,0,1
ひげ,ひげ,ひげ,名詞,サ変名詞,代表表記:卑下/ひげ カテゴリ:抽象物,消えうせた大学生,0,1
を,を,を,助詞,格助詞,NIL,消えうせた大学生,0,1
はやした,はやした,はやす,動詞,*,代表表記:囃す/はやす,消えうせた大学生,0,1
、,、,、,特殊,読点,NIL,消えうせた大学生,0,1
やせ,やせ,やせ,名詞,普通名詞,代表表記:痩せ/やせv 反義:動詞:太る/ふとる;動詞:肥える/こえる 連用形名詞化:痩せる/やせる,消えうせた大学生,0,1
がたで,がたで,がただ,形容詞,*,代表表記:過多だ/かただ 濁音化D 反義:形容詞:過少だ/かしょうだ,消えうせた大学生,0,1
、,、,、,特殊,読点,NIL,消えうせた大学生,0,1
背,せ,背,名詞,普通名詞,代表表記:背/せ カテゴリ:動物-部位;場所-機能 漢字読み:訓 〜を〜に構成語,消えうせた大学生,0,1
の,の,の,助詞,格助詞,NIL,消えうせた大学生,0,1
たかい,たかい,たかい,形容詞,*,代表表記:高い/たかい 反義:形容詞:安い/やすい;形容詞:低い/ひくい,消えうせた大学生,0,1
、,、,、,特殊,読点,NIL,消えうせた大学生,0,1
りっぱな,りっぱな,りっぱだ,形容詞,*,代表表記:立派だ/りっぱだ,消えうせた大学生,0,1
老,ろう,老,名詞,普通名詞,代表表記:老/ろう カテゴリ:抽象物 漢字読み:音,消えうせた大学生,0,1
紳士,しんし,紳士,名詞,普通名詞,代表表記:紳士/しんし カテゴリ:人,消えうせた大学生,0,1
です,です,だ,判定詞,*,NIL,消えうせた大学生,0,1
。,。,。,特殊,句点,NIL,消えうせた大学生,0,1
この,この,この,指示詞,連体詞形態指示詞,NIL,消えうせた大学生,0,2
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,消えうせた大学生,0,2
は,は,は,助詞,副助詞,NIL,消えうせた大学生,0,2
松波,松波,松波,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,消えうせた大学生,0,2
文学,ぶんがく,文学,名詞,普通名詞,代表表記:文学/ぶんがく ドメイン:文化・芸術;教育・学習 カテゴリ:抽象物,消えうせた大学生,0,2
博士,はかせ,博士,名詞,普通名詞,代表表記:博士/はかせ ドメイン:科学・技術 カテゴリ:抽象物 人名末尾,消えうせた大学生,0,2
で,で,だ,判定詞,*,NIL,消えうせた大学生,0,2
、,、,、,特殊,読点,NIL,消えうせた大学生,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,消えうせた大学生,0,2
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,消えうせた大学生,0,2
金持ち,かねもち,金持ち,名詞,普通名詞,代表表記:金持ち/かねもち カテゴリ:人,消えうせた大学生,0,2
が,が,が,助詞,格助詞,NIL,消えうせた大学生,0,2
たてた,たてた,たてる,動詞,*,代表表記:建てる/たてる 可能動詞:建つ/たつ,消えうせた大学生,0,2
古代,こだい,古代,名詞,時相名詞,代表表記:古代/こだい カテゴリ:時間,消えうせた大学生,0,2
研究,けんきゅう,研究,名詞,サ変名詞,代表表記:研究/けんきゅう ドメイン:科学・技術 カテゴリ:抽象物,消えうせた大学生,0,2
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,消えうせた大学生,0,2
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,2
所長,しょちょう,所長,名詞,普通名詞,代表表記:所長/しょちょう ドメイン:ビジネス;政治 カテゴリ:人 人名末尾,消えうせた大学生,0,2
な,な,だ,判定詞,*,NIL,消えうせた大学生,0,2
のです,のです,のだ,助動詞,*,NIL,消えうせた大学生,0,2
が,が,が,助詞,接続助詞,NIL,消えうせた大学生,0,2
、,、,、,特殊,読点,NIL,消えうせた大学生,0,2
西洋,せいよう,西洋,名詞,普通名詞,代表表記:西洋/せいよう カテゴリ:場所-その他,消えうせた大学生,0,2
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,2
古代,こだい,古代,名詞,時相名詞,代表表記:古代/こだい カテゴリ:時間,消えうせた大学生,0,2
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,2
こと,こと,こと,名詞,形式名詞,NIL,消えうせた大学生,0,2
を,を,を,助詞,格助詞,NIL,消えうせた大学生,0,2
しらべて,しらべて,しらべる,動詞,*,代表表記:調べる/しらべる,消えうせた大学生,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,消えうせた大学生,0,2
、,、,、,特殊,読点,NIL,消えうせた大学生,0,2
有名な,ゆうめいな,有名だ,形容詞,*,代表表記:有名だ/ゆうめいだ 反義:名詞-普通名詞:無名/むめい,消えうせた大学生,0,2
学者,がくしゃ,学者,名詞,普通名詞,代表表記:学者/がくしゃ ドメイン:科学・技術 カテゴリ:人,消えうせた大学生,0,2
でした,でした,だ,判定詞,*,NIL,消えうせた大学生,0,2
。,。,。,特殊,句点,NIL,消えうせた大学生,0,2
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,消えうせた大学生,0,3
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,消えうせた大学生,0,3
は,は,は,助詞,副助詞,NIL,消えうせた大学生,0,3
、,、,、,特殊,読点,NIL,消えうせた大学生,0,3
ある,ある,ある,連体詞,*,代表表記:或る/ある,消えうせた大学生,0,3
会,かい,会,名詞,普通名詞,代表表記:会/かい カテゴリ:抽象物 漢字読み:音 組織名末尾,消えうせた大学生,0,3
で,で,で,助詞,格助詞,NIL,消えうせた大学生,0,3
松波,松波,松波,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,消えうせた大学生,0,3
博士,はかせ,博士,名詞,普通名詞,代表表記:博士/はかせ ドメイン:科学・技術 カテゴリ:抽象物 人名末尾,消えうせた大学生,0,3
と,と,と,助詞,接続助詞,NIL,消えうせた大学生,0,3
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,消えうせた大学生,0,3
こと,こと,こと,名詞,形式名詞,NIL,消えうせた大学生,0,3
が,が,が,助詞,格助詞,NIL,消えうせた大学生,0,3
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,消えうせた大学生,0,3
ので,ので,のだ,助動詞,*,NIL,消えうせた大学生,0,3
、,、,、,特殊,読点,NIL,消えうせた大学生,0,3
知りあい,しりあい,知りあい,名詞,普通名詞,代表表記:知り合い/しりあいv 連用形名詞化:知り合う/しりあう,消えうせた大学生,0,3
の,の,の,助詞,接続助詞,NIL,消えうせた大学生,0,3
あいだがら,あいだがら,あいだがら,名詞,普通名詞,代表表記:間柄/あいだがら カテゴリ:抽象物,消えうせた大学生,0,3
でした,でした,だ,判定詞,*,NIL,消えうせた大学生,0,3
が,が,が,助詞,接続助詞,NIL,消えうせた大学生,0,3
、,、,、,特殊,読点,NIL,消えうせた大学生,0,3
その,その,その,指示詞,連体詞形態指示詞,NIL,消えうせた大学生,0,3
有名な,ゆうめいな,有名だ,形容詞,*,代表表記:有名だ/ゆうめいだ 反義:名詞-普通名詞:無名/むめい,消えうせた大学生,0,3
老,ろう,老,名詞,普通名詞,代表表記:老/ろう カテゴリ:抽象物 漢字読み:音,消えうせた大学生,0,3
学者,がくしゃ,学者,名詞,普通名詞,代表表記:学者/がくしゃ ドメイン:科学・技術 カテゴリ:人,消えうせた大学生,0,3
が,が,が,助詞,格助詞,NIL,消えうせた大学生,0,3
、,、,、,特殊,読点,NIL,消えうせた大学生,0,3
とつぜん,とつぜん,とつぜん,副詞,*,代表表記:突然/とつぜん,消えうせた大学生,0,3
たずねて,たずねて,たずねる,動詞,*,代表表記:尋ねる/たずねる,消えうせた大学生,0,3
きた,きた,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,消えうせた大学生,0,3
のです,のです,のだ,助動詞,*,NIL,消えうせた大学生,0,3
。,。,。,特殊,句点,NIL,消えうせた大学生,0,3
とりつぎ,とりつぎ,とりつぎ,名詞,普通名詞,代表表記:取り次ぎ/とりつぎv 連用形名詞化:取り次ぐ/とりつぐ,消えうせた大学生,0,4
に,に,に,助詞,格助詞,NIL,消えうせた大学生,0,4
出た,でた,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,消えうせた大学生,0,4
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,消えうせた大学生,0,4
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,消えうせた大学生,0,4
は,は,は,助詞,副助詞,NIL,消えうせた大学生,0,4
、,、,、,特殊,読点,NIL,消えうせた大学生,0,4
松波,松波,松波,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,消えうせた大学生,0,4
博士,はかせ,博士,名詞,普通名詞,代表表記:博士/はかせ ドメイン:科学・技術 カテゴリ:抽象物 人名末尾,消えうせた大学生,0,4
と,と,と,助詞,格助詞,NIL,消えうせた大学生,0,4
聞いて,きいて,聞く,動詞,*,代表表記:聞く/きく 自他動詞:自:聞こえる/きこえる 補文ト,消えうせた大学生,0,4
、,、,、,特殊,読点,NIL,消えうせた大学生,0,4
ていねいに,ていねいに,ていねいだ,形容詞,*,代表表記:丁寧だ/ていねいだ,消えうせた大学生,0,4
、,、,、,特殊,読点,NIL,消えうせた大学生,0,4
応接,おうせつ,応接,名詞,サ変名詞,代表表記:応接/おうせつ カテゴリ:抽象物,消えうせた大学生,0,4
室,しつ,室,名詞,普通名詞,代表表記:室/しつ カテゴリ:場所-施設 漢字読み:音,消えうせた大学生,0,4
に,に,に,助詞,格助詞,NIL,消えうせた大学生,0,4
あんない,あんない,あんない,名詞,サ変名詞,代表表記:案内/あんない カテゴリ:抽象物,消えうせた大学生,0,4
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,消えうせた大学生,0,4
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,消えうせた大学生,0,4
。,。,。,特殊,句点,NIL,消えうせた大学生,0,4
「,「,「,特殊,括弧始,NIL,消えうせた大学生,0,5
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,消えうせた大学生,0,5
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,消えうせた大学生,0,5
、,、,、,特殊,読点,NIL,消えうせた大学生,0,5
わたし,わたし,わたし,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,消えうせた大学生,0,5
の,の,の,助詞,格助詞,NIL,消えうせた大学生,0,5
つとめて,つとめて,つとめる,動詞,*,代表表記:努める/つとめる,消えうせた大学生,0,5
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,消えうせた大学生,0,5
古代,こだい,古代,名詞,時相名詞,代表表記:古代/こだい カテゴリ:時間,消えうせた大学生,0,5
研究,けんきゅう,研究,名詞,サ変名詞,代表表記:研究/けんきゅう ドメイン:科学・技術 カテゴリ:抽象物,消えうせた大学生,0,5
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,消えうせた大学生,0,5
に,に,に,助詞,格助詞,NIL,消えうせた大学生,0,5
、,、,、,特殊,読点,NIL,消えうせた大学生,0,5
みょうな,みょうな,みょうだ,形容詞,*,代表表記:妙だ/みょうだ,消えうせた大学生,0,5
こと,こと,こと,名詞,形式名詞,NIL,消えうせた大学生,0,5
が,が,が,助詞,格助詞,NIL,消えうせた大学生,0,5
おこり,おこり,おこる,動詞,*,代表表記:怒る/おこる,消えうせた大学生,0,5
まして,まして,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,消えうせた大学生,0,5
ね,ね,ね,助詞,終助詞,NIL,消えうせた大学生,0,5
。,。,。,特殊,句点,NIL,消えうせた大学生,0,5
きょう,きょう,きょう,名詞,時相名詞,代表表記:今日/きょう カテゴリ:時間,消えうせた大学生,0,6
は,は,は,助詞,副助詞,NIL,消えうせた大学生,0,6
、,、,、,特殊,読点,NIL,消えうせた大学生,0,6
