見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
夢,ゆめ,夢,名詞,普通名詞,代表表記:夢/ゆめ ドメイン:家庭・暮らし カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,0
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
一時的,いちじてき,一時的だ,形容詞,*,代表表記:一時的だ/いちじてきだ,< 章なし >,0,0
狂気,きょうき,狂気,名詞,普通名詞,代表表記:狂気/きょうき カテゴリ:抽象物,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
幻,まぼろし,幻,名詞,普通名詞,代表表記:幻/まぼろし カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,0
で,で,だ,判定詞,*,NIL,< 章なし >,0,0
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,0
ならば,ならば,だろう,助動詞,*,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
あの,あの,あの,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,0
押絵,押絵,押絵,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:姫田忠義 読み不明,< 章なし >,0,0
と,と,と,助詞,格助詞,NIL,< 章なし >,0,0
旅,たび,旅,名詞,サ変名詞,代表表記:旅/たび ドメイン:レクリエーション カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,0
を,を,を,助詞,格助詞,NIL,< 章なし >,0,0
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,0
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,< 章なし >,0,0
こそ,こそ,こそ,助詞,副助詞,NIL,< 章なし >,0,0
狂人,狂人,狂人,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:きちがい,< 章なし >,0,0
であった,であった,だ,判定詞,*,NIL,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
相違,そうい,相違,名詞,サ変名詞,代表表記:相違/そうい カテゴリ:抽象物,< 章なし >,0,0
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
だが,だが,だが,接続詞,*,代表表記:だが/だが,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
夢,ゆめ,夢,名詞,普通名詞,代表表記:夢/ゆめ ドメイン:家庭・暮らし カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
時として,ときとして,時として,副詞,*,代表表記:時として/ときとして,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,< 章なし >,0,1
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,1
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,1
世界,せかい,世界,名詞,普通名詞,代表表記:世界/せかい カテゴリ:場所-その他,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
喰,喰,喰,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,< 章なし >,0,1
違った,ちがった,違う,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,< 章なし >,0,1
別の,べつの,別だ,形容詞,*,代表表記:別だ/べつだ,< 章なし >,0,1
世界,せかい,世界,名詞,普通名詞,代表表記:世界/せかい カテゴリ:場所-その他,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
チラリ,ちらり,チラリ,副詞,*,代表表記:チラリ/ちらり スル接続可能,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
覗か,のぞか,覗く,動詞,*,代表表記:覗く/のぞく,< 章なし >,0,1
