見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
「,「,「,特殊,括弧始,NIL,< 章なし >,0,0
勝った,かった,勝つ,動詞,*,代表表記:勝つ/かつ 反義:動詞:負ける/まける,< 章なし >,0,0
ぞ,ぞ,ぞ,助詞,終助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
勝った,かった,勝つ,動詞,*,代表表記:勝つ/かつ 反義:動詞:負ける/まける,< 章なし >,0,0
ぞ,ぞ,ぞ,助詞,終助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
勝った,かった,勝つ,動詞,*,代表表記:勝つ/かつ 反義:動詞:負ける/まける,< 章なし >,0,0
ぞ,ぞ,ぞ,助詞,終助詞,NIL,< 章なし >,0,0
……,……,……,特殊,記号,NIL,< 章なし >,0,0
」,」,」,特殊,括弧終,NIL,< 章なし >,0,0
北川,きたかわ,北川,名詞,人名,人名:日本:姓:132:0.00167,< 章なし >,0,0
氏,し,氏,接尾辞,名詞性名詞接尾辞,代表表記:氏/し,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
頭,あたま,頭,名詞,普通名詞,代表表記:頭/あたま カテゴリ:動物-部位 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
勝った,かった,勝つ,動詞,*,代表表記:勝つ/かつ 反義:動詞:負ける/まける,< 章なし >,0,0
と,と,と,助詞,格助詞,NIL,< 章なし >,0,0
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,0
意識,いしき,意識,名詞,サ変名詞,代表表記:意識/いしき カテゴリ:抽象物 補文ト,< 章なし >,0,0
だけ,だけ,だけ,助詞,副助詞,NIL,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
風車,かざぐるま,風車,名詞,普通名詞,代表表記:風車/かざぐるま ドメイン:レクリエーション カテゴリ:人工物-その他,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
様,よう,様,名詞,副詞的名詞,代表表記:様/よう,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
旋転,旋転,旋転,名詞,サ変名詞,自動獲得:Wiktionary 読み不明,< 章なし >,0,0
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
他,た,他,名詞,普通名詞,代表表記:他/た カテゴリ:抽象物 漢字読み:音 修飾（ニ格）,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
何も,なにも,何も,副詞,*,代表表記:何も/なにも,< 章なし >,0,1
思わ,おもわ,思う,動詞,*,代表表記:思う/おもう 補文ト,< 章なし >,0,1
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
今,いま,今,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,< 章なし >,0,2
を,を,を,助詞,格助詞,NIL,< 章なし >,0,2
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,< 章なし >,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,2
の,の,のだ,助動詞,*,NIL,< 章なし >,0,2
やら,やら,やら,助詞,接続助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,< 章なし >,0,2
へ,へ,へ,助詞,格助詞,NIL,< 章なし >,0,2
行こう,いこう,行く,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,< 章なし >,0,2
と,と,と,助詞,格助詞,NIL,< 章なし >,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,2
の,の,のだ,助動詞,*,NIL,< 章なし >,0,2
やら,やら,やら,助詞,接続助詞,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
まるで,まるで,まるで,副詞,*,代表表記:まるで/まるで,< 章なし >,0,2
知ら,しら,知る,動詞,*,代表表記:知る/しる 自他動詞:自:知れる/しれる 補文ト,< 章なし >,0,2
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,2
。,。,。,特殊,句点,NIL,< 章なし >,0,2
第,だい,第,接頭辞,名詞接頭辞,代表表記:第/だい,< 章なし >,0,3
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,3
、,、,、,特殊,読点,NIL,< 章なし >,0,3
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,< 章なし >,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,3
と,と,と,助詞,格助詞,NIL,< 章なし >,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,3
