見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
一,いち,一,名詞,数詞,カテゴリ:数量,0,0
。,。,。,特殊,句点,NIL,0,0
同じ,おなじ,同じだ,形容詞,*,代表表記:同じだ/おなじだ 反義:動詞:違う/ちがう,0,1
Ｍ,Ｍ,Ｍ,特殊,記号,NIL,0,1
県,けん,県,接尾辞,名詞性特殊接尾辞,代表表記:県/けん カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,1
に,に,に,助詞,格助詞,NIL,0,1
住んで,すんで,住む,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,0,1
でも,でも,でも,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
多く,おおく,多く,名詞,普通名詞,代表表記:多く/おおく カテゴリ:抽象物 形容詞派生:多い/おおい,0,1
は,は,は,助詞,副助詞,NIL,0,1
気づか,きづか,気づく,動詞,*,代表表記:気付く/きづく 補文ト,0,1
ないで,ないで,ぬ,助動詞,*,NIL,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
かも,かも,かも,助詞,接続助詞,NIL,0,1
知れ,しれ,知れる,動詞,*,代表表記:知れる/しれる 可能動詞:知る/しる 補文ト,0,1
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
ん,ん,ぬ,助動詞,*,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
Ｉ,Ｉ,Ｉ,特殊,記号,NIL,0,2
湾,わん,湾,名詞,普通名詞,代表表記:湾/わん カテゴリ:場所-自然 漢字読み:音 地名末尾,0,2
が,が,が,助詞,格助詞,NIL,0,2
太平洋,たいへいよう,太平洋,名詞,地名,代表表記:太平洋/たいへいよう 地名:海,0,2
へ,へ,へ,助詞,格助詞,NIL,0,2
出よう,でよう,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,0,2
と,と,と,助詞,格助詞,NIL,0,2
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,2
、,、,、,特殊,読点,NIL,0,2
Ｓ,Ｓ,Ｓ,特殊,記号,NIL,0,2
郡,ぐん,郡,接尾辞,名詞性特殊接尾辞,代表表記:郡/ぐん カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,2
の,の,の,助詞,接続助詞,NIL,0,2
南端,なんたん,南端,名詞,普通名詞,代表表記:南端/なんたん カテゴリ:場所-その他,0,2
に,に,に,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
外,がい,外,名詞,普通名詞,代表表記:外/がい カテゴリ:場所-機能 漢字読み:音,0,2
の,の,の,助詞,接続助詞,NIL,0,2
島々,しまじま,島々,名詞,普通名詞,代表表記:島々/しまじま カテゴリ:場所-自然,0,2
から,から,から,助詞,格助詞,NIL,0,2
飛び,とび,飛ぶ,動詞,*,代表表記:飛ぶ/とぶ 自他動詞:他:飛ばす/とばす,0,2
離れて,はなれて,離れる,動詞,*,代表表記:離れる/はなれる 反義:動詞:合う/あう 自他動詞:他:離す/はなす,0,2
、,、,、,特殊,読点,NIL,0,2
丁度,ちょうど,丁度,副詞,*,代表表記:丁度/ちょうど 数量修飾,0,2
緑色,みどりいろ,緑色,名詞,普通名詞,代表表記:緑色/みどりいろ カテゴリ:色,0,2
の,の,の,助詞,接続助詞,NIL,0,2
饅頭,まんじゅう,饅頭,名詞,普通名詞,代表表記:饅頭/まんじゅう ドメイン:料理・食事 カテゴリ:人工物-食べ物,0,2
を,を,を,助詞,格助詞,NIL,0,2
