見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
近頃,ちかごろ,近頃,名詞,時相名詞,代表表記:近頃/ちかごろ カテゴリ:時間,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
有頂天の,うちょうてんの,有頂天だ,形容詞,*,代表表記:有頂天だ/うちょうてんだ,一,0,0
山名,やまな,山名,名詞,人名,人名:日本:姓:1079:0.00019,一,0,0
宗三,宗三,宗三,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,0
であった,であった,だ,判定詞,*,NIL,一,0,0
。,。,。,特殊,句点,NIL,一,0,0
何とも,なんとも,何とも,副詞,*,代表表記:何とも/なんとも,一,0,1
云え,いえ,云える,動詞,*,代表表記:言える/いえる 可能動詞:言う/いう 補文ト,一,0,1
ぬ,ぬ,ぬ,助動詞,*,NIL,一,0,1
暖かい,あたたかい,暖かい,形容詞,*,代表表記:暖かい/あたたかい 反義:形容詞:涼しい/すずしい,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
柔,じゅう,柔,名詞,普通名詞,代表表記:柔/じゅう カテゴリ:抽象物 漢字読み:音,一,0,1
かい,かい,かい,助詞,終助詞,NIL,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
薔薇色,ばらいろ,薔薇色,名詞,普通名詞,代表表記:薔薇色/ばらいろ カテゴリ:色,一,0,1
の,の,の,助詞,接続助詞,NIL,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
そして,そして,そして,接続詞,*,代表表記:そして/そして,一,0,1
薫,かおり,薫,名詞,人名,人名:日本:名:29:0.00124,一,0,1
の,の,の,助詞,格助詞,NIL,一,0,1
いい,いい,いい,形容詞,*,代表表記:良い/よい 反義:形容詞:悪い/わるい,一,0,1
空気,くうき,空気,名詞,普通名詞,代表表記:空気/くうき カテゴリ:自然物,一,0,1
が,が,が,助詞,格助詞,NIL,一,0,1
、,、,、,特殊,読点,NIL,一,0,1
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,一,0,1
の,の,の,助詞,接続助詞,NIL,一,0,1
身辺,しんぺん,身辺,名詞,普通名詞,代表表記:身辺/しんぺん カテゴリ:抽象物,一,0,1
を,を,を,助詞,格助詞,NIL,一,0,1
包んで,くるんで,包む,動詞,*,代表表記:包む/くるむ 自他動詞:自:包まる/くるまる,一,0,1
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,1
。,。,。,特殊,句点,NIL,一,0,1
それ,それ,それ,指示詞,名詞形態指示詞,NIL,一,0,2
が,が,が,助詞,格助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,一,0,2
役所,やくしょ,役所,名詞,普通名詞,代表表記:役所/やくしょ ドメイン:政治 カテゴリ:組織・団体;場所-施設 組織名末尾,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
ボロ,ボロ,ボロ,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義,一,0,2
机,つくえ,机,名詞,普通名詞,代表表記:机/つくえ ドメイン:教育・学習;ビジネス カテゴリ:人工物-その他 漢字読み:訓,一,0,2
に,に,に,助詞,格助詞,NIL,一,0,2
向って,向って,向う,動詞,*,代表表記:向う/向う 自動獲得:テキスト,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
コツコツ,こつこつ,コツコツ,副詞,*,代表表記:コツコツ/こつこつ スル接続可能,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,2
仕事,しごと,仕事,名詞,サ変名詞,代表表記:仕事/しごと ドメイン:家庭・暮らし;ビジネス カテゴリ:抽象物,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,2
時,とき,時,名詞,副詞的名詞,代表表記:時/とき,一,0,2
に,に,に,助詞,格助詞,NIL,一,0,2
でも,でも,でも,助詞,副助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
さては,さては,さては,接続詞,*,代表表記:さては/さては,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
同じ,おなじ,同じだ,形容詞,*,代表表記:同じだ/おなじだ 反義:動詞:違う/ちがう,一,0,2
机,つくえ,机,名詞,普通名詞,代表表記:机/つくえ ドメイン:教育・学習;ビジネス カテゴリ:人工物-その他 漢字読み:訓,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,一,0,2
で,で,で,助詞,格助詞,NIL,一,0,2
アルミ,あるみ,アルミ,名詞,普通名詞,代表表記:アルミ/あるみ カテゴリ:自然物,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
弁当,べんとう,弁当,名詞,普通名詞,代表表記:弁当/べんとう ドメイン:料理・食事 カテゴリ:人工物-食べ物,一,0,2
箱,はこ,箱,名詞,普通名詞,代表表記:箱/はこ カテゴリ:人工物-その他 漢字読み:訓,一,0,2
から,から,から,助詞,格助詞,NIL,一,0,2
四角い,しかくい,四角い,形容詞,*,代表表記:四角い/しかくい,一,0,2
飯,めし,飯,名詞,普通名詞,代表表記:飯/めし ドメイン:料理・食事 カテゴリ:人工物-食べ物 漢字読み:訓,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
食って,くって,食う,動詞,*,代表表記:食う/くう ドメイン:料理・食事,一,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,2
時,とき,時,名詞,副詞的名詞,代表表記:時/とき,一,0,2
に,に,に,助詞,格助詞,NIL,一,0,2
でも,でも,でも,助詞,副助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
四,よん,四,名詞,数詞,カテゴリ:数量,一,0,2
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,一,0,2
が,が,が,助詞,格助詞,NIL,一,0,2
来る,来る,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,一,0,2
の,の,の,名詞,形式名詞,NIL,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
遅し,おそし,遅い,形容詞,*,代表表記:遅い/おそい 反義:形容詞:早い/はやい;形容詞:速い/はやい,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
役所,やくしょ,役所,名詞,普通名詞,代表表記:役所/やくしょ ドメイン:政治 カテゴリ:組織・団体;場所-施設 組織名末尾,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
門,もん,門,名詞,普通名詞,代表表記:門/もん カテゴリ:場所-施設 漢字読み:音,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
飛び出して,とびだして,飛び出す,動詞,*,代表表記:飛び出す/とびだす,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
柳,やなぎ,柳,名詞,普通名詞,代表表記:柳/やなぎ カテゴリ:植物 漢字読み:訓,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
街路,がいろ,街路,名詞,普通名詞,代表表記:街路/がいろ ドメイン:交通 カテゴリ:場所-その他,一,0,2
樹,き,樹,名詞,普通名詞,代表表記:木/き カテゴリ:植物 漢字読み:訓,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
下,した,下,名詞,普通名詞,代表表記:下/した カテゴリ:場所-機能 漢字読み:訓,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
木枯,木枯,木枯,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
様,よう,様,名詞,副詞的名詞,代表表記:様/よう,一,0,2
に,に,に,助詞,格助詞,NIL,一,0,2
テク,てく,テク,名詞,普通名詞,代表表記:テク/てく 自動獲得:テキスト 副詞識別,一,0,2
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,一,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,2
時,とき,時,名詞,副詞的名詞,代表表記:時/とき,一,0,2
に,に,に,助詞,格助詞,NIL,一,0,2
でも,でも,でも,助詞,副助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
いつも,いつも,いつも,副詞,*,代表表記:何時も/いつも,一,0,2
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
身辺,しんぺん,身辺,名詞,普通名詞,代表表記:身辺/しんぺん カテゴリ:抽象物,一,0,2
に,に,に,助詞,格助詞,NIL,一,0,2
フワフワ,ふわふわ,フワフワ,副詞,*,代表表記:フワフワ/ふわふわ スル接続可能,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,2
漂って,ただよって,漂う,動詞,*,代表表記:漂う/ただよう,一,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,2
のであった,のであった,のだ,助動詞,*,NIL,一,0,2
。,。,。,特殊,句点,NIL,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,一,0,3
の,の,の,名詞,形式名詞,NIL,一,0,3
は,は,は,助詞,副助詞,NIL,一,0,3
、,、,、,特殊,読点,NIL,一,0,3
山名,やまな,山名,名詞,人名,人名:日本:姓:1079:0.00019,一,0,3
宗三,宗三,宗三,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,3
、,、,、,特殊,読点,NIL,一,0,3
この,この,この,指示詞,連体詞形態指示詞,NIL,一,0,3
一,いち,一,名詞,数詞,カテゴリ:数量,一,0,3
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,一,0,3
ばかり,ばかり,ばかり,助詞,副助詞,NIL,一,0,3
前,まえ,前,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,一,0,3
に,に,に,助詞,格助詞,NIL,一,0,3
新,しん,新,接頭辞,名詞接頭辞,代表表記:新/しん 内容語 換言:+N:Nが新しい,一,0,3
妻,つま,妻,名詞,普通名詞,代表表記:妻/つま ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,一,0,3
を,を,を,助詞,格助詞,NIL,一,0,3
迎えた,むかえた,迎える,動詞,*,代表表記:迎える/むかえる 反義:動詞:送る/おくる,一,0,3
ので,ので,のだ,助動詞,*,NIL,一,0,3
、,、,、,特殊,読点,NIL,一,0,3
しかも,しかも,しかも,接続詞,*,代表表記:しかも/しかも,一,0,3
、,、,、,特殊,読点,NIL,一,0,3
それ,それ,それ,指示詞,名詞形態指示詞,NIL,一,0,3
が,が,が,助詞,格助詞,NIL,一,0,3
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,一,0,3
の,の,の,助詞,接続助詞,NIL,一,0,3
恋,こい,恋,名詞,普通名詞,代表表記:恋/こい ドメイン:家庭・暮らし カテゴリ:抽象物 漢字読み:訓,一,0,3
女房,にょうぼう,女房,名詞,普通名詞,代表表記:女房/にょうぼう ドメイン:家庭・暮らし カテゴリ:人,一,0,3
であった,であった,だ,判定詞,*,NIL,一,0,3
ので,ので,のだ,助動詞,*,NIL,一,0,3
。,。,。,特殊,句点,NIL,一,0,3
さて,さて,さて,接続詞,*,代表表記:さて/さて,一,0,4
ある,ある,ある,連体詞,*,代表表記:或る/ある,一,0,4
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,一,0,4
の,の,の,助詞,接続助詞,NIL,一,0,4
こと,こと,こと,名詞,形式名詞,NIL,一,0,4
、,、,、,特殊,読点,NIL,一,0,4
例の,れいの,例の,連体詞,*,代表表記:例の/れいの,一,0,4
四,よん,四,名詞,数詞,カテゴリ:数量,一,0,4
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,一,0,4
を,を,を,助詞,格助詞,NIL,一,0,4
合図,あいず,合図,名詞,サ変名詞,代表表記:合図/あいず カテゴリ:抽象物 補文ト,一,0,4
に,に,に,助詞,格助詞,NIL,一,0,4
、,、,、,特殊,読点,NIL,一,0,4
まるで,まるで,まるで,副詞,*,代表表記:まるで/まるで,一,0,4
授業,じゅぎょう,授業,名詞,サ変名詞,代表表記:授業/じゅぎょう ドメイン:教育・学習 カテゴリ:抽象物,一,0,4
の,の,の,助詞,格助詞,NIL,一,0,4
済んだ,すんだ,済む,動詞,*,代表表記:済む/すむ 自他動詞:他:済ませる/すませる;他:済ます/すます,一,0,4
小学生,しょうがくせい,小学生,名詞,普通名詞,代表表記:小学生/しょうがくせい ドメイン:教育・学習 カテゴリ:人,一,0,4
の,の,の,助詞,接続助詞,NIL,一,0,4
様,よう,様,名詞,副詞的名詞,代表表記:様/よう,一,0,4
に,に,に,助詞,格助詞,NIL,一,0,4
帰り,かえり,帰る,動詞,*,代表表記:帰る/かえる 反義:動詞:行く/いく;動詞:来る/くる 自他動詞:他:帰す/かえす,一,0,4
急ぎ,いそぎ,急ぎ,名詞,普通名詞,代表表記:急ぎ/いそぎv 連用形名詞化:急ぐ/いそぐ,一,0,4
を,を,を,助詞,格助詞,NIL,一,0,4
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一,0,4
、,、,、,特殊,読点,NIL,一,0,4
課長,かちょう,課長,名詞,普通名詞,代表表記:課長/かちょう ドメイン:ビジネス カテゴリ:人 人名末尾,一,0,4
の,の,の,助詞,接続助詞,NIL,一,0,4
村山,むらやま,村山,名詞,人名,人名:日本:姓:377:0.00075,一,0,4
が,が,が,助詞,格助詞,NIL,一,0,4
、,、,、,特殊,読点,NIL,一,0,4
まだ,まだ,まだ,副詞,*,代表表記:まだ/まだ,一,0,4
机,つくえ,机,名詞,普通名詞,代表表記:机/つくえ ドメイン:教育・学習;ビジネス カテゴリ:人工物-その他 漢字読み:訓,一,0,4
の,の,の,助詞,接続助詞,NIL,一,0,4
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,一,0,4
を,を,を,助詞,格助詞,NIL,一,0,4
ゴテゴテ,ごてごて,ゴテゴテ,副詞,*,代表表記:ゴテゴテ/ごてごて スル接続可能,一,0,4
取,とり,取,名詞,普通名詞,代表表記:取り/とりv 自他動詞:自:取れる/とれる 連用形名詞化:取る/とる 付属動詞候補（基本） 送り仮名引っ込み,一,0,4
片づけて,かたづけて,片づける,動詞,*,代表表記:片付ける/かたづける 自他動詞:自:片付く/かたづく,一,0,4
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,4
の,の,の,名詞,形式名詞,NIL,一,0,4
を,を,を,助詞,格助詞,NIL,一,0,4
尻目,しりめ,尻目,名詞,普通名詞,代表表記:尻目/しりめ カテゴリ:抽象物,一,0,4
に,に,に,助詞,格助詞,NIL,一,0,4
かけて,かけて,かける,動詞,*,代表表記:掛ける/かける 自他動詞:自:掛かる/かかる 補文ト 付属動詞候補（基本）,一,0,4
、,、,、,特殊,読点,NIL,一,0,4
役所,やくしょ,役所,名詞,普通名詞,代表表記:役所/やくしょ ドメイン:政治 カテゴリ:組織・団体;場所-施設 組織名末尾,一,0,4
を,を,を,助詞,格助詞,NIL,一,0,4
駈け,駈け,駈ける,動詞,*,代表表記:駈ける/駈ける 自動獲得:テキスト,一,0,4
出す,だす,出す,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,一,0,4
と,と,と,助詞,格助詞,NIL,一,0,4
、,、,、,特殊,読点,NIL,一,0,4
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,一,0,4
は,は,は,助詞,副助詞,NIL,一,0,4
真一文字,まいちもんじ,真一文字,名詞,普通名詞,代表表記:真一文字/まいちもんじ カテゴリ:抽象物,一,0,4
に,に,に,助詞,格助詞,NIL,一,0,4
自宅,じたく,自宅,名詞,普通名詞,代表表記:自宅/じたく ドメイン:家庭・暮らし カテゴリ:場所-施設,一,0,4
へ,へ,へ,助詞,格助詞,NIL,一,0,4
と,と,と,助詞,格助詞,NIL,一,0,4
急ぐ,いそぐ,急ぐ,動詞,*,代表表記:急ぐ/いそぐ,一,0,4
のであった,のであった,のだ,助動詞,*,NIL,一,0,4
。,。,。,特殊,句点,NIL,一,0,4
赤い,あかい,赤い,形容詞,*,代表表記:赤い/あかい 名詞派生:赤/あか,一,0,5
手絡,てがら,手絡,名詞,普通名詞,自動獲得:Wikipedia Wikipedia上位語:布/ぬの,一,0,5
の,の,の,助詞,接続助詞,NIL,一,0,5
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,一,0,5
花,か,花,名詞,普通名詞,代表表記:花/か カテゴリ:植物-部位 漢字読み:音,一,0,5
は,は,は,助詞,副助詞,NIL,一,0,5
、,、,、,特殊,読点,NIL,一,0,5
例の,れいの,例の,連体詞,*,代表表記:例の/れいの,一,0,5
茶の間,ちゃのま,茶の間,名詞,普通名詞,代表表記:茶の間/ちゃのま ドメイン:家庭・暮らし カテゴリ:場所-施設,一,0,5
の,の,の,助詞,接続助詞,NIL,一,0,5
長火鉢,ながひばち,長火鉢,名詞,普通名詞,代表表記:長火鉢/ながひばち カテゴリ:人工物-その他,一,0,5
に,に,に,助詞,格助詞,NIL,一,0,5
凭れて,もたれて,凭れる,動詞,*,代表表記:凭れる/もたれる,一,0,5
、,、,、,特殊,読点,NIL,一,0,5
チャン,チャン,チャン,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia多義,一,0,5
と,と,と,助詞,格助詞,NIL,一,0,5
用意,ようい,用意,名詞,サ変名詞,代表表記:用意/ようい カテゴリ:抽象物,一,0,5
の,の,の,助詞,格助詞,NIL,一,0,5
出来た,できた,出来る,動詞,*,代表表記:出来る/できる,一,0,5
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,一,0,5
膳,ぜん,膳,名詞,普通名詞,代表表記:膳/ぜん ドメイン:料理・食事 カテゴリ:人工物-その他,一,0,5
の,の,の,助詞,接続助詞,NIL,一,0,5
前,まえ,前,名詞,副詞的名詞,代表表記:前/まえ,一,0,5
に,に,に,助詞,格助詞,NIL,一,0,5
、,、,、,特殊,読点,NIL,一,0,5
クツクツ,クツクツ,クツクツ,副詞,*,自動認識 未知語:擬音語擬態語 する連続可能,一,0,5
笑い,わらい,笑う,動詞,*,代表表記:笑う/わらう 反義:動詞:泣く/なく,一,0,5
ながら,ながら,ながら,助詞,接続助詞,NIL,一,0,5
（,（,（,特殊,括弧始,NIL,一,0,5
何て,なんて,何て,副詞,*,代表表記:何て/なんて,一,0,5
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,一,0,5
花,か,花,名詞,普通名詞,代表表記:花/か カテゴリ:植物-部位 漢字読み:音,一,0,5
は,は,は,助詞,副助詞,NIL,一,0,5
よく,よく,よく,副詞,*,代表表記:良く/よく,一,0,5
笑う,わらう,笑う,動詞,*,代表表記:笑う/わらう 反義:動詞:泣く/なく,一,0,5
女,おんな,女,名詞,普通名詞,代表表記:女/おんな カテゴリ:人 漢字読み:訓,一,0,5
だ,だ,だ,判定詞,*,NIL,一,0,5
）,）,）,特殊,括弧終,NIL,一,0,5
ポッツリ,ポッツリ,ポッツリ,副詞,*,代表表記:ポッツリ/ぽっつり スル接続可能 自動認識,一,0,5
と,と,と,助詞,格助詞,NIL,一,0,5
坐って,すわって,坐る,動詞,*,代表表記:座る/すわる 反義:動詞:立つ/たつ,一,0,5
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,5
こと,こと,こと,名詞,形式名詞,NIL,一,0,5
であろう,であろう,だ,判定詞,*,NIL,一,0,5
