見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
蕗屋,蕗屋,蕗屋,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:江戸川乱歩の美女シリーズ 読み不明,一,0,0
清一郎,せいいちろう,清一郎,名詞,人名,人名:日本:名:1686:0.00011,一,0,0
が,が,が,助詞,格助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
何故,なぜ,何故,副詞,*,代表表記:何故/なぜ,一,0,0
これ,これ,これ,指示詞,名詞形態指示詞,NIL,一,0,0
から,から,から,助詞,格助詞,NIL,一,0,0
記す,しるす,記す,動詞,*,代表表記:記す/しるす,一,0,0
様な,ような,様だ,助動詞,*,NIL,一,0,0
恐ろしい,おそろしい,恐ろしい,形容詞,*,代表表記:恐ろしい/おそろしい,一,0,0
悪事,あくじ,悪事,名詞,普通名詞,代表表記:悪事/あくじ カテゴリ:抽象物,一,0,0
を,を,を,助詞,格助詞,NIL,一,0,0
思,思,思,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,0
立った,たった,立つ,動詞,*,代表表記:立つ/たつ 反義:動詞:座る/すわる 自他動詞:他:立てる/たてる 付属動詞候補（基本）,一,0,0
か,か,か,助詞,接続助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,一,0,0
動機,どうき,動機,名詞,普通名詞,代表表記:動機/どうき カテゴリ:抽象物,一,0,0
に,に,に,助詞,格助詞,NIL,一,0,0
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
詳しい,くわしい,詳しい,形容詞,*,代表表記:詳しい/くわしい 反義:形容詞:疎い/うとい,一,0,0
こと,こと,こと,名詞,形式名詞,NIL,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
分ら,分ら,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,一,0,0
ぬ,ぬ,ぬ,助動詞,*,NIL,一,0,0
。,。,。,特殊,句点,NIL,一,0,0
又,また,又,副詞,*,代表表記:又/また,一,0,1
仮令,仮令,仮令,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:大乱走ダッシュｏｒ奪取！！ 読み不明,一,0,1
分った,分った,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,一,0,1
と,と,と,助詞,格助詞,NIL,一,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一,0,1
も,も,も,助詞,副助詞,NIL,一,0,1
この,この,この,指示詞,連体詞形態指示詞,NIL,一,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,一,0,1
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,一,0,1
に,に,に,助詞,格助詞,NIL,一,0,1
は,は,は,助詞,副助詞,NIL,一,0,1
大して,たいして,大して,副詞,*,代表表記:大して/たいして,一,0,1
関係,かんけい,関係,名詞,サ変名詞,代表表記:関係/かんけい カテゴリ:抽象物,一,0,1
が,が,が,助詞,格助詞,NIL,一,0,1
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,一,0,1
のだ,のだ,のだ,助動詞,*,NIL,一,0,1
。,。,。,特殊,句点,NIL,一,0,1
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,一,0,2
が,が,が,助詞,格助詞,NIL,一,0,2
なかば,なかば,なかば,副詞,*,代表表記:半ば/なかば,一,0,2
苦学,くがく,苦学,名詞,サ変名詞,代表表記:苦学/くがく ドメイン:教育・学習 カテゴリ:抽象物,一,0,2
見,み,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,一,0,2
たい,たい,たい,接尾辞,形容詞性述語接尾辞,代表表記:たい/たい,一,0,2
な,な,な,助詞,終助詞,NIL,一,0,2
こと,こと,こと,名詞,形式名詞,NIL,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,一,0,2
大学,だいがく,大学,名詞,普通名詞,代表表記:大学/だいがく ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,一,0,2
に,に,に,助詞,格助詞,NIL,一,0,2
通って,かよって,通う,動詞,*,代表表記:通う/かよう,一,0,2
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,一,0,2
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,一,0,2
を,を,を,助詞,格助詞,NIL,一,0,2
見る,みる,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,2
、,、,、,特殊,読点,NIL,一,0,2
学資,がくし,学資,名詞,普通名詞,代表表記:学資/がくし ドメイン:教育・学習 カテゴリ:人工物-金銭,一,0,2
の,の,の,助詞,接続助詞,NIL,一,0,2
必要に,ひつように,必要だ,形容詞,*,代表表記:必要だ/ひつようだ 反義:形容詞:不要だ/ふようだ,一,0,2
迫ら,せまら,迫る,動詞,*,代表表記:迫る/せまる,一,0,2
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,一,0,2
の,の,のだ,助動詞,*,NIL,一,0,2
か,か,か,助詞,接続助詞,NIL,一,0,2
と,と,と,助詞,格助詞,NIL,一,0,2
も,も,も,助詞,副助詞,NIL,一,0,2
考え,かんがえ,考える,動詞,*,代表表記:考える/かんがえる 補文ト,一,0,2
