見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
黒い,くろい,黒い,形容詞,*,代表表記:黒い/くろい 名詞派生:黒/くろ,0,0
魔物,まもの,魔物,名詞,普通名詞,代表表記:魔物/まもの カテゴリ:人;抽象物,0,0
。,。,。,特殊,句点,NIL,0,0
そいつ,そいつ,そいつ,名詞,普通名詞,自動獲得:テキスト 意味分類:人:1.000,0,1
は,は,は,助詞,副助詞,NIL,0,1
全身,ぜんしん,全身,名詞,普通名詞,代表表記:全身/ぜんしん カテゴリ:動物-部位,0,1
、,、,、,特殊,読点,NIL,0,1
墨,すみ,墨,名詞,普通名詞,代表表記:墨/すみ ドメイン:文化・芸術 カテゴリ:人工物-その他 漢字読み:訓,0,1
を,を,を,助詞,格助詞,NIL,0,1
塗った,ぬった,塗る,動詞,*,代表表記:塗る/ぬる,0,1
ような,ような,ようだ,助動詞,*,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
おそろしく,おそろしく,おそろしい,形容詞,*,代表表記:恐ろしい/おそろしい,0,1
まっ,まっ,まっ,接頭辞,名詞接頭辞,代表表記:真っ/まっ 内容語,0,1
黒,くろ,黒,名詞,普通名詞,代表表記:黒/くろ カテゴリ:色 漢字読み:訓,0,1
な,な,だ,判定詞,*,NIL,0,1
やつ,やつ,やつ,名詞,普通名詞,代表表記:奴/やつ カテゴリ:人,0,1
だ,だ,だ,判定詞,*,NIL,0,1
と,と,と,助詞,格助詞,NIL,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,1
こと,こと,こと,名詞,形式名詞,NIL,0,1
でした,でした,だ,判定詞,*,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
「,「,「,特殊,括弧始,NIL,0,2
黒い,くろい,黒い,形容詞,*,代表表記:黒い/くろい 名詞派生:黒/くろ,0,2
魔物,まもの,魔物,名詞,普通名詞,代表表記:魔物/まもの カテゴリ:人;抽象物,0,2
」,」,」,特殊,括弧終,NIL,0,2
の,の,の,助詞,接続助詞,NIL,0,2
うわさ,うわさ,うわさ,名詞,サ変名詞,代表表記:噂/うわさ カテゴリ:抽象物,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,0,2
、,、,、,特殊,読点,NIL,0,2
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,2
中,ちゅう,中,接尾辞,名詞性名詞接尾辞,代表表記:中/ちゅう 内容語,0,2
に,に,に,助詞,格助詞,NIL,0,2
ひろがって,ひろがって,ひろがる,動詞,*,代表表記:広がる/ひろがる 自他動詞:他:広げる/ひろげる 形容詞派生:広い/ひろい,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,2
けれど,けれど,けれど,助詞,接続助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ふしぎに,ふしぎに,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,2
も,も,も,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
はっきり,はっきり,はっきり,副詞,*,代表表記:ハッキリ/はっきり スル接続可能 修飾（ト格）,0,2
、,、,、,特殊,読点,NIL,0,2
そいつ,そいつ,そいつ,名詞,普通名詞,自動獲得:テキスト 意味分類:人:1.000,0,2
の,の,の,助詞,接続助詞,NIL,0,2
正体,しょうたい,正体,名詞,普通名詞,代表表記:正体/しょうたい カテゴリ:抽象物,0,2
を,を,を,助詞,格助詞,NIL,0,2
