見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
○○,○○,○○,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,0
造船,ぞうせん,造船,名詞,サ変名詞,代表表記:造船/ぞうせん ドメイン:科学・技術 カテゴリ:抽象物,< 章なし >,0,0
株式,かぶしき,株式,名詞,普通名詞,代表表記:株式/かぶしき ドメイン:ビジネス カテゴリ:抽象物,< 章なし >,0,0
会社,かいしゃ,会社,名詞,普通名詞,代表表記:会社/かいしゃ ドメイン:ビジネス カテゴリ:組織・団体;場所-施設,< 章なし >,0,0
会計,かいけい,会計,名詞,サ変名詞,代表表記:会計/かいけい ドメイン:ビジネス カテゴリ:抽象物,< 章なし >,0,0
係,かかり,係,名詞,普通名詞,代表表記:係/かかり カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
Ｔ,Ｔ,Ｔ,特殊,記号,NIL,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
今日,きょう,今日,名詞,時相名詞,代表表記:今日/きょう カテゴリ:時間,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
どうした,どうした,どうした,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,0
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,0
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
いつ,いつ,いつ,名詞,時相名詞,代表表記:いつ/いつ カテゴリ:時間,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,< 章なし >,0,0
早く,はやく,早い,形容詞,*,代表表記:早い/はやい 反義:形容詞:遅い/おそい,< 章なし >,0,0
から,から,から,助詞,格助詞,NIL,< 章なし >,0,0
事務,じむ,事務,名詞,普通名詞,代表表記:事務/じむ ドメイン:ビジネス カテゴリ:抽象物,< 章なし >,0,0
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,< 章なし >,0,0
へ,へ,へ,助詞,格助詞,NIL,< 章なし >,0,0
やって,やって,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,< 章なし >,0,0
来,き,来る,接尾辞,動詞性接尾辞,代表表記:来る/くる,< 章なし >,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
そして,そして,そして,接続詞,*,代表表記:そして/そして,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
会計,かいけい,会計,名詞,サ変名詞,代表表記:会計/かいけい ドメイン:ビジネス カテゴリ:抽象物,< 章なし >,0,1
部,ぶ,部,名詞,普通名詞,代表表記:部/ぶ カテゴリ:組織・団体;数量 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
事務,じむ,事務,名詞,普通名詞,代表表記:事務/じむ ドメイン:ビジネス カテゴリ:抽象物,< 章なし >,0,1
室,しつ,室,名詞,普通名詞,代表表記:室/しつ カテゴリ:場所-施設 漢字読み:音,< 章なし >,0,1
へ,へ,へ,助詞,格助詞,NIL,< 章なし >,0,1
入る,はいる,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
外とう,がいとう,外とう,名詞,普通名詞,代表表記:外套/がいとう ドメイン:家庭・暮らし カテゴリ:人工物-衣類,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
帽子,ぼうし,帽子,名詞,普通名詞,代表表記:帽子/ぼうし ドメイン:家庭・暮らし カテゴリ:人工物-衣類,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,1
たえ,たえ,たえ,名詞,普通名詞,代表表記:堪え/たえv 連用形名詞化:堪える/たえる,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
壁,かべ,壁,名詞,普通名詞,代表表記:壁/かべ カテゴリ:場所-施設部位 漢字読み:訓,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
かけ,かけ,かける,動詞,*,代表表記:掛ける/かける 自他動詞:自:掛かる/かかる 補文ト 付属動詞候補（基本）,< 章なし >,0,1
ながら,ながら,ながら,助詞,接続助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
如何にも,いかにも,如何にも,副詞,*,代表表記:如何にも/いかにも,< 章なし >,0,1
落ちつか,おちつか,落ちつく,動詞,*,代表表記:落ち着く/おちつく 自他動詞:他:落ち着ける/おちつける,< 章なし >,0,1
ぬ,ぬ,ぬ,助動詞,*,NIL,< 章なし >,0,1
様子,ようす,様子,名詞,普通名詞,代表表記:様子/ようす カテゴリ:抽象物,< 章なし >,0,1
で,で,で,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
キョロキョロ,きょろきょろ,キョロキョロ,名詞,普通名詞,代表表記:キョロキョロ/きょろきょろ 自動獲得:テキスト 副詞識別,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
室,しつ,室,名詞,普通名詞,代表表記:室/しつ カテゴリ:場所-施設 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
見まわ,みまわ,見まう,動詞,*,代表表記:見舞う/みまう ドメイン:家庭・暮らし;健康・医学,< 章なし >,0,1
す,す,す,接尾辞,動詞性接尾辞,代表表記:す/す,< 章なし >,0,1
のでした,のでした,のだ,助動詞,*,NIL,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
出勤,しゅっきん,出勤,名詞,サ変名詞,代表表記:出勤/しゅっきん ドメイン:ビジネス カテゴリ:抽象物 反義:名詞-サ変名詞:欠勤/けっきん,< 章なし >,0,2
時間,じかん,時間,名詞,時相名詞,代表表記:時間/じかん カテゴリ:時間,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
九,きゅう,九,名詞,数詞,カテゴリ:数量,< 章なし >,0,2
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,< 章なし >,0,2
に,に,に,助詞,格助詞,NIL,< 章なし >,0,2
大分,おおいた,大分,名詞,地名,代表表記:大分/おおいた 地名:日本:県,< 章なし >,0,2
間,かん,間,接尾辞,名詞性名詞接尾辞,代表表記:間/かん,< 章なし >,0,2
が,が,が,助詞,格助詞,NIL,< 章なし >,0,2
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,2
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,2
ので,ので,のだ,助動詞,*,NIL,< 章なし >,0,2
、,、,、,特殊,読点,NIL,< 章なし >,0,2
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,2
に,に,に,助詞,格助詞,NIL,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
まだ,まだ,まだ,副詞,*,代表表記:まだ/まだ,< 章なし >,0,2
たれ,たれ,たれ,名詞,普通名詞,代表表記:垂れ/たれv 自他動詞:他:垂らす/たらす 連用形名詞化:垂れる/たれる,< 章なし >,0,2
も,も,も,助詞,副助詞,NIL,< 章なし >,0,2
来て,来て,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,< 章なし >,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,2
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,2
ん,ん,ぬ,助動詞,*,NIL,< 章なし >,0,2
。,。,。,特殊,句点,NIL,< 章なし >,0,2
沢山,たくさん,沢山,副詞,*,代表表記:沢山/たくさん,< 章なし >,0,3
並んだ,ならんだ,並ぶ,動詞,*,代表表記:並ぶ/ならぶ 自他動詞:他:並べる/ならべる 付属動詞候補（基本）,< 章なし >,0,3
安物,やすもの,安物,名詞,普通名詞,代表表記:安物/やすもの カテゴリ:人工物-その他,< 章なし >,0,3
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,3
デスク,ですく,デスク,名詞,普通名詞,代表表記:デスク/ですく カテゴリ:人工物-その他,< 章なし >,0,3
に,に,に,助詞,格助詞,NIL,< 章なし >,0,3
白く,しろく,白い,形容詞,*,代表表記:白い/しろい 名詞派生:白/しろ,< 章なし >,0,3
ほこり,ほこり,ほこり,名詞,普通名詞,代表表記:埃/ほこり カテゴリ:自然物,< 章なし >,0,3
