見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
あやしい,あやしい,あやしい,形容詞,*,代表表記:妖しい/あやしい,0,0
人造,じんぞう,人造,名詞,普通名詞,代表表記:人造/じんぞう カテゴリ:抽象物,0,0
人間,にんげん,人間,名詞,普通名詞,代表表記:人間/にんげん カテゴリ:人,0,0
。,。,。,特殊,句点,NIL,0,0
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,1
夕方,ゆうがた,夕方,名詞,時相名詞,代表表記:夕方/ゆうがた カテゴリ:時間,0,1
、,、,、,特殊,読点,NIL,0,1
千代田,ちよだ,千代田,名詞,地名,代表表記:千代田/ちよだ 地名:日本:群馬県:町,0,1
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,1
の,の,の,助詞,格助詞,NIL,0,1
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,0,1
やしき,やしき,やしき,名詞,普通名詞,代表表記:屋敷/やしき ドメイン:家庭・暮らし カテゴリ:場所-施設,0,1
ばかり,ばかり,ばかり,助詞,副助詞,NIL,0,1
の,の,の,助詞,格助詞,NIL,0,1
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,0,1
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,1
を,を,を,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,0,1
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,1
の,の,の,助詞,接続助詞,NIL,0,1
学生,がくせい,学生,名詞,普通名詞,代表表記:学生/がくせい ドメイン:教育・学習 カテゴリ:人,0,1
服,ふく,服,名詞,普通名詞,代表表記:服/ふく ドメイン:家庭・暮らし カテゴリ:人工物-衣類 漢字読み:音,0,1
の,の,の,助詞,接続助詞,NIL,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,0,1
が,が,が,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
大きい,おおきい,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,0,2
ほう,ほう,ほう,名詞,副詞的名詞,代表表記:方/ほう,0,2
の,の,の,助詞,接続助詞,NIL,0,2
十四,十四,十四,名詞,数詞,カテゴリ:数量 未知語:数字,0,2
―,―,―,特殊,記号,NIL,0,2
五,ご,五,名詞,数詞,カテゴリ:数量,0,2
歳,さい,歳,接尾辞,名詞性名詞助数辞,代表表記:歳/さい 準内容語,0,2
の,の,の,助詞,接続助詞,NIL,0,2
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
名,めい,名,接頭辞,名詞接頭辞,代表表記:名/めい 内容語,0,2
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,0,2
｜,｜,｜,特殊,記号,NIL,0,2
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,0,2
小五郎,小五郎,小五郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,2
の,の,の,助詞,接続助詞,NIL,0,2
