見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,雲の上の怪物,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,雲の上の怪物,0,0
団,だん,団,名詞,普通名詞,代表表記:団/だん カテゴリ:組織・団体 漢字読み:音,雲の上の怪物,0,0
の,の,の,助詞,接続助詞,NIL,雲の上の怪物,0,0
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,雲の上の怪物,0,0
団長,だんちょう,団長,名詞,普通名詞,代表表記:団長/だんちょう カテゴリ:人 人名末尾,雲の上の怪物,0,0
と,と,と,助詞,格助詞,NIL,雲の上の怪物,0,0
、,、,、,特殊,読点,NIL,雲の上の怪物,0,0
団員,だんいん,団員,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,雲の上の怪物,0,0
で,で,で,助詞,格助詞,NIL,雲の上の怪物,0,0
いちばん,いちばん,いちばん,副詞,*,代表表記:一番/いちばん 用言弱修飾 相対名詞修飾,雲の上の怪物,0,0
力,ちから,力,名詞,普通名詞,代表表記:力/ちから カテゴリ:抽象物 漢字読み:訓,雲の上の怪物,0,0
の,の,の,助詞,格助詞,NIL,雲の上の怪物,0,0
強い,つよい,強い,形容詞,*,代表表記:強い/つよい 反義:形容詞:弱い/よわい,雲の上の怪物,0,0
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,雲の上の怪物,0,0
一郎,いちろう,一郎,名詞,人名,人名:日本:名:14:0.00142,雲の上の怪物,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,雲の上の怪物,0,0
と,と,と,助詞,格助詞,NIL,雲の上の怪物,0,0
、,、,、,特殊,読点,NIL,雲の上の怪物,0,0
すこし,すこし,すこし,副詞,*,代表表記:少し/すこし 修飾（デ格） 用言弱修飾 相対名詞修飾,雲の上の怪物,0,0
おくびょうだ,おくびょうだ,おくびょうだ,形容詞,*,代表表記:臆病だ/おくびょうだ,雲の上の怪物,0,0
けれど,けれど,けれど,助詞,接続助詞,NIL,雲の上の怪物,0,0
、,、,、,特殊,読点,NIL,雲の上の怪物,0,0
あいきょう,あいきょう,あいきょう,名詞,普通名詞,代表表記:愛嬌/あいきょう カテゴリ:抽象物,雲の上の怪物,0,0
もの,もの,もの,名詞,普通名詞,代表表記:物/もの カテゴリ:人工物-その他 漢字読み:訓,雲の上の怪物,0,0
の,の,の,助詞,接続助詞,NIL,雲の上の怪物,0,0
野呂,のろ,野呂,名詞,人名,人名:日本:姓:1232:0.00015,雲の上の怪物,0,0
一平,いっぺい,一平,名詞,人名,人名:日本:名:854:0.00020,雲の上の怪物,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,雲の上の怪物,0,0
の,の,の,助詞,接続助詞,NIL,雲の上の怪物,0,0
三,さん,三,名詞,数詞,カテゴリ:数量,雲の上の怪物,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,雲の上の怪物,0,0
が,が,が,助詞,格助詞,NIL,雲の上の怪物,0,0
、,、,、,特殊,読点,NIL,雲の上の怪物,0,0
春,しゅん,春,名詞,時相名詞,代表表記:春/しゅん カテゴリ:時間 漢字読み:音,雲の上の怪物,0,0
の,の,の,助詞,接続助詞,NIL,雲の上の怪物,0,0
休み,やすみ,休み,名詞,普通名詞,代表表記:休み/やすみv 連用形名詞化:休む/やすむ,雲の上の怪物,0,0
