見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
のぞき,のぞき,のぞき,名詞,普通名詞,代表表記:覗き/のぞきv 連用形名詞化:覗く/のぞく,0,0
カラクリ,からくり,カラクリ,名詞,普通名詞,代表表記:からくり/からくり 自動獲得:Wikipedia Wikipediaリダイレクト:からくり カテゴリ:人工物-その他 既知語帰着:リダイレクト,0,0
。,。,。,特殊,句点,NIL,0,0
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,0,1
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,0,1
の,の,の,助詞,接続助詞,NIL,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,0,1
助手,じょしゅ,助手,名詞,普通名詞,代表表記:助手/じょしゅ ドメイン:教育・学習 カテゴリ:人 人名末尾,0,1
、,、,、,特殊,読点,NIL,0,1
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,0,1
芳雄,よしお,芳雄,名詞,人名,人名:日本:名:867:0.00019,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,1
夕方,ゆうがた,夕方,名詞,時相名詞,代表表記:夕方/ゆうがた カテゴリ:時間,0,1
、,、,、,特殊,読点,NIL,0,1
先生,せんせい,先生,名詞,普通名詞,代表表記:先生/せんせい ドメイン:教育・学習 カテゴリ:人 人名末尾,0,1
の,の,の,助詞,接続助詞,NIL,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,1
つかい,つかい,つかい,名詞,普通名詞,代表表記:使い/つかいv 連用形名詞化:使う/つかう,0,1
に,に,に,助詞,格助詞,NIL,0,1
出た,でた,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,0,1
帰り道,かえりみち,帰り道,名詞,普通名詞,代表表記:帰り道/かえりみち ドメイン:交通 カテゴリ:場所-その他,0,1
、,、,、,特殊,読点,NIL,0,1
麹,こうじ,麹,名詞,普通名詞,代表表記:麹/こうじ ドメイン:料理・食事 カテゴリ:人工物-その他,0,1
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,1
