見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,0
時計,とけい,時計,名詞,普通名詞,代表表記:時計/とけい ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,0
塔,とう,塔,名詞,普通名詞,代表表記:塔/とう カテゴリ:場所-施設 漢字読み:音,0,0
。,。,。,特殊,句点,NIL,0,0
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,1
夕,ゆう,夕,名詞,時相名詞,代表表記:夕/ゆう カテゴリ:時間 漢字読み:訓,0,1
がた,がた,がた,接尾辞,名詞性名詞接尾辞,代表表記:方/がた,0,1
、,、,、,特殊,読点,NIL,0,1
名,めい,名,接頭辞,名詞接頭辞,代表表記:名/めい 内容語,0,1
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,0,1
｜,｜,｜,特殊,記号,NIL,0,1
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,0,1
小五郎,小五郎,小五郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,1
の,の,の,助詞,接続助詞,NIL,0,1
少女,しょうじょ,少女,名詞,普通名詞,代表表記:少女/しょうじょ カテゴリ:人,0,1
助手,じょしゅ,助手,名詞,普通名詞,代表表記:助手/じょしゅ ドメイン:教育・学習 カテゴリ:人 人名末尾,0,1
、,、,、,特殊,読点,NIL,0,1
花崎,ハナサキ,花崎,名詞,人名,自動獲得:Wikipedia Wikipedia上位語:名字/みょうじ Wikipedia人名,0,1
マユミ,マユミ,マユミ,名詞,普通名詞,代表表記:マユミ/マユミ 自動獲得:Wikipedia Wikipedia上位語:木本/きもと,0,1
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
中学,ちゅうがく,中学,名詞,普通名詞,代表表記:中学/ちゅうがく ドメイン:教育・学習 カテゴリ:組織・団体;場所-施設 組織名末尾,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,0,1
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,0,1
の,の,の,助詞,格助詞,NIL,0,1
かわいらしい,かわいらしい,かわいらしい,形容詞,*,代表表記:可愛らしい/かわいらしい 同義:形容詞:可愛い/かわいい,0,1
少女,しょうじょ,少女,名詞,普通名詞,代表表記:少女/しょうじょ カテゴリ:人,0,1
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,0,1
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,1
と,と,と,助詞,格助詞,NIL,0,1
手,て,手,名詞,普通名詞,代表表記:手/て カテゴリ:動物-部位;抽象物 漢字読み:訓 〜を〜に構成語,0,1
を,を,を,助詞,格助詞,NIL,0,1
とり,とり,とる,動詞,*,代表表記:取る/とる 自他動詞:自:取れる/とれる 付属動詞候補（基本）,0,1
あって,あって,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,0,1
、,、,、,特殊,読点,NIL,0,1
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,0,1
原っぱ,はらっぱ,原っぱ,名詞,普通名詞,代表表記:原っぱ/はらっぱ カテゴリ:場所-自然,0,1
を,を,を,助詞,格助詞,NIL,0,1
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
畑,はたけ,畑,名詞,普通名詞,代表表記:畑/はたけ カテゴリ:場所-その他 漢字読み:訓,0,2
が,が,が,助詞,格助詞,NIL,0,2
あったり,あったり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,2
、,、,、,特殊,読点,NIL,0,2
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,0,2
が,が,が,助詞,格助詞,NIL,0,2
あったり,あったり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,2
、,、,、,特殊,読点,NIL,0,2
青い,あおい,青い,形容詞,*,代表表記:青い/あおい 名詞派生:青/あお,0,2
草,くさ,草,名詞,普通名詞,代表表記:草/くさ カテゴリ:植物 漢字読み:訓,0,2
で,で,で,助詞,格助詞,NIL,0,2
ふちどら,ふちどら,ふちどる,動詞,*,代表表記:縁取る/ふちどる,0,2
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,2
小川,おがわ,小川,名詞,普通名詞,代表表記:小川/おがわ カテゴリ:場所-自然,0,2
が,が,が,助詞,格助詞,NIL,0,2
ながれて,ながれて,ながれる,動詞,*,代表表記:流れる/ながれる 自他動詞:他:流す/ながす,0,2
いたり,いたり,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
、,、,、,特殊,読点,NIL,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,0,2
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,0,2
に,に,に,助詞,格助詞,NIL,0,2
むかしふうの,むかしふうの,むかしふうだ,形容詞,*,代表表記:昔風だ/むかしふうだ,0,2
土橋,土橋,土橋,名詞,地名,代表表記:土橋/土橋 地名:日本 DEV:body0,0,2
が,が,が,助詞,格助詞,NIL,0,2
かかって,かかって,かかる,動詞,*,代表表記:係る/かかる 名詞派生:係/かかり,0,2
いたり,いたり,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
して,して,する,接尾辞,動詞性接尾辞,代表表記:する/する,0,2
、,、,、,特殊,読点,NIL,0,2
まるで,まるで,まるで,副詞,*,代表表記:まるで/まるで,0,2
、,、,、,特殊,読点,NIL,0,2
いなか,いなか,いなか,名詞,普通名詞,代表表記:田舎/いなか カテゴリ:場所-その他,0,2
の,の,だ,判定詞,*,NIL,0,2
ような,ような,ようだ,助動詞,*,NIL,0,2
けしき,けしき,けしき,名詞,普通名詞,代表表記:景色/けしき カテゴリ:抽象物,0,2
です,です,だ,判定詞,*,NIL,0,2
が,が,が,助詞,接続助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ここ,ここ,ここ,指示詞,名詞形態指示詞,NIL,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
いなか,いなか,いなか,名詞,普通名詞,代表表記:田舎/いなか カテゴリ:場所-その他,0,2
で,で,だ,判定詞,*,NIL,0,2
は,は,は,助詞,副助詞,NIL,0,2
なく,なく,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,2
、,、,、,特殊,読点,NIL,0,2
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,2
都,と,都,接尾辞,名詞性特殊接尾辞,代表表記:都/と カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,2
｜,｜,｜,特殊,記号,NIL,0,2
世田谷,せたがや,世田谷,名詞,地名,代表表記:世田谷/せたがや 地名:日本:東京都:区,0,2
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,2
の,の,の,助詞,格助詞,NIL,0,2
はずれ,はずれ,はずれ,名詞,普通名詞,代表表記:外れ/はずれv 反義:動詞:当たる/あたる 自他動詞:他:外す/はずす 連用形名詞化:外れる/はずれる,0,2
な,な,だ,判定詞,*,NIL,0,2
