見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
ろう,ろう,ろう,名詞,普通名詞,代表表記:労/ろう カテゴリ:抽象物 漢字読み:音,0,0
人形,にんぎょう,人形,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,0
。,。,。,特殊,句点,NIL,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,0,1
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,0,1
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,1
の,の,の,助詞,接続助詞,NIL,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
あんな,あんな,あんな,指示詞,連体詞形態指示詞,NIL,0,1
こわい,こわい,こわい,形容詞,*,代表表記:怖い/こわい,0,1
め,め,め,名詞,普通名詞,代表表記:目/め カテゴリ:動物-部位 漢字読み:訓,0,1
に,に,に,助詞,格助詞,NIL,0,1
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,1
の,の,の,名詞,形式名詞,NIL,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
生まれて,うまれて,生まれる,動詞,*,代表表記:生まれる/うまれる 反義:動詞:死ぬ/しぬ 自他動詞:他:生む/うむ,0,1
から,から,から,助詞,接続助詞,NIL,0,1
はじめて,はじめて,はじめる,動詞,*,代表表記:始める/はじめる 反義:動詞:終える/おえる 自他動詞:自:始まる/はじまる 付属動詞候補（基本）,0,1
でした,でした,だ,判定詞,*,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
春,しゅん,春,名詞,時相名詞,代表表記:春/しゅん カテゴリ:時間 漢字読み:音,0,2
の,の,の,助詞,格助詞,NIL,0,2
はじめ,はじめ,はじめ,名詞,時相名詞,代表表記:初め/はじめ カテゴリ:時間,0,2
の,の,の,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,2
日曜日,にちようび,日曜日,名詞,時相名詞,代表表記:日曜日/にちようび カテゴリ:時間,0,2
、,、,、,特殊,読点,NIL,0,2
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,0,2
六,ろく,六,名詞,数詞,カテゴリ:数量,0,2
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,0,2
の,の,の,助詞,接続助詞,NIL,0,2
島田,しまだ,島田,名詞,人名,人名:日本:姓:103:0.00195,0,2
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,2
と,と,と,助詞,格助詞,NIL,0,2
木下,きのした,木下,名詞,人名,人名:日本:姓:185:0.00137,0,2
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,0,2
の,の,の,助詞,接続助詞,NIL,0,2
