見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
魔法,まほう,魔法,名詞,普通名詞,代表表記:魔法/まほう カテゴリ:抽象物,0,0
博士,はかせ,博士,名詞,普通名詞,代表表記:博士/はかせ ドメイン:科学・技術 カテゴリ:抽象物 人名末尾,0,0
。,。,。,特殊,句点,NIL,0,0
この,この,この,指示詞,連体詞形態指示詞,NIL,0,1
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,1
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
まず,まず,まず,副詞,*,代表表記:先ず/まず,0,1
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,0,1
六,ろく,六,名詞,数詞,カテゴリ:数量,0,1
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,0,1
の,の,の,助詞,接続助詞,NIL,0,1
天野,あまの,天野,名詞,人名,人名:日本:姓:193:0.00131,0,1
勇一,ゆういち,勇一,名詞,人名,人名:日本:名:1482:0.00012,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,1
と,と,と,助詞,格助詞,NIL,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,0,1
の,の,の,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
まわり,まわり,まわり,名詞,普通名詞,代表表記:周り/まわり カテゴリ:場所-その他,0,1
に,に,に,助詞,格助詞,NIL,0,1
おこった,おこった,おこる,動詞,*,代表表記:怒る/おこる,0,1
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,0,1
から,から,から,助詞,格助詞,NIL,0,1
