見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,0,0
とぶ,とぶ,とぶ,動詞,*,代表表記:翔ぶ/とぶ,0,0
円盤,えんばん,円盤,名詞,普通名詞,代表表記:円盤/えんばん カテゴリ:人工物-その他,0,0
。,。,。,特殊,句点,NIL,0,0
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,0,1
とぶ,とぶ,とぶ,動詞,*,代表表記:翔ぶ/とぶ,0,1
円盤,えんばん,円盤,名詞,普通名詞,代表表記:円盤/えんばん カテゴリ:人工物-その他,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
アメリカ,あめりか,アメリカ,名詞,地名,代表表記:アメリカ/あめりか 地名:国:別称:米国,0,1
から,から,から,助詞,格助詞,NIL,0,1
はじまって,はじまって,はじまる,動詞,*,代表表記:始まる/はじまる 反義:動詞:終わる/おわる 自他動詞:他:始める/はじめる,0,1
、,、,、,特殊,読点,NIL,0,1
世界,せかい,世界,名詞,普通名詞,代表表記:世界/せかい カテゴリ:場所-その他,0,1
じゅう,じゅう,じゅう,名詞,普通名詞,代表表記:住/じゅう ドメイン:家庭・暮らし カテゴリ:抽象物 漢字読み:音,0,1
の,の,の,助詞,接続助詞,NIL,0,1
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,0,1
に,に,に,助詞,格助詞,NIL,0,1
あらわれ,あらわれ,あらわれる,動詞,*,代表表記:現れる/あらわれる 反義:動詞:隠れる/かくれる 自他動詞:他:現す/あらわす,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
日本,にほん,日本,名詞,地名,代表表記:日本/にほん 地名:国,0,2
に,に,に,助詞,格助詞,NIL,0,2
も,も,も,助詞,副助詞,NIL,0,2
あらわ,あらわ,あらう,動詞,*,代表表記:洗う/あらう ドメイン:家庭・暮らし,0,2
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,2
こと,こと,こと,名詞,形式名詞,NIL,0,2
が,が,が,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ずっと,ずっと,ずっと,副詞,*,代表表記:ずっと/ずっと 用言弱修飾 相対名詞修飾,0,2
まえ,まえ,まえ,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,0,2
の,の,の,助詞,接続助詞,NIL,0,2
新聞,しんぶん,新聞,名詞,普通名詞,代表表記:新聞/しんぶん ドメイン:メディア カテゴリ:人工物-その他,0,2
に,に,に,助詞,格助詞,NIL,0,2
のって,のって,のる,動詞,*,代表表記:乗る/のる 反義:動詞:降りる/おりる 自他動詞:他:乗せる/のせる,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,2
が,が,が,助詞,接続助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,0,2
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,2
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,0,2
の,の,の,助詞,格助詞,NIL,0,2
はじまる,はじまる,はじまる,動詞,*,代表表記:始まる/はじまる 反義:動詞:終わる/おわる 自他動詞:他:始める/はじめる,0,2
ころ,ころ,ころ,名詞,副詞的名詞,代表表記:頃/ころ,0,2
に,に,に,助詞,格助詞,NIL,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
それ,それ,それ,指示詞,名詞形態指示詞,NIL,0,2
が,が,が,助詞,格助詞,NIL,0,2
日本,にほん,日本,名詞,地名,代表表記:日本/にほん 地名:国,0,2
の,の,の,助詞,接続助詞,NIL,0,2
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,0,2
に,に,に,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
しきりに,しきりに,しきりだ,形容詞,*,代表表記:頻りだ/しきりだ,0,2
あらわれる,あらわれる,あらわれる,動詞,*,代表表記:現れる/あらわれる 反義:動詞:隠れる/かくれる 自他動詞:他:現す/あらわす,0,2
ように,ように,ようだ,助動詞,*,NIL,0,2
なった,なった,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,0,2
のです,のです,のだ,助動詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
大き,おおき,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,0,3
