見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
名,めい,名,接頭辞,名詞接頭辞,代表表記:名/めい 内容語,きもだめしの会,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,きもだめしの会,0,0
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,きもだめしの会,0,0
小五郎,小五郎,小五郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,きもだめしの会,0,0
の,の,の,助詞,接続助詞,NIL,きもだめしの会,0,0
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,0
助手,じょしゅ,助手,名詞,普通名詞,代表表記:助手/じょしゅ ドメイン:教育・学習 カテゴリ:人 人名末尾,きもだめしの会,0,0
、,、,、,特殊,読点,NIL,きもだめしの会,0,0
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,きもだめしの会,0,0
芳雄,よしお,芳雄,名詞,人名,人名:日本:名:867:0.00019,きもだめしの会,0,0
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,きもだめしの会,0,0
を,を,を,助詞,格助詞,NIL,きもだめしの会,0,0
団長,だんちょう,団長,名詞,普通名詞,代表表記:団長/だんちょう カテゴリ:人 人名末尾,きもだめしの会,0,0
と,と,と,助詞,格助詞,NIL,きもだめしの会,0,0
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,0
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,0
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,きもだめしの会,0,0
団,だん,団,名詞,普通名詞,代表表記:団/だん カテゴリ:組織・団体 漢字読み:音,きもだめしの会,0,0
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,0
、,、,、,特殊,読点,NIL,きもだめしの会,0,0
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,きもだめしの会,0,0
の,の,の,助詞,接続助詞,NIL,きもだめしの会,0,0
五,ご,五,名詞,数詞,カテゴリ:数量,きもだめしの会,0,0
、,、,、,特殊,読点,NIL,きもだめしの会,0,0
六,ろく,六,名詞,数詞,カテゴリ:数量,きもだめしの会,0,0
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,きもだめしの会,0,0
から,から,から,助詞,格助詞,NIL,きもだめしの会,0,0
中学,ちゅうがく,中学,名詞,普通名詞,代表表記:中学/ちゅうがく ドメイン:教育・学習 カテゴリ:組織・団体;場所-施設 組織名末尾,きもだめしの会,0,0
