見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
はじめて,はじめて,はじめて,副詞,*,代表表記:初めて/はじめて,Ｒすい星,0,0
、,、,、,特殊,読点,NIL,Ｒすい星,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,Ｒすい星,0,0
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,Ｒすい星,0,0
すい星,すいせい,すい星,名詞,普通名詞,代表表記:彗星/すいせい カテゴリ:自然物,Ｒすい星,0,0
を,を,を,助詞,格助詞,NIL,Ｒすい星,0,0
発見,はっけん,発見,名詞,サ変名詞,代表表記:発見/はっけん カテゴリ:抽象物,Ｒすい星,0,0
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,Ｒすい星,0,0
の,の,の,名詞,形式名詞,NIL,Ｒすい星,0,0
は,は,は,助詞,副助詞,NIL,Ｒすい星,0,0
、,、,、,特殊,読点,NIL,Ｒすい星,0,0
イギリス,いぎりす,イギリス,名詞,地名,代表表記:イギリス/いぎりす 地名:国:別称:英国,Ｒすい星,0,0
の,の,の,助詞,接続助詞,NIL,Ｒすい星,0,0
天文,てんもん,天文,名詞,普通名詞,代表表記:天文/てんもん ドメイン:教育・学習 カテゴリ:抽象物,Ｒすい星,0,0
学者,がくしゃ,学者,名詞,普通名詞,代表表記:学者/がくしゃ ドメイン:科学・技術 カテゴリ:人,Ｒすい星,0,0
でした,でした,だ,判定詞,*,NIL,Ｒすい星,0,0
。,。,。,特殊,句点,NIL,Ｒすい星,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,Ｒすい星,0,1
すい星,すいせい,すい星,名詞,普通名詞,代表表記:彗星/すいせい カテゴリ:自然物,Ｒすい星,0,1
は,は,は,助詞,副助詞,NIL,Ｒすい星,0,1
いま,いま,いま,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,Ｒすい星,0,1
まで,まで,まで,助詞,格助詞,NIL,Ｒすい星,0,1
に,に,に,助詞,格助詞,NIL,Ｒすい星,0,1
知ら,しら,知る,動詞,*,代表表記:知る/しる 自他動詞:自:知れる/しれる 補文ト,Ｒすい星,0,1
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,Ｒすい星,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,Ｒすい星,0,1
、,、,、,特殊,読点,NIL,Ｒすい星,0,1
どの,どの,どの,指示詞,連体詞形態指示詞,NIL,Ｒすい星,0,1
すい星,すいせい,すい星,名詞,普通名詞,代表表記:彗星/すいせい カテゴリ:自然物,Ｒすい星,0,1
と,と,と,助詞,格助詞,NIL,Ｒすい星,0,1
も,も,も,助詞,副助詞,NIL,Ｒすい星,0,1
ちがった,ちがった,ちがう,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,Ｒすい星,0,1
、,、,、,特殊,読点,NIL,Ｒすい星,0,1
奇怪な,きかいな,奇怪だ,形容詞,*,代表表記:奇怪だ/きかいだ,Ｒすい星,0,1
すい星,すいせい,すい星,名詞,普通名詞,代表表記:彗星/すいせい カテゴリ:自然物,Ｒすい星,0,1
でした,でした,だ,判定詞,*,NIL,Ｒすい星,0,1
。,。,。,特殊,句点,NIL,Ｒすい星,0,1
すい星,すいせい,すい星,名詞,普通名詞,代表表記:彗星/すいせい カテゴリ:自然物,Ｒすい星,0,2
と,と,と,助詞,格助詞,NIL,Ｒすい星,0,2
いえば,いえば,いう,動詞,*,代表表記:言う/いう 補文ト,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
天空,てんくう,天空,名詞,普通名詞,代表表記:天空/てんくう カテゴリ:場所-自然,Ｒすい星,0,2
の,の,の,助詞,接続助詞,NIL,Ｒすい星,0,2
まい子,まいこ,まい子,名詞,普通名詞,代表表記:舞子/まいこ ドメイン:文化・芸術;ビジネス カテゴリ:人,Ｒすい星,0,2
の,の,だ,判定詞,*,NIL,Ｒすい星,0,2
ような,ような,ようだ,助動詞,*,NIL,Ｒすい星,0,2
星,ほし,星,名詞,普通名詞,代表表記:星/ほし カテゴリ:自然物 漢字読み:訓,Ｒすい星,0,2
で,で,だ,判定詞,*,NIL,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
うしろ,うしろ,うしろ,名詞,普通名詞,代表表記:後ろ/うしろ カテゴリ:場所-機能,Ｒすい星,0,2
に,に,に,助詞,格助詞,NIL,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
ほうき,ほうき,ほうき,名詞,普通名詞,代表表記:法規/ほうき ドメイン:政治 カテゴリ:抽象物,Ｒすい星,0,2
の,の,だ,判定詞,*,NIL,Ｒすい星,0,2
ように,ように,ようだ,助動詞,*,NIL,Ｒすい星,0,2
ひらいた,ひらいた,ひらく,動詞,*,代表表記:開く/ひらく 反義:動詞:閉じる/とじる 自他動詞:同形,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
白い,しろい,白い,形容詞,*,代表表記:白い/しろい 名詞派生:白/しろ,Ｒすい星,0,2
光,ひかり,光,名詞,普通名詞,代表表記:光/ひかり カテゴリ:抽象物 漢字読み:訓,Ｒすい星,0,2
の,の,の,助詞,接続助詞,NIL,Ｒすい星,0,2
尾,お,尾,名詞,普通名詞,代表表記:尾/お カテゴリ:動物-部位 漢字読み:訓,Ｒすい星,0,2
を,を,を,助詞,格助詞,NIL,Ｒすい星,0,2
ひいて,ひいて,ひく,動詞,*,代表表記:引く/ひく 反義:動詞:押す/おす;動詞:加える/くわえる;動詞:足す/たす,Ｒすい星,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,Ｒすい星,0,2
の,の,の,名詞,形式名詞,NIL,Ｒすい星,0,2
が,が,が,助詞,格助詞,NIL,Ｒすい星,0,2
ふつうです,ふつうです,ふつうだ,形容詞,*,代表表記:普通だ/ふつうだ,Ｒすい星,0,2
が,が,が,助詞,接続助詞,NIL,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
こんど,こんど,こんど,名詞,時相名詞,代表表記:今度/こんど カテゴリ:時間,Ｒすい星,0,2
の,の,の,助詞,格助詞,NIL,Ｒすい星,0,2
すい星,すいせい,すい星,名詞,普通名詞,代表表記:彗星/すいせい カテゴリ:自然物,Ｒすい星,0,2
は,は,は,助詞,副助詞,NIL,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,Ｒすい星,0,2
光,ひかり,光,名詞,普通名詞,代表表記:光/ひかり カテゴリ:抽象物 漢字読み:訓,Ｒすい星,0,2
の,の,の,助詞,接続助詞,NIL,Ｒすい星,0,2
尾,お,尾,名詞,普通名詞,代表表記:尾/お カテゴリ:動物-部位 漢字読み:訓,Ｒすい星,0,2
が,が,が,助詞,格助詞,NIL,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
ネジ,ねじ,ネジ,名詞,普通名詞,代表表記:ネジ/ねじ ドメイン:家庭・暮らし カテゴリ:人工物-その他,Ｒすい星,0,2
の,の,だ,判定詞,*,NIL,Ｒすい星,0,2
ように,ように,ようだ,助動詞,*,NIL,Ｒすい星,0,2
、,、,、,特殊,読点,NIL,Ｒすい星,0,2
グルグル,ぐるぐる,グルグル,副詞,*,代表表記:グルグル/ぐるぐる スル接続可能,Ｒすい星,0,2
まわって,まわって,まわる,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,Ｒすい星,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,Ｒすい星,0,2
のです,のです,のだ,助動詞,*,NIL,Ｒすい星,0,2
。,。,。,特殊,句点,NIL,Ｒすい星,0,2
光,ひかり,光,名詞,普通名詞,代表表記:光/ひかり カテゴリ:抽象物 漢字読み:訓,Ｒすい星,0,3
