見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
「,「,「,特殊,括弧始,NIL,< 章なし >,0,0
辻堂,つじどう,辻堂,名詞,地名,自動獲得:Wikipedia Wikipedia多義 Wikipedia地名,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
奴,やつ,奴,名詞,普通名詞,代表表記:奴/やつ カテゴリ:人,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
とうとう,とうとう,とうとう,副詞,*,代表表記:とうとう/とうとう,< 章なし >,0,0
死に,しに,死ぬ,動詞,*,代表表記:死ぬ/しぬ ドメイン:家庭・暮らし 反義:動詞:産まれる/うまれる;動詞:生まれる/うまれる,< 章なし >,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,0
よ,よ,よ,助詞,終助詞,NIL,< 章なし >,0,0
」,」,」,特殊,括弧終,NIL,< 章なし >,0,0
腹心,ふくしん,腹心,名詞,普通名詞,代表表記:腹心/ふくしん カテゴリ:人,< 章なし >,0,0
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,0
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,0
が,が,が,助詞,格助詞,NIL,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
多少,たしょう,多少,副詞,*,代表表記:多少/たしょう 修飾（ト格）,< 章なし >,0,0
手柄,てがら,手柄,名詞,普通名詞,代表表記:手柄/てがら カテゴリ:抽象物,< 章なし >,0,0
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,< 章なし >,0,0
に,に,に,助詞,格助詞,NIL,< 章なし >,0,0
こう,こう,こう,指示詞,副詞形態指示詞,NIL,< 章なし >,0,0
報告,ほうこく,報告,名詞,サ変名詞,代表表記:報告/ほうこく カテゴリ:抽象物 補文ト,< 章なし >,0,0
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,0
時,とき,時,名詞,副詞的名詞,代表表記:時/とき,< 章なし >,0,0
、,、,、,特殊,読点,NIL,< 章なし >,0,0
平田,ひらた,平田,名詞,人名,人名:日本:姓:271:0.00102,< 章なし >,0,0
氏,し,氏,接尾辞,名詞性名詞接尾辞,代表表記:氏/し,< 章なし >,0,0
は,は,は,助詞,副助詞,NIL,< 章なし >,0,0
少から,すくなから,少い,形容詞,*,代表表記:少ない/すくない 反義:形容詞:多い/おおい,< 章なし >,0,0
ず,ず,ぬ,助動詞,*,NIL,< 章なし >,0,0
驚いた,おどろいた,驚く,動詞,*,代表表記:驚く/おどろく,< 章なし >,0,0
のである,のである,のだ,助動詞,*,NIL,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
尤も,尤も,尤もだ,形容詞,*,自動獲得:Wiktionary 読み不明 普サナ識別,< 章なし >,0,1
大分,おおいた,大分,名詞,地名,代表表記:大分/おおいた 地名:日本:県,< 章なし >,0,1
以前,いぜん,以前,接尾辞,名詞性特殊接尾辞,代表表記:以前/いぜん 内容語,< 章なし >,0,1
から,から,から,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
病気,びょうき,病気,名詞,普通名詞,代表表記:病気/びょうき ドメイン:健康・医学 カテゴリ:抽象物,< 章なし >,0,1
で,で,で,助詞,格助詞,NIL,< 章なし >,0,1
