reader_id,first_appearance
57105,「たのしい三年生」講談社、1958（昭和33）年4月～1959（昭和34）年3月
57181,「新青年」博文館、1925（大正14）年4月
57240,「日の出」新潮社、1937（昭和12）年10月～1938（昭和13）年10月
57515,「新青年」博文館、1933（昭和8）年11月～1934（昭和9）年1月
58699,「講談倶楽部」講談社、1954（昭和29）年9月増刊
59399,「講談倶楽部」講談社、1954（昭和29）年9月増刊
57182,「新青年」博文館、1923（大正12）年7月
58053,「東京朝日新聞」朝日新聞社、1926（大正15）年12月8日～1927（昭和2）年2月20日
58053,「大阪朝日新聞」朝日新聞社、1926（大正15）年12月8日～1927（昭和2）年2月21日
56674,「少年」光文社、1953（昭和28）年1月号～12月号
58590,「新青年」博文館、1930（昭和5）年9月
56678,「少年クラブ」大日本雄辯會講談社、1956（昭和31）年1月号～12月号
56645,「新青年」博文館、1929（昭和4）年6月
57504,「大衆文藝」1926（大正15）年7月
57183,「新青年」博文館、1923（大正12）年11月
57505,「新青年」博文館、1926（大正15）年1月
57516,「キング」大日本雄弁会講談社、1931（昭和6）年11月、1932（昭和7）年1月～2月
56690,「小学六年生」1960（昭和35）年4月～1961（昭和36）年3月
56673,「少年」光文社、1952（昭和27）年1月号～12月号
57225,「こども家の光」家の光協会、1960（昭和35）年9月～1961（昭和36）年9月
57226,「たのしい一年生」講談社、1959（昭和34）年11月～1960（昭和35）年3月
57226,「たのしい二年生」講談社、1960（昭和35）年4月～1960（昭和35）年12月
57227,「たのしい二年生」講談社、1959（昭和34）年10月～1960（昭和35）年3月
57228,「少年倶楽部」大日本雄辯會講談社、1936（昭和11）年1月号～12月号
56677,「少年」1955（昭和30）年1月号～12月号
57343,「大衆文芸」1926（大正15）年10月
58486,「面白倶楽部」1955（昭和30）年1月号～12月号
57506,「新青年」博文館、1926（大正15）年4月
56688,「少年」光文社、1959（昭和34）年1月号～12月号
56683,「少年クラブ」1958（昭和33）年1月号～12月号
56658,「報知新聞夕刊」1930（昭和5）9月30日～1931（昭和6）3月12日
57517,「講談倶楽部」大日本雄弁会講談社、1931（昭和6）年6月～7月、9月～10月、1932（昭和7）年1月～5月
57184,「写真報知」報知新聞社、1925（大正14）年9月15日、25日、10月15日
57185,「新青年」博文館、1925（大正14）年3月
57405,「日の出　第三巻第一号―第十二号」1934（昭和9）年1月号～12月号
57508,「新青年」博文館、1926（大正15）年5月
57849,「朝日」博文館、1929（昭和4）年1月号～1930（昭和5）年2月号
58039,「サンデー毎日」大阪毎日新聞社、1926（大正15）年1月3日～5月2日
56680,「少年クラブ」大日本雄辯會講談社、1957（昭和32）年1月号～12月号
57518,「探偵クラブ」1932（昭和7）年10月
57316,「児童文学への招待」南北社、1965（昭和40）年7月
56669,「少年倶楽部」大日本雄辯會講談社、1937（昭和12）年1月号～12月号
56646,「新青年」博文館、1925（大正14）年2月
54836,「毎日グラフ」1950（昭和25）年4月10日
56671,「少年」光文社、1949（昭和24）年1月号～12月号
57186,「映画と探偵」映画と探偵社、1925（大正14）年12月
57187,「新青年」博文館、1924（大正13）年10月
57188,「写真報知」報知新聞社、1925（大正14）年3月15日
57106,「少年倶楽部　第二十六巻第一号―第二十七巻第二号」大日本雄弁会講談社、1939（昭和14）年1月号～1940（昭和15）年2月号
58462,「報知新聞」報知新聞社、1950（昭和25）年3月1日～12日
57502,１　奇矯な着想「オール読物」文藝春秋、1954（昭和29）年10月号
57502,２　意外な犯人「週刊朝日　推理小説特集号」朝日新聞社、1955（昭和30）年10月10日
57502,３　兇器としての氷「犯罪学雑誌」日本犯罪学会、1952（昭和27）年3月復刊号
57502,４　異様な兇器「読切小説集」テラス社、1953（昭和28）年11月増刊
57502,６　隠し方のトリック「探偵倶楽部」共栄社、1953（昭和28）年8月号
57502,７　プロバビリティーの犯罪「犯罪学雑誌」日本犯罪学会、1954（昭和29）年2月号
57502,８　顔のない死体「探偵倶楽部」共栄社、1952（昭和27）年5月号
57502,９　変身願望「探偵倶楽部」共栄社、1953（昭和28）年2月特大号
57502,10　異様な犯罪動機「宝石」岩谷書店、1950（昭和25）年8―11月号
57502,11　探偵小説に現われた犯罪心理「文化人の科学」、1947（昭和22）年3月号
57502,12　暗号記法の種類「宝石」、1953（昭和28）年9・10月号「類別トリック集成」の一部
57502,13　魔術と探偵小説「新青年」、1946（昭和21）年10月号
57502,14　明治の指紋小説「宝石」、1950（昭和25）年12月号
57502,15　原始法医学書と探偵小説「自警」、1951（昭和26）年9月号
57502,16　スリルの説「ぷろふいる」、1935（昭和10）年12月号
57502,「類別トリック集成」目次「続幻影城」早川書房、1954（昭和29）年6月
56686,「読売新聞」1955（昭和30）年9月12日～12月26日
57107,「少年」光文社、1962（昭和37）年1月～12月
58463,「オール讀物」文藝春秋新社、1955（昭和30）年4月
58464,「産業経済新聞」1957（昭和32）年10月6日、13日、20日、27日、11月3日
56650,「新青年」博文館、1925（大正14）年1月増刊
57108,「小学四年生」講談社、1958（昭和33）年4月号～1959（昭和34）年3月号
57108,「小学五年生」講談社、1959（昭和34）年4月号～1960（昭和35）年3月号
56675,「少年」光文社、1954（昭和29）年1月号～12月号
56687,「少年クラブ　増刊」1956（昭和31）年1月15日
56689,「少年」光文社、1960（昭和35）年1月号～12月号
57109,「少女クラブ」講談社、1958（昭和33）年1月号～12月号
57189,「写真報知」報知新聞社、1925（大正14）年5月15日
57229,「少年」光文社、1951（昭和26）年1月号～12月号
57509,「探偵文藝」奎運社、1926（大正15）年1月
56672,「少年」光文社、1950（昭和25）年1月号～12月号
57243,「時事新報　夕刊」時事新報社、1929（昭和4）年11月28日～12月29日
56647,「新青年」博文館、1923（大正12）年4月
57190,「写真報知」報知新聞社、1925（大正14）年3月5日
57191,「新青年」博文館、1924（大正13）年6月
56648,「苦楽」プラトン社、1925（大正14）年10月号
58170,「講談倶楽部」大日本雄辯會講談社、1934（昭和9）年1～2月、5月～1935（昭和10）年5月
56676,「少年クラブ」大日本雄辯會講談社、1955（昭和30）年1月号～12月号
57510,「大衆文藝」1926（大正15）年3月
57192,「新青年」博文館、1925（大正14）年7月号
56651,「新青年」博文館、1926（大正15）年10月～1927（昭和2）年4月
57511,「サンデー毎日」大阪毎日新聞社、1926（大正15）年10月1日
57414,「ロック　第2巻第2号」筑波書林、1947（昭和22）年2月号
57193,「新小説」春陽堂、1925（大正14）年9月
57520,「江戸川乱歩全集　第十一巻」平凡社、1932（昭和7）年4月
57194,「写真報知」報知新聞社、1925（大正14）年7月15日、25日
57512,「婦人の国」新潮社、1926（大正15）年1～2月
57230,「たのしい二年生」大日本雄弁会講談社／講談社、1958（昭和33）年8月～1959（昭和34）年3月
57230,「たのしい三年生」講談社、1959（昭和34）年4月～12月
56682,「少女クラブ」1957（昭和32）年1月号～12月号
56679,「少年」1956（昭和31）年1月号～12月号
57165,「たのしい三年生」講談社、1957（昭和32）年1月号～3月号
57195,「苦楽」プラトン社、1925（大正14）年7月
57521,「文藝倶楽部　探偵小説と滑稽小説号」博文館、1931（昭和6）年4月増刊
57513,「探偵趣味」探偵趣味の会、1926（大正15）年10月号
57514,「新小説」春陽堂、1926（大正15）年6月
56684,「少年」1958（昭和33）年1月号～12月号
56649,「新青年」博文館、1925（大正14）年8月増刊
