reader_id,original_text,publisher,published_date,is_parent
57105,新宝島,江戸川乱歩推理文庫、講談社,1988-11-8,False
57181,江戸川乱歩全集　第七巻,平凡社,1931-12,True
57181,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57240,江戸川乱歩選集　第二巻,新潮社,1938-10,True
57240,江戸川乱歩全集　第12巻　悪魔の紋章,光文社文庫、光文社,2003-12-20,False
57515,新青年,博文館,1933-11～1934-1,True
57515,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004-6-20,False
58699,江戸川乱歩全集　第十六巻,春陽堂,1955-12,True
58699,江戸川乱歩全集　第17巻　化人幻戯,光文社文庫、光文社,2005-4-20,False
59399,江戸川乱歩全集　第17巻　化人幻戯,光文社文庫、光文社,2005-4-20,False
57182,江戸川乱歩全集　第二巻,平凡社,1931-10,True
57182,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
58053,創作探偵小説集第七巻,春陽堂,1927-3-20,True
58053,江戸川乱歩全集　第2巻　パノラマ島綺譚,光文社文庫、光文社,2004-8-20,False
56674,怪奇四十面相／宇宙怪人,江戸川乱歩推理文庫、講談社,1988-1-8,False
58590,江戸川乱歩全集　第四巻,平凡社,1931-8,True
58590,江戸川乱歩全集　第7巻　黄金仮面,光文社文庫、光文社,2003-9-20,False
57241,江戸川乱歩全集　第十巻,平凡社,1931-9,True
57241,江戸川乱歩全集　第7巻　黄金仮面,光文社文庫、光文社,2003-9-20,False
56678,黄金豹／妖人ゴング,江戸川乱歩推理文庫、講談社,1988-4-8,False
56645,江戸川乱歩全集　第三巻,平凡社,1932-1,True
56645,江戸川乱歩全集　第5巻　押絵と旅する男,光文社文庫、光文社,2005-1-20,False
57504,創作探偵小説集第四巻　湖畔亭事件,春陽堂,1926-9,True
57504,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
57183,江戸川乱歩全集　第八巻,平凡社,1931-5,True
57183,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57505,創作探偵小説集第二巻　屋根裏の散歩者,春陽堂,1926-1,True
57505,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
57516,江戸川乱歩全集　第九巻,平凡社,1932-3,True
57516,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004-6-20,False
56690,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988-9-8,False
56673,怪奇四十面相／宇宙怪人,江戸川乱歩推理文庫、講談社,1988-1-8,False
57225,こども家の光,家の光協会,1960-9～1961-9,True
57225,江戸川乱歩全集　第23巻　怪人と少年探偵,光文社文庫、光文社,2005-7-20,False
57226,たのしい一年生,講談社,1959-11～1960-3,True
57226,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005-3-20,False
57227,たのしい二年生,講談社,1959-10～1960-3,True
57227,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005-3-20,False
57228,怪人二十面相／少年探偵団,江戸川乱歩推理文庫、講談社,1987-9-25,False
56677,鉄塔の怪人／海底の魔術師,江戸川乱歩推理文庫、講談社,1988-2-8,False
57343,江戸川乱歩傑作選,新潮文庫、新潮社,1960-12-24,False
58486,影男,江戸川乱歩文庫、春陽堂書店,1988-3-10,False
57506,創作探偵小説集第四巻　湖畔亭事件,春陽堂,1926-9,True
57506,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
56688,仮面の恐怖王／電人Ｍ,江戸川乱歩推理文庫、講談社,1988-8-8,False
56683,奇面城の秘密／夜光人間,江戸川乱歩推理文庫、講談社,1988-6-8,False
56658,江戸川乱歩全集　第十二巻,平凡社,1932-2,True
56658,江戸川乱歩全集　第6巻　魔術師,光文社文庫、光文社,2004-11-20,False
57517,江戸川乱歩全集　第十三巻,平凡社,1932-5,True
57517,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004-6-20,False
57184,江戸川乱歩全集　第十巻,平凡社,1931-9,True
57184,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57185,江戸川乱歩全集　第四巻,平凡社,1931-8,True
57185,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57405,黒蜥蜴,江戸川乱歩推理文庫、講談社,1987-9-25,False
57508,江戸川乱歩全集　第六巻,平凡社,1931-11,True
57508,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
57849,江戸川乱歩全集　第4巻　孤島の鬼,光文社文庫、光文社,2003-8-20,True
57849,孤島の鬼　江戸川乱歩ベストセレクション⑦,角川ホラー文庫、角川書店,2009-7-25,False
58039,創作探偵小説集第四巻『湖畔亭事件』,春陽堂,1926-9,True
58039,江戸川乱歩全集　第2巻　パノラマ島綺譚,光文社文庫、光文社,2004-8-20,False
56680,魔法人形／サーカスの怪人,江戸川乱歩推理文庫、講談社,1988-5-6,False
57518,探偵クラブ,　,1932-10,True
57518,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004-6-20,False
57519,江戸川乱歩全集　第十一巻,平凡社,1932-4-10,True
57519,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004-6-20,False
57316,児童文学への招待,南北社,1965-7,True
57316,江戸川乱歩全集　第23巻　怪人と少年探偵,光文社文庫、光文社,2005-7-20,False
56669,怪人二十面相／少年探偵団,江戸川乱歩推理文庫、講談社,1987-9-25,False
57532,新宝島,大元社,1942-7-25,True
57532,江戸川乱歩全集　第14巻　新宝島,光文社文庫、光文社,2004-1-20,False
56646,江戸川乱歩全集　第八巻,平凡社,1931-5,True
56646,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
54836,毎日グラフ, ,1950-4-10,True
54836,野村胡堂探偵小説全集,作品社,2007-4-15,False
56671,妖怪博士／青銅の魔人,江戸川乱歩推理文庫、講談社,1987-11-6,False
57186,江戸川乱歩全集　第十巻,平凡社,1931-9,True
57186,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57187,江戸川乱歩全集　第九巻,平凡社,1932-3,True
57187,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57188,江戸川乱歩全集　第十巻,平凡社,1931-9,True
57188,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57106,超人ニコラ／大金塊,江戸川乱歩推理文庫、講談社,1988-10-8,False
58462,心理試験,河出書房,1951-5,True
58462,江戸川乱歩全集　第15巻　三角館の恐怖,光文社文庫、光文社,2004-2-20,False
57502,新版　探偵小説の「謎」,現代教養文庫、社会思想社,1956-6-25,False
56686,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988-9-8,False
57533,少年倶楽部,大日本雄弁会講談社,1943-7,True
57533,江戸川乱歩全集　第14巻　新宝島,光文社文庫、光文社,2004-1-20,False
57107,超人ニコラ／大金塊,江戸川乱歩推理文庫、講談社,1988-10-8,False
58463,江戸川乱歩全集　第十五巻,春陽堂,1955-11,True
58463,江戸川乱歩全集　第18巻　月と手袋,光文社文庫、光文社,2004-10-20,False
58464,江戸川乱歩全集　第十八巻,桃源社,1963-6,True
58464,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005-3-20,False
56650,江戸川乱歩全集　第三巻,平凡社,1932-1,True
56650,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
