first,first_品詞,second,second_品詞,count
二十,名詞,面相,名詞,130
二,名詞,十面相,名詞,109
探偵,名詞,明智,名詞,64
小林,名詞,少年,名詞,58
博物,名詞,館,名詞,41
小五郎,名詞,明智,名詞,37
二,名詞,壮,名詞,37
こと,名詞,賊,名詞,31
少年,名詞,探偵,名詞,28
こと,名詞,ぼく,名詞,28
きみ,名詞,ぼく,名詞,28
中村,名詞,係長,名詞,27
こと,名詞,もの,名詞,26
こと,名詞,ない,形容詞,26
地下,名詞,室,名詞,26
品,名詞,美術,名詞,25
読者,名詞,諸君,名詞,22
こと,名詞,明智,名詞,22
こと,名詞,の,名詞,21
こと,名詞,二十,名詞,21
こと,名詞,小林,名詞,21
こと,名詞,面相,名詞,20
こと,名詞,探偵,名詞,20
庁,名詞,警視,名詞,19
三,名詞,二,名詞,18
こと,名詞,少年,名詞,18
小林,名詞,探偵,名詞,17
中,名詞,賊,名詞,17
明智,名詞,老人,名詞,17
きみ,名詞,明智,名詞,16
刑事,名詞,明智,名詞,16
もの,名詞,明智,名詞,16
刑事,名詞,部長,名詞,16
ない,形容詞,賊,名詞,15
の,名詞,二,名詞,15
きみ,名詞,こと,名詞,15
明智,名詞,顔,名詞,15
中,名詞,明智,名詞,15
二,名詞,明智,名詞,15
こと,名詞,一,名詞,14
小林,名詞,明智,名詞,14
老人,名詞,近藤,名詞,14
こと,名詞,二,名詞,14
ぼく,名詞,もの,名詞,14
先生,名詞,明智,名詞,14
の,名詞,明智,名詞,14
総監,名詞,警視,名詞,14
の,名詞,二十,名詞,13
二十,名詞,賊,名詞,13
少年,名詞,明智,名詞,13
二,名詞,賊,名詞,13
の,名詞,賊,名詞,13
こと,名詞,もう,副詞,13
外,名詞,窓,名詞,13
もの,名詞,探偵,名詞,13
ぼく,名詞,少し,副詞,13
左門,名詞,老人,名詞,13
員,名詞,館,名詞,13
二十,名詞,人,名詞,12
の,名詞,面相,名詞,12
こと,名詞,何,名詞,12
一,名詞,賊,名詞,12
こと,名詞,中,名詞,12
ぼく,名詞,二十,名詞,12
一,名詞,老人,名詞,12
外務,名詞,省,名詞,12
人,名詞,浮浪,名詞,12
博士,名詞,老,名詞,12
人,名詞,面相,名詞,11
賊,名詞,顔,名詞,11
もの,名詞,賊,名詞,11
もの,名詞,何,名詞,11
賊,名詞,面相,名詞,11
ぼく,名詞,面相,名詞,11
こと,名詞,みょうだ,形容詞,11
老人,名詞,部屋,名詞,11
ほう,名詞,明智,名詞,11
ことば,名詞,明智,名詞,11
二,名詞,探偵,名詞,11
ホテル,名詞,鉄道,名詞,11
手,名詞,明智,名詞,11
こと,名詞,顔,名詞,10
小五郎,名詞,探偵,名詞,10
の,名詞,今,名詞,10
一,名詞,中,名詞,10
ない,形容詞,の,名詞,10
ない,形容詞,もの,名詞,10
ない,形容詞,中,名詞,10
ピストル,名詞,賊,名詞,10
中,名詞,部屋,名詞,10
ほう,名詞,賊,名詞,10
中村,名詞,捜査,名詞,10
係長,名詞,捜査,名詞,10
係長,名詞,賊,名詞,10
もの,名詞,中,名詞,10
ぼく,名詞,明智,名詞,10
の,名詞,探偵,名詞,10
ない,形容詞,ぼく,名詞,10
ない,形容詞,探偵,名詞,10
ところ,名詞,明智,名詞,10
係長,名詞,警官,名詞,10
城,名詞,日下部,名詞,10
ひと,名詞,明智,名詞,10
もう,副詞,明智,名詞,10
明智,名詞,男,名詞,10
寅三,名詞,赤井,名詞,10
北小路,名詞,博士,名詞,10
人,名詞,顔,名詞,9
こと,名詞,人,名詞,9
警察,名詞,賊,名詞,9
こと,名詞,ただ,副詞,9
こと,名詞,ため,名詞,9
ようす,名詞,賊,名詞,9
予告,名詞,状,名詞,9
一,名詞,明智,名詞,9
明智,名詞,賊,名詞,9
探偵,名詞,賊,名詞,9
助手,名詞,小林,名詞,9
ひと,名詞,中,名詞,9
もの,名詞,二,名詞,9
やつ,名詞,二十,名詞,9
やつ,名詞,面相,名詞,9
の,名詞,一,名詞,9
ため,名詞,賊,名詞,9
懐中,名詞,電燈,名詞,9
ぎれ,名詞,竹,名詞,9
ひと,名詞,もの,名詞,9
もう,副詞,賊,名詞,9
室,名詞,美術,名詞,9
少年,名詞,目,名詞,9
ない,形容詞,もう,副詞,9
二十,名詞,部下,名詞,9
二,名詞,小林,名詞,9
日下部,名詞,老人,名詞,9
三,名詞,明智,名詞,9
十面相,名詞,明智,名詞,9
賊,名詞,部下,名詞,9
乞食,名詞,明智,名詞,9
老,名詞,館長,名詞,9
こと,名詞,老人,名詞,8
あまり,副詞,こと,名詞,8
一,名詞,二十,名詞,8
こと,名詞,今,名詞,8
ない,形容詞,一,名詞,8
中,名詞,少年,名詞,8
ぼく,名詞,二,名詞,8
こと,名詞,少し,副詞,8
手,名詞,賊,名詞,8
ほう,名詞,四,名詞,8
じっと,副詞,顔,名詞,8
ない,形容詞,はず,名詞,8
少年,名詞,賊,名詞,8
手,名詞,老人,名詞,8
木,名詞,立ち,名詞,8
おそろしい,形容詞,こと,名詞,8
ない,形容詞,二,名詞,8
ぼく,名詞,室,名詞,8
ぼく,名詞,美術,名詞,8
ほど,名詞,探偵,名詞,8
探偵,名詞,老人,名詞,8
ぼく,名詞,先生,名詞,8
こと,名詞,室,名詞,8
こと,名詞,まえ,名詞,8
部下,名詞,面相,名詞,8
二十,名詞,老人,名詞,8
原,名詞,戸山,名詞,8
巣くつ,名詞,賊,名詞,8
もの,名詞,一,名詞,8
城,名詞,美術,名詞,8
探偵,名詞,顔,名詞,8
何,名詞,明智,名詞,8
ようす,名詞,明智,名詞,8
明智,名詞,窓,名詞,8
人,名詞,明智,名詞,8
乞食,名詞,赤井,名詞,8
明智,名詞,赤井,名詞,8
団,名詞,探偵,名詞,8
明智,名詞,部長,名詞,8
明智,名詞,総監,名詞,8
手,名詞,老,名詞,8
棚,名詞,陳列,名詞,8
一,名詞,品,名詞,7
ない,形容詞,今,名詞,7
こと,名詞,壮一,名詞,7
の,名詞,もの,名詞,7
もの,名詞,手,名詞,7
中,名詞,姿,名詞,7
こと,名詞,同じだ,形容詞,7
二,名詞,人,名詞,7
つき,名詞,思い,名詞,7
ところ,名詞,賊,名詞,7
もの,名詞,二十,名詞,7
壮太郎,名詞,顔,名詞,7
