first,second,count
二十,面相,130
いう,する,112
こと,する,108
二,十面相,107
する,賊,79
する,明智,74
ある,する,66
ある,こと,64
探偵,明智,63
いう,こと,61
する,ぼく,61
小林,少年,57
ある,いう,55
する,二,52
いう,明智,50
こと,できる,47
する,もの,45
する,の,44
いう,二十,43
する,二十,41
する,探偵,41
博物,館,41
いう,面相,40
する,小林,37
する,面相,36
小五郎,明智,36
二,壮,36
いう,の,35
する,なる,35
する,中,35
こと,なる,32
する,少年,32
する,顔,31
いう,賊,31
こと,賊,31
する,一,31
いう,もの,30
ある,明智,28
こと,ぼく,28
いう,中,28
きみ,ぼく,28
する,三,28
する,老人,27
する,ない,27
する,できる,27
中村,係長,27
こと,もの,26
少年,探偵,26
する,もう,26
こと,ない,26
ある,もの,26
地下,室,26
見る,顔,25
品,美術,25
こと,わかる,25
いう,ない,25
する,何,24
いう,探偵,24
いう,小林,24
きみ,する,24
いう,少年,23
ある,ぼく,23
する,人,22
ある,二,22
いう,二,22
読者,諸君,22
こと,明智,22
いう,ぼく,22
する,ふた,21
いう,なる,21
こと,の,21
こと,二十,21
する,部屋,21
こと,小林,21
いう,一,20
こと,面相,20
する,室,20
こと,探偵,20
する,見る,19
ある,二十,19
ある,探偵,19
する,警官,19
する,十面相,19
ある,ない,19
ある,なる,19
庁,警視,19
ある,賊,18
する,ため,18
三,二,18
する,思う,18
する,刑事,18
こと,少年,18
いう,人,17
ある,一,17
ある,面相,17
小林,探偵,17
いう,男,17
中,賊,17
こと,だす,17
する,ひと,17
明智,老人,17
なる,明智,17
いう,顔,16
ある,見る,16
する,手,16
する,とき,16
こと,思う,16
する,男,16
ある,少し,16
きみ,明智,16
刑事,明智,16
もの,明智,16
刑事,部長,16
いう,老人,15
いく,する,15
いう,何,15
ない,賊,15
ある,の,15
の,二,15
こと,考える,15
いう,だす,15
する,事件,15
する,係長,15
する,部下,15
いう,きみ,15
きみ,こと,15
明智,顔,15
中,明智,15
二,明智,15
いう,できる,14
ある,顔,14
いい,する,14
する,美術,14
する,わかる,14
小林,明智,14
する,壮一,14
老人,近藤,14
する,警察,14
する,壮,14
こと,二,14
ある,中,14
ぼく,もの,14
いう,姿,14
する,自動車,14
する,ほど,14
する,ようす,14
する,彼,14
する,びっくり,14
なる,探偵,14
ある,きみ,14
する,館,14
先生,明智,14
の,明智,14
総監,警視,14
の,二十,13
二十,賊,13
こと,一,13
少年,明智,13
する,十,13
二,賊,13
いう,目,13
ある,ちがう,13
の,賊,13
こと,もう,13
いう,わし,13
外,窓,13
する,ほう,13
する,姿,13
する,ところ,13
する,だす,13
もの,探偵,13
する,変装,13
ぼく,少し,13
左門,老人,13
明智,見る,13
員,館,13
二十,人,12
の,面相,12
する,目,12
ある,人,12
する,ただ,12
する,品,12
こと,何,12
しれる,する,12
する,ちゃんと,12
一,賊,12
する,今,12
する,壮太郎,12
こと,中,12
かける,する,12
おこる,こと,12
する,気,12
ぼく,思う,12
する,用意,12
する,まだ,12
ある,部屋,12
ぼく,二十,12
する,少し,12
あいだ,する,12
する,窓,12
する,わし,12
あげる,する,12
いる,する,12
あと,する,12
する,誘かい,12
する,声,12
する,出る,12
ある,もう,12
外務,省,12
人,浮浪,12
博士,老,12
人,面相,11
賊,顔,11
見る,賊,11
こと,見る,11
ある,いく,11
もの,賊,11
いう,わかる,11
もの,何,11
ある,少年,11
ある,小林,11
いう,十,11
賊,面相,11
の,待つ,11
いる,賊,11
ある,ところ,11
できる,もの,11
いう,もう,11
ぼく,面相,11
する,音,11
ある,はず,11
こと,みょうだ,11
する,警視,11
うえ,する,11
かける,電話,11
一,老人,11
老人,部屋,11
かける,明智,11
いう,室,11
いう,美術,11
わかる,わけ,11
にぎる,手,11
する,地下,11
いう,館,11
ほう,明智,11
ことば,明智,11
二,探偵,11
する,博物,11
ホテル,鉄道,11
手,明智,11
する,東京,10
いう,ちがう,10
いう,いく,10
こと,顔,10
いったい,する,10
する,つく,10
ある,美術,10
あまり,こと,10
いくら,する,10
する,身,10
の,今,10
なる,一,10
いう,手,10
一,中,10
ある,手,10
する,心配,10
ない,の,10
すっかり,する,10
おそろしい,する,10
なる,賊,10
する,待つ,10
ない,もの,10
あげる,いう,10
ない,中,10
ピストル,賊,10
こむ,中,10
中,部屋,10
の,見る,10
だす,賊,10
ほう,賊,10
する,外,10
係長,捜査,10
中村,捜査,10
する,庁,10
する,中村,10
係長,賊,10
もの,中,10
ある,わかる,10
ある,十面相,10
ない,思う,10
ぼく,明智,10
の,探偵,10
する,子ども,10
ない,ぼく,10
じっと,する,10
ない,探偵,10
ところ,明智,10
係長,警官,10
帰る,明智,10
城,日下部,10
ひと,明智,10
もう,明智,10
明智,男,10
いう,博物,10
する,ホテル,10
寅三,赤井,10
北小路,博士,10
人,顔,9
いう,持つ,9
こと,人,9
警察,賊,9
こと,ただ,9
いう,やつ,9
いう,ため,9
する,やつ,9
こと,ため,9
ようす,賊,9
予告,状,9
する,まえ,9
小五郎,探偵,9
明智,賊,9
探偵,賊,9
助手,小林,9
いう,帰る,9
いう,三,9
ない,なる,9
いう,つく,9
こと,つく,9
ひと,中,9
もの,二,9
やつ,面相,9
やつ,二十,9
ある,思う,9
いう,思う,9
いう,壮,9
なる,二,9
姿,見える,9
できる,ぼく,9
の,一,9
ため,賊,9
こむ,する,9
おどろく,する,9
する,はじめる,9
つける,にらむ,9
する,つける,9
いう,ほど,9
懐中,電燈,9
いう,自動車,9
いう,ひと,9
ぎれ,竹,9
いう,声,9
する,とる,9
ひと,もの,9
もう,賊,9
室,美術,9
ある,仏像,9
する,仏像,9
する,話,9
する,小五郎,9
少年,目,9
ない,もう,9
二十,部下,9
ある,三,9
する,乞食,9
いう,前,9
二,小林,9
いう,十面相,9
なる,の,9
日下部,老人,9
三,明智,9
十面相,明智,9
賊,部下,9
乞食,明智,9
老,館長,9
いう,まるで,8
する,家,8
する,まるで,8
いう,新聞,8
ちがう,顔,8
こと,老人,8
いう,見る,8
あまり,する,8
なる,わかる,8
なる,もの,8
一,二十,8
一,明智,8
ある,目,8
こと,今,8
ない,一,8
する,下,8
入れる,手,8
する,宝物,8
する,羽柴,8
中,少年,8
する,なんだか,8
する,わな,8
思う,賊,8
する,とおり,8
する,よい,8
できる,少年,8
にこにこ,笑う,8
うち,する,8
する,一同,8
する,上,8
ぼく,二,8
こと,少し,8
する,来る,8
いう,壮太郎,8
いう,まだ,8
手,賊,8
こと,知る,8
声,笑う,8
する,安心,8
する,見はり,8
できる,ない,8
ほう,四,8
じっと,顔,8
だす,顔,8
ない,はず,8
ある,ほか,8
する,警戒,8
いう,つまり,8
する,知る,8
する,説明,8
する,想像,8
あなた,する,8
少年,賊,8
する,口,8
手,老人,8
木,立ち,8
できる,賊,8
いう,警官,8
おそろしい,こと,8
いう,出る,8
する,聞く,8
なる,ひと,8
わかる,賊,8
する,はいる,8
ない,二,8
ある,だす,8
ある,うらみ,8
ぼく,美術,8
ぼく,室,8
する,とらえる,8
ほど,探偵,8
探偵,老人,8
する,立つ,8
ぼく,先生,8
こと,室,8
こと,まえ,8
ぼく,やる,8
こと,やる,8
部下,面相,8
する,やがて,8
すぐ,する,8
乞食,化ける,8
する,化ける,8
する,門,8
二十,老人,8
原,戸山,8
巣くつ,賊,8
なる,老人,8
する,相手,8
もの,知る,8
する,やる,8
ちがう,気,8
できる,明智,8
する,前,8
探偵,顔,8
ぼく,知る,8
だす,明智,8
つける,明智,8
何,明智,8
ようす,明智,8
する,辻野,8
明智,窓,8
明智,答える,8
人,明智,8
乞食,赤井,8
明智,赤井,8
明智,部長,8
明智,総監,8
手,老,8
棚,陳列,8
いう,東京,7
一,品,7
ない,今,7
する,予告,7
する,怪盗,7
いう,今,7
こと,壮一,7
する,帰る,7
わかる,三,7
ない,わかる,7
の,もの,7
もの,手,7
おまわりさん,する,7
こと,よる,7
中,姿,7
青ざめる,顔,7
こと,同じだ,7
ある,窓,7
する,頭,7
の,思う,7
二,思う,7
二,人,7
ある,つく,7
つき,思い,7
ところ,賊,7
ある,話,7
もの,二十,7
ニヤニヤ,笑う,7
する,見える,7
窓,見える,7
きみ,できる,7
ある,まるで,7
壮太郎,顔,7
こむ,とぶ,7
こむ,もの,7
一,部屋,7
いう,とき,7
する,黒い,7
いい,ほう,7
中,顔,7
もの,目,7
ふた,もの,7
もう,二,7
する,みょうだ,7
こと,わし,7
いる,こと,7
いう,おかしい,7
こと,呼ぶ,7
する,ちょうだい,7
いう,とる,7
窓,賊,7
いう,部屋,7
二,少年,7
外,賊,7
ところ,見る,7
賊,走る,7
壮太郎,老人,7
とき,もう,7
いい,いう,7
する,まわり,7
する,四,7
こと,相手,7
とらえる,賊,7
表門,裏門,7
ひと,警官,7
もの,持つ,7
する,玄関,7
裏,部屋,7
くわしい,する,7
ある,ひと,7
ある,今,7
いう,化ける,7
する,行く,7
する,べつだ,7
こと,自動車,7
いう,車,7
ある,老人,7
ぼく,部下,7
もの,室,7
美術,賊,7
ひと,探偵,7
老人,見る,7
こと,事件,7
なる,小林,7
できる,探偵,7
こと,先生,7
いう,仏像,7
だす,笑う,7
する,車,7
外,門,7
とる,なる,7
いう,じつに,7
老人,面相,7
こと,変装,7
ない,面相,7
ない,二十,7
ない,明智,7
ない,少しも,7
二十,少年,7
中,小林,7
カバン,中,7
なわ,ばしご,7
もの,一,7
する,力,7
二十,面,7
警官,賊,7
の,小林,7
さすが,探偵,7
とる,手,7
二,知る,7
手,探偵,7
係長,顔,7
ほう,ぼく,7
の,ぼく,7
ぼく,男,7
明智,面相,7
二十,明智,7
探偵,面相,7
二十,探偵,7
ある,知る,7
名画,老人,7
城,美術,7
する,先生,7
探偵,見る,7
それぞれ,三,7
姿,明智,7
ぼく,一,7
ふた,明智,7
しばらく,明智,7
十面相,探偵,7
ごらん,なさる,7
とる,明智,7
いきなり,明智,7
明智,立つ,7
明智,辻野,7
省,辻野,7
外務,辻野,7
品,館,7
博物,品,7
十,十二,7
きみ,少し,7
品,盗難,7
ある,まだ,7
エレベーター,ボーイ,7
する,日,7
うらみ,明智,7
団,探偵,7
する,総監,7
三,館,7
明智,館長,7
いう,にせもの,7
にせもの,美術,7
にせもの,品,7
員,宿直,7
二十,顔,6
新聞,面相,6
二十,新聞,6
いう,まったく,6
こと,まったく,6
いく,こと,6
二十,知る,6
しれる,賊,6
する,持つ,6
ない,見る,6
ない,ようす,6
ある,みょうだ,6
いう,予告,6
一,探偵,6
力,明智,6
いう,小五郎,6
小林,芳雄,6
助手,探偵,6
ある,小五郎,6
助手,少年,6
ある,庭,6
二,庭,6
二,洋館,6
いう,壮一,6
こと,十,6
こと,帰る,6
する,とうとう,6
なる,十,6
いう,まえ,6
いう,羽柴,6
する,ダイヤモンド,6
いう,ダイヤモンド,6
もの,人,6
する,まわる,6
もの,帰る,6
姿,少年,6
ひと,少年,6
かける,顔,6
二,窓,6
ぼく,賊,6
わな,賊,6
の,壮,6
こと,わな,6
つく,二,6
こと,話,6
ある,考える,6
ところ,中,6
かける,一,6
とる,賊,6
たちまち,賊,6
もの,少年,6
光る,目,6
自動車,走る,6
する,帰宅,6
ぼく,部屋,6
上,二,6
きみ,二,6
きみ,もの,6
こと,手,6
こと,目,6
いう,ぬすむ,6
ある,かける,6
たつ,役,6
自動車,運転手,6
する,書斎,6
する,ドア,6
する,たとえ,6
する,五,6
する,たつ,6
ガラス,窓,6
の,ふた,6
じゅうぶん,する,6
ふた,中,6
いう,窓,6
声,聞こえる,6
壮太郎,見る,6
する,ギョッ,6
なる,面相,6
なる,二十,6
ない,異状,6
二,男,6
こと,十面相,6
ない,ほか,6
見つめる,顔,6
ある,約束,6
なる,ぼく,6
ゆくえ,不明だ,6
する,まあ,6
いる,ぼく,6
さも,二,6
する,ひらく,6
ところ,窓,6
人々,賊,6
する,階段,6
壮太郎,近藤,6
上,中,6
だす,逃げる,6
光,電燈,6
相手,賊,6
姿,賊,6
一,上,6
ほう,二,6
ひらく,老人,6
二,出る,6
する,発見,6
いう,待つ,6
する,表門,6
する,裏門,6
松野,運転手,6
警官,隊,6
一,出す,6
番,見はり,6
ない,力,6
いう,力,6
いう,おす,6
とる,係長,6
する,捜査,6
する,人々,6
もの,出る,6
こと,しらべる,6
ある,逃げる,6
ある,もし,6
だす,走る,6
ひと,三,6
うしなう,気,6
中,口,6
中,目,6
とぶ,中,6
する,へんだ,6
いう,うえ,6
ある,自動車,6
する,報告,6
こと,東京,6
こと,とる,6
かける,二,6
いう,みょうだ,6
こと,ひと,6
一,自動車,6
中,室,6
もの,美術,6
三,室,6
なる,彼,6
こと,警察,6
こと,彼,6
二,室,6
品,賊,6
の,老人,6
いう,事件,6
探偵,警察,6
人,探偵,6
する,呼ぶ,6
かける,老人,6
いう,先生,6
